input sentence,translation
one of my former students told me a story about her experience when she took the sat in high school.,WHEN SAT STORY SAT HIGH AUSTRALIA AREA HIGH AUSTRALIA ONE AREA ONE HIGH HIGH AREA ASIA STORY ONE STORY HIGH
"when it happens to rain, i stay home.",IMPORTANT INTERCOURSE+fs-UP HOME VISIT TO/UNTIL WHEN RAIN START STAY
"...it can create a fumble,  ",AGAIN ABOUT ABOUT ACCEPT ACT AND CHOCOLATE ACT
john wants to sell (his/a) car.,JOHN CAR WANT JOHN CAR TOMORROW WANT+NEG TOGETHER/GO-STEADY_2
"""i am fine,"" he said.",HEADACHE HEADACHE FIND/FIND-OUT HERE HEADACHE HERE FIND/FIND-OUT HERE
"one well-known videotape by angela petrone stratiy, made in 1999, called ""deaf people have problems,"" shares some experiences about things that make noises, as a warning.",MAKE ASIA ASIA ONE ABOUT ONE ABOUT MAKE ASIA ONE MAKE VIDEOTAPE AUSTRALIA THAT ASIA AREA ABOUT MAKE SOME PEOPLE HAVE HAVE ASIA ABOUT MAKE ABOUT ABOUT ONE ASIA ONE ONE SOME ONE ONE ONE MAKE ASIA
"if i don't study, i am guaranteed to fail.",IMPORTANT IMAGINE NEXT-TO INTERCOURSE+fs-UP ICL ICL TO/UNTIL INCLUDE/INVOLVE TOTAL TOMORROW TO/UNTIL TOILET
"everytime i go to my uncle's house, he tends to stay inside.",GO-OUT TEND TOMORROW GO-OUT ICL HERE ICL STAY ICL STAY STAY HOUSE GOOD/THANK-YOU TOGETHER/GO-STEADY STAY
who is liz's famous sister?,DELICIOUS WHO FAMILY DELICIOUS DELICIOUS PING-PONG/TENNIS ENNIS
"i sat down and waited for a long time.  finally, i went in. ",DIFFERENT FORMERLY FINISH AND TIME ICL ALSO DIFFERENT FIND/FIND-OUT FINE ACCEPT TIME ICL AND ICL
did john read the book?  when?,BOOK REALLY+WORK REALLY BOOK WHERE REALLY+WORK BOOK-PAGE
what kind of car did he buy?,BUY WHAT WHAT KIND KIND HERE THAT
how many books does john want to buy?,BUY MANAGE/CONTROL HOW-MANY MANY MANY BOOK TO/UNTIL WANT
where did the friends drive to?,WHEN FRIEND DRIVE HERE HERE WHERE
i found someone's book.,ICL SOMETHING/ONE ICL INTERCOURSE+fs-UP INTERCOURSE+fs-UP INFORM
“the economy now is great! it`s fine.” “no! it`s really messed up now.”,GROW-UP NOW READ NOW TAKE-UP SET-UP FINISH SET-UP REALLY FINISH FINISH READ NOW SET-UP FINE_2 KNOW FINE READY KNOW FINISH REALLY+WORK FINISH REALLY+WORK SET-UP
"...anyway, i wrote that i wanted a burger with fries, just simple...cooked medium..",AREA THAT ASIA WITH THAT AREA ASIA AAA WITH ANGELA THAT AND ASIA WITH AREA AREA AREA WITH AND ANGELA THAT AREA AREA
"when bob starts the fire, we will collect logs to keep it going.",COLLECT START LOGS LOGS BOB LOGS TOGETHER/GO-STEADY LOGS TO/UNTIL TO/UNTIL WHERE TO/UNTIL POINT-TO WHERE
"it feels like they have died, and become a zombie, disconnected from the reality of the world. they talk, but they cannot hear.",LIKE HAVE BUT LIKE AND BUT BECOME AND BUT BUT HAVE ASIA AND ASIA AND CANNOT ASIA AND ASIA AND CANNOT AREA AUSTRALIA AUSTRALIA AUSTRALIA ASIA AREA
mary is a vegetarian.,AAA AND AREA AUSTRALIA
"when it was time for his voice test, his voice didn't match the character. things weren't like they used to be and his career slumped.",WHEN WHEN LIKE CAREER WHEN WHEN AND LIKE MATCH FOR-FOR VOICE TIME LIKE CAREER FOR FOR-FOR CAREER TIME MATCH MATCH MATCH WAS AND LIKE MATCH TIME FOR CAREER FOR-FOR WHEN AND
my friends crashed the party.,FRIEND CRAZY THEREFORE CRASHED CRASH
"no, the car's not broken.",THEN NOT-YET NOT NOT NOT-WANT NOT NOT-CARE NOT-WANT
"i rummaged in the trunk.  i admit that it was my first time changing a tire. i know all men should know how, but unfortunately, i didn't.",HEARING SHOCK ICL ARRIVE NONE/NOTHING THING ABOUT ICL INCLUDE/INVOLVE IDEA ABOUT THING ICL NOW ICL NONE/NOTHING AND NONE/NOTHING AND ACT RAIN ABOUT ICL SHOW INFORM AND NONE/NOTHING CHAT AGAIN ABOUT ABOUT ARRIVE ACT
... on which area each would have and went ahead to start setting them up.,HAVE WHICH WHICH WHICH EACH START HAVE AREA PERSON AND ONE ONE-MONTH EACH WHICH AND AREA AND
i remember i was young.  it was my first book i read...,IDEA READ LOOK LITTLE-BIT READ BOOK REALLY LOOK FIREWORKS LOOK ICL IDENTIFY INCLUDE/INVOLVE ICL INCLUDE/INVOLVE
"if john did that to me, we would have broken it off a long time ago.",AUSTRALIA THAT THAT JOHN ANGELA AREA LONG AUSTRALIA AREA OFF THAT OFF ASIA AUSTRALIA JOHN LONG THAT
"if my son is born tomorrow, he will be born in 2013.",MAYBE INFORM STILL SON SON MAYBE HEAR PERSON HERE BELONG SON SON HEARING HEARING HERE HEADACHE
"mary enjoys acting, not reading.",NOT REALLY+WORK MARY NOT-WANT NOT NOT-YET
"does john drive mary to work? no, he usually drives amy to work.",DRIVE JOHN JOHN MARY WORK HEADACHE DRIVE DRIVE MARY WORK AMY MARY HEAR JOHN ARRIVE
"oftentimes, people who have experience  talking on the phone, visualize what the person they're talking to might look like.",ATTENTION-WAVE THAT THAT HEARING TOMORROW BOOK TO/UNTIL SOON NONE/NOTHING THING
she talked into my ears and i didn't pay attention.,HUSBAND PAY STAND INCLUDE/INVOLVE AND PAY IDEA AND INTERCOURSE+fs-UP INTERNET IDENTIFY INTERRUPT
my friend is calling home on the video phone.,SOME PERSON HEARING HOME ONE HEARING TEND VACATION FRIEND
then i got back into the shower and washed up. it felt so good!,SOMETHING/ONE SHOWER AND GOOD/THANK-YOU SO-SO SO-SO AND GOOD/THANK-YOU ALSO BACK SHOW IDENTIFY SHOWER HIT SO-SO
john is arriving.,JOHN DIAGNOSIS ARREST
...because muhammad ali has parkinson's disease...,MUHAMMAD MUHAMMAD PARTY REFUSE CAUSE MUHAMMAD REFUSE MUHAMMAD fs- PARTY USE HOUSE HOUSE
"john was reading that book, what did he say it is about?",BOOK READ CHAT THAT HEADACHE WHAT JOHN THAT HEAR NONE/NOTHING ABOUT HEADACHE THAT
mother bought one book yesterday.,MOTHER ONE MOTHER TEACHER GROUP/TOGETHER
which high school did you go to?,HIGH GO-OUT SCHOOL WHICH HIGH HIGH GOOD/THANK-YOU
"if it rains tomorrow when i arrive at my uncle's house, i will stay inside.",IDEA WHERE RAIN WHEN THAT WHEN ARRIVE WHERE TOMORROW TOMORROW HOUSE ICL STAY THAT WHERE WHERE WHEN HOUSE
the parents of the group with deaf professionals would get through the grief progress quicker and usually be able to move on quickly.,AND DEAF PERSON GET PERSON WITH TO/UNTIL MOVE DEAF PROGRESS GRIEF GRIEF MOVE THROUGH THROUGH WITH GROUP PROGRESS AND MOVE GRIEF PROGRESS DEAF
my aunt is an expert at making blue berry pies because she grew up making them.,AUNT AUNT BECAUSE BECAUSE BECAUSE AND BLUE BERRY EXPERT BECAUSE EXPERT EXPERT CAN HEARING AUNT AND
the study notices how the hit group thinks that the glass wasn't broken at all.,THAT THAT GROUP GROW-UP HIT THAT GROUP GROUP THAT HIT THAT THAT THINK THINK GROUP/TOGETHER THAT HIT
"you're wrong, that is not pineapple cream cheese. i prefer lox.",NOT PREFER THAT CHAT ICL PREFER PINEAPPLE fs- PINEAPPLE PREFER THAT NOT-YET CREAM IDEA NOT
"the cultural interpretation is that these noises fit with anger, happiness, or various other things.",WEATHER INTERVENTION INTERVENTION VARIOUS VARIOUS OTHER INTERVENTION NOISE INTERVENTION MOTHER+FATHER THINK THINK VARIOUS NOISE GROUP/TOGETHER INTERVENTION THAT
"sometimes he  imagines he is still boxing in the ring,",SOME HERE RAIN INTERNET RAIN HEARING SOMETHING/ONE WIN SOMETHING/ONE AGAIN
you probably wondering why i didn't report it to the police.,REPORT NONE/NOTHING ICL ICL REPORT
...i saw a bush.,ALSO ASIA ALSO ASIA AREA AREA ANY+ONE
"no, i wouldn't stop vomiting if i had pineapple cream cheese. lox only is fine with me.",WITH PINEAPPLE PEOPLE WITH LOX PINEAPPLE fs- STOP CREAM PINEAPPLE PEOPLE CREAM STOP FINE ICL FINE NONE/NOTHING WITH PEOPLE PINEAPPLE ONLY
maybe john and mary will decide to work together now.,AND JOHN STILL WORK MAYBE TOGETHER TOGETHER WORK MOTHER+FATHER JOHN
"if my family adopts the puppies, i will immediately go to the pet store to buy collars, of which they have assorted colors.",WHICH GO-OUT WHICH STORE ICL ICL OFTEN WHICH INCLUDE/INVOLVE WHICH HAVE TO/UNTIL ICL STORE WHICH HAVE STORE GO-OUT BUY TO/UNTIL BUY TO/UNTIL HAVE GOOD/THANK-YOU HAVE
"my friend is leaving when?  uh, tomorrow.",MORNING THING LEARN+AGENT EXTEND THING NONE/NOTHING LEAVE FRIDAY PAY/SPEND
are the friends going out?,THEN NONE/NOTHING FRIEND FRIDAY HEARING
the teacher expects john to read a lot.,AREA TEACHER AUSTRALIA TEACHER ARRIVE ASIA AUSTRALIA ABOUT
he puts the cover back on and nails down each corner.,HEADACHE EACH PERSON EACH EACH EACH HERE BACK AND LOOK-OVER LOOK-OVER
who listens to the teacher?,TEACHER WHO TOMORROW TO/UNTIL POINT-TO
when jack was standing outside did he see something/someone weird?,OUTSIDE SOME+ONE SEE SOME+ONE WAS JACK WHEN WHEN HEADACHE SEE WHEN HEADACHE
i've never seen john's car.,NEVER LOOK-OVER NEVER CARE NEVER THINK-OVER OLD+FIFTEEN NEVER SEE
who wants to play frisbee?,TOMORROW WANT+NEG FRIEND WANT TO/UNTIL
"a doctor came in, he was new and had just joined the staff.",ASIA WAS NEW WAS AREA DOCTOR ANGELA DOCTOR ANGELA AUSTRALIA AUSTRALIA AUSTRALIA HEADACHE AREA
who found the key?,WHO FOUR FOUR-DAY WHO
there's no rain.,NOT NOISE NONE/NOTHING RAIN NOT-YET
"of course, it's because l.a. is near the mexican border. ",OF-COURSE OFTEN PING-PONG/TENNIS THIS COUGH BORE HEAR YEAR COURT COUGH COUGH BORN OF-COURSE CAN HOUSE COURT
the mother and the boy are both going to the library.,AND MOTHER+FATHER FATHER BOTH BOTH MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER AREA GROUP/TOGETHER
did the student's mother buy a car already?,MOTHER+FATHER ANGELA CAR CAR ASIA AAA AUSTRALIA ABOUT MOTHER+FATHER AREA
it was good time.  all night i enjoyed myself.,TIME SIT GOOD/THANK-YOU ICL INFORM ICL GOOD/THANK-YOU EAT+NIGHT INTERCOURSE+fs-UP PAST+NIGHT
"""i don't want to see any end zone...",SEE FRIEND TOMORROW END FRIEND END SEE WANT ANY WANT TEND ANY MANY
he removes the lid.,HEAD-TRIP REMEMBER REMIND HERE
"when the teacher finishes reading the magazine, he/she will read a book.",AREA TEACHER READ READ WHEN READ BOOK TEACHER AREA AUSTRALIA FINE ASIA ASIA WHEN WHEN
it's john who will give a car to (his) father.,AUSTRALIA ARRIVE ARRIVE AREA WHO ANGELA GIVE AREA AUSTRALIA AUSTRALIA AAA AREA CAR AREA
some woman arrived.,WOMAN WOMAN BECOME
who wants to play frisbee?,PLAY TOILET FRISBEE FRISBEE FRISBEE
is that videogame easy to beat?,VIDEO-GAME VIDEO-GAME GAME TOMORROW THAT EASY
...is my favorite sport.,INVITE SPORT ELITE WRITE FAVORITE/PREFER WHITE POLITE
we just sat and relaxed--aaahhh...,DISGUST HUSBAND WEATHER HUSBAND RELATIONSHIP-OFF EXHAUST MUST RELATIONSHIP-OFF EXHAUST UNDERSTAND
"next week, john is going to new york.",JOHN NEXT-TOPIC NONE/NOTHING ROWING TO/UNTIL NONE/NOTHING HEARING NEW TOO
"they really can do all of the options. one family can choose to use sign language, and if another family wants to use speech, that's fine.",ALL CAN DO-DO DO-DO SIGN SIGN REALLY USE CAN REALLY ONE FAMILY ONE DO-DO CHOOSE ALL ONE SIGN FAMILY AND DO-DO ONE CHOOSE REALLY CAN ALL DO-DO ALL REALLY AND SIGN
what does my sister want for her birthday?,HER WEATHER HERE FOR WHAT THAT FOR-FOR WANT
"i thought,""perfect!"" we pulled off and took the opportunity to eat at mcdonalds.  ",LOOK INFORM EAT+NIGHT EAT THAT INTERNET ICL BOAT EAT TOMORROW TOMORROW BOOK BOAT EAT EAT BOOK CHAT CITY/COMMUNITY
my sister doesn`t want a headband for her birthday.,ANGELA FOR AAA AAA SISTER FOR AREA HEADBAND AAA HEADBAND HEADBAND
"""i think it was only a dream, or just my imagination about things.  i don't know--forget it,"" he said",AND INTERPRET FOR AND KNOW FOR FOR THING SITUATION ABOUT ICL HEAR ICL THINK HERE FIND/FIND-OUT FOR AND HEAR AND INTERPRET HEAR HEARING HERE KNOW HEARING HEARING MUST
"if bob gives his sweetheart a rose, she will be happy.",ANGELA AUSTRALIA ARRIVE AREA ANGELA ANGELA AUSTRALIA AREA AREA AAA AAA AREA
sometimes deaf people share and exchange stories about what they have learned about noises. so they will be careful with subsequent situations.,WITH WHAT PEOPLE DEAF EXCHANGE SO-SO PEOPLE PEOPLE ABOUT PEOPLE WITH AND DEAF PEOPLE ABOUT DEAF WITH WHAT SOMETIMES PEOPLE AND SOMETIMES ABOUT
did bob give someone roses?,BOB SOME+ONE SOMETHING/ONE ONE DRIVE
"if he can't finish reading the book, then he will give it back to the teacher.",GIVE BACK SIT WHEN FINISH ARRIVE HEADACHE NONE/NOTHING BACK FINISH THEN FINE THEN GIVE TEACHER FINISH HEADACHE THEN READ
it is important to escape the big storm.,ESCAPE ESCAPE ESCAPE STOP STOP BIG BIG TOMORROW
"...the quarterback, who has the running back behind him.  ",THING LIGHTNING HEARING BRING MORNING NOTHING KNOW-NOTHING HEARING BRING NOTHING FISHING BRING ANY+THING
i tend to commute to and from work by bicycle.,ICL TO/UNTIL FROM BICYCLE FROM WORK TOMORROW AND TEND WORLD
"when my computer breaks down and i don't know what to do, i'll ask someone for help.",KNOW FOR-FOR AND WHEN KNOW WHEN FOR WHEN WHEN WHEN KNOW FOR-FOR ASK KNOW ASK KNOW AND FOR-FOR SOMETHING/ONE DOWN WHAT DOWN
john hasn't finished reading the book yet.,BOOK BOOK READ BOOK REALLY+WORK FINE BOOK LOOK BOOK
"dana was watching me.  she was mischevious, dana was--same as me growing up.  ",GROUP/TOGETHER GROUP/TOGETHER GROW-UP NONE/NOTHING HOME THING SAME GROUP/TOGETHER SAME SAME TIME WATER NAME MEET SOME NONE/NOTHING SAME SAME
who sent the letter?,CAR+AGENT CAR+AGENT CONFIDENT SEND/MAIL
should mother buy a car?,AREA MOTHER AUSTRALIA ASIA MOTHER
john lived in chicago.,CHILDREN INTERPRET INFORM JOHN
"they exceed normal voice ranges, which gives rise to various interpretations.",VOICE WHICH VARIOUS NORMAL TO/UNTIL NORMAL VARIOUS NOISE TOTAL WHICH VARIOUS WHICH
"""you're going to hawaii for christmas break ?"" ""no, i'm going to hawaii for spring break.""",TOMORROW KING SPRING FOR CHRISTMAS SPRING TAKE-BREAK TOMORROW SPRING FOR CHRISTMAS FOR-FOR CHRISTMAS SPRING BREAK FOR-FOR FOR NONE/NOTHING FOR-FOR TO/UNTIL FOR HEARING FOR-FOR SPRING FOR-FOR
where is the video phone that you want?,PHONE PHONE HERE GOOD/THANK-YOU WHERE NONE/NOTHING+ONE GOOD/THANK-YOU PHONE
he pries open each corner.,HEADACHE HEADACHE CORRECT EACH EACH
i must find a gift for my mom.,AUSTRALIA MUST FOR-FOR AAA AAA MUST FIND AAA
"after not studying, there's always a pop quiz.",AAA NOT AUSTRALIA POP AND ANGELA ANGELA AFTER ALWAYS CANNOT POP
"for example, a styrofoam cup, when it  is peeled, is extremely noisy and loud. it sounds like fingernails scratching a chalkboard. so there is a warning not to peel styrofoam cups.",SOMETHING/ONE AMONG_2 NOISE SOMETHING/ONE AND WARM A-OK AND HEARING FINE HEARING WHERE AND AND NONE/NOTHING HEARING AND WHERE TO/UNTIL AGAIN FINISH ABOUT ABOUT ABOUT AND TO/UNTIL FINE HERE TO/UNTIL HEARING TOMORROW HEARING FINE NONE/NOTHING NOISE ABOUT
"if my friend boldly asks for directions, i am willing to drive.",FORMERLY DIRECT/EXPLAIN FRIEND INTERCOURSE+fs-UP ICL FOR TOTAL TOMORROW DRIVE NONE/NOTHING FOR THING HEARING
"it wasn't john whose car broke down, it was mary.",WHO CAR WAS HIT JOHN MARY MARY SIT LITTLE-BIT WHO WAS WHO HIT
"the deaf person said, ""sure thing"" and drove away.",AND DEAF FUTURE MOVE AND PERSON DEAF FUTURE AND PERSON DROP THINK
who is planning to surprise bob?,HEARING BOB PLAY NOISE WHO THING
that makes it to seem like an opportunity to do more than one.,MAKE THAT SEEM THAN MORE TOGETHER/GO-STEADY_2 THAN SEEM THAN LIKE THAN THAT SEEM
"no, mary is not a vegetarian.",IDEA MARY MARY AREA ABOUT AUSTRALIA AUSTRALIA
"when the president leaves, i will talk with the reporter.",PRESIDENT PRESIDENT WHERE WITH WHEN WITH WHERE TALK STILL TALK WITH
mother looks sick? how?,HOW-MANY OTHER MOTORCYCLE MOTHER+FATHER HOW
and how deaf people form their voice range.,THEN UNDERSTAND HOW AND VOICE VOICE RANGE FOR
"so basically, i almost never went home to except for vacations or long weekends, that`s when i would commute. but, most of the time i stayed in rochester...",MOST FOR-FOR NEVER MOST MOST TIME MOST FOR-FOR ALMOST ALMOST TIME LONG TIME WHEN ALMOST WHEN SO-SO ALMOST LONG ALMOST FOR FOR-FOR SO-SO FOR-FOR FOR MOST TIME LONG FOR LONG LONG LONG FOR-FOR MOST MOST MOST
i have an older sister.,CAN OLDER ICL MAN OLDER
"(the teacher) regularly watches him,  encouraging him to read.",DRESS/CLOTHES TEACH+AGENT TEACH+AGENT WATER READ READ READ TO/UNTIL BRING WATER+DCL WATER TEACH+AGENT
did mother go to the store?,TOMORROW FATHER OTHER FATHER STORY TO/UNTIL
"wow, he/she left fast.",FAST_2 FAST_2 WOW/AWFUL WOW/AWFUL WOW/AWFUL
father is currently mowing the lawn.,MOTHER FATHER MOTHER TEACHER OTHER THING
why do you have to use the video phone? can't you text?,TOMORROW DO-DO USE HOUSE TO/UNTIL USE WHY WHY CANNOT TO/UNTIL USE-SIGN-LANGUAGE TO/UNTIL HAVE REFUSE HOUSE
mother gave john chocolate yesterday.,TEACHER MOTHER+FATHER MOTHER+FATHER CHOCOLATE JOHN
i'm working.,WORSE WORD WORK WORLD
"if i don't have a book to read, i get bored.",AUSTRALIA ICL ASIA AAA ICL GET ANGELA AUSTRALIA AUSTRALIA AAA AUSTRALIA AREA GET ASIA
who is sick?,THIS WHO ENNIS
how many books will john buy?,HOW SHOW MANY STILL HOW JOHN
he married that woman and lived happily ever after.,HEAR CHAT EVER FAMILY WOMAN MAN CHAT WOMAN AND
my sister wants a headband for her birthday.,FOR ASIA SISTER AUSTRALIA FOR-FOR SISTER HER HEADBAND
"they didn't care about money: back in the 50s and 60s, football...",CARE BACK ABOUT AND AND BACK ALEC-BALDWIN BACK AND ABOUT AND GO-OUT INFORM CARE INCLUDE/INVOLVE RAIN FIND/FIND-OUT FIND/FIND-OUT AND CARE FIND/FIND-OUT FIND/FIND-OUT
"then interpreter informed me that my ""inhale to avoid cough"" sounded like a sigh.",ASIA ANGELA THAT ANGELA AUSTRALIA THAT AREA ANGELA AAA THEN ANGELA MEAN ASIA THEN SAME THEN
my sister went water tubing.,SISTER DIFFERENT WATER LATER PRESIDENT
"no, i don't have a car.",AUSTRALIA AAA ASIA CAR HAVE ASIA ICL AREA ICL
she didn't realize that her voice actually sent a message that was misunderstood.,AAA ASIA ANGELA WAS AREA HER HER WAS ASIA ANGELA AUSTRALIA AAA AUSTRALIA REALIZE AUSTRALIA
the teacher cleans the classroom everyday because he wants it clean for his students.,FOR-FOR BECAUSE EVERY+fs-DAY FOR EVERYDAY HEADACHE EVERYDAY HEARING FOR TEACHER FOR HERE EVERYDAY FOR-FOR
the friends have not played frisbee.,PLACE HAVE PLAY CANNOT CANNOT NOT-KNOW
"...really, football players now make millions of dollars.  ",SMALL UP-TO-NOW KNOW BASKETBALL KNOW PLAY OFTEN KNOW PLAID SHIRT FOOD FOOD
the screening shows that the baby is deaf.,SCRIMMAGE THAT MORNING NOTHING SHOW HEARING BABY THING
but anyway i was sitting...,ICL INCLUDE/INVOLVE ANY+ONE SIT IDENTIFY INFORM BUT
you're going to the mall today? can i join? my car has a flat.,AAA CAR AUSTRALIA ARRIVE AREA ANGELA ASIA ASIA ASIA ANGELA ICL AREA TO/UNTIL AGAIN ICL ICL ASIA AAA
wolf chased after the pigs.  two pigs went into the brick house.,ENTER THEN OVER/AFTER DIFFERENT CHAT BETTER DIFFERENT PIG CHANGE ENTER ENTER TEACH+AGENT TEACH+AGENT
barack obama swam at the beach.,BEACH THAT EAT OBAMA BACK BOAT
jim threatened to sue the man who punched him.,SUE SUE SUE WHO WHO MAN MAN TOMORROW MANY
mary owns many different cars.,MANY HOW-MANY MANY PRESIDENT MARY
john's voice was a good match to the character he played. his character in the movie was that of a swashbuckler.,VOICE MOVIE WAS VOICE THAT CHAPTER CHARACTER CHARACTER CHARACTER VOICE CHARACTER GOOD MATCH THAT CHARACTER VOICE AREA CHARACTER AREA MATCH GOOD HEADACHE MOVIE AREA
is bill planning on moving to new york?,MOVIE_2 BILL PLAY FISHING SOON NEW BILL NONE/NOTHING
"in the field of audiovocal orientation, they have their own way of viewing the role of voice range...",VOICE OWN WAY ROLE ROLE THING OWN THING VOICE ROLE FIELD WAY VOICE VOICE OWN RAIN HAVE OWN AUDIOVOCAL ROLE NONE/NOTHING
i didn`t enjoy talking to donna and jessica.,ENJOY INTERCOURSE+fs-UP ENJOY TALK TOMORROW DONNA TALK TOMORROW TALK TALK
"my hand became numb, and he stitched it.",UNDERSTAND HEAR HEARING SAME HEARING AND AND HUSBAND HEADACHE
