input sentence,translation
did john read the book?  when?,IX fs- JOHN FINISH READ BOOK WHY
what kind of car did he buy?,POSS MOTHER BUY HOUSE
how many books does john want to buy?,fs- JOHN FINISH GIFT CAR GIFT IX fs-
where did the friends drive to?,POSS FRIEND GROUP/TOGETHER DCL
i found someone's book.,IX MOTHER BUY BOOK
“the economy now is great! it`s fine.” “no! it`s really messed up now.”,IX IX HAVE fs- LATE NIGHT IX MUST PAY fs- OF IX MUST PICK/CHOOSE IX SAY CAN TELL POSS FAMILY IX NOT REASON IX
"...anyway, i wrote that i wanted a burger with fries, just simple...cooked medium..",BCL BCL IX IX fs- OF PERSON POSS FRIEND GROUP/TOGETHER DCL fs- OF fs- IT # NO POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"when bob starts the fire, we will collect logs to keep it going.",FRIEND fs- BOB IX KISS-FIST APPLE WHO KISS-FIST LOOK WOW
"it feels like they have died, and become a zombie, disconnected from the reality of the world. they talk, but they cannot hear.",IX fs- VERY fs- LATE NIGHT IX IX IX IX fs- OF SCL IX MUST WAIT IX MUST NICE/CLEAN KITCHEN
mary is a vegetarian.,fs- JOHN SHOULD GO-OUT
"when it was time for his voice test, his voice didn't match the character. things weren't like they used to be and his career slumped.",REALLY POSS fs- BOB IX MAN RECENT-PAST HAVE BIG # LA IX fs- OF fs- OF fs- PARK IX HAVE BIG # SO IN # DO
my friends crashed the party.,FRIEND IX FRIEND GO-OUT PARTY
"no, the car's not broken.",IX ARRIVE HOME
"i rummaged in the trunk.  i admit that it was my first time changing a tire. i know all men should know how, but unfortunately, i didn't.",IX CAN LOOK fs- BOB WHY IX fs- OF
... on which area each would have and went ahead to start setting them up.,# IF IX NOT RAIN WHY
i remember i was young.  it was my first book i read...,IX CAN LOOK BOOK IX FINISH READ BOOK
"if john did that to me, we would have broken it off a long time ago.",fs- JOHN KNOW POSS FAMILY IX NOT LIKE PINEAPPLE fs- BOB IX fs- JOHN FINISH READ BOOK
"if my son is born tomorrow, he will be born in 2013.",IF POSS FAMILY VACATION fs- LATE IX MUST PAY fs- LATE NIGHT IX NOT WIN
"mary enjoys acting, not reading.",fs- MARY IX fs- MARY NOT
"does john drive mary to work? no, he usually drives amy to work.",fs- MARY IX IX fs- JOHN FUTURE READ BOOK
"oftentimes, people who have experience  talking on the phone, visualize what the person they're talking to might look like.",# IF POSS FAMILY PROCEED IX fs- LATE IX
she talked into my ears and i didn't pay attention.,STUDENT IX KISS-FIST CHOCOLATE fs- LATE IX MUST PAY fs- EVEN LOOK-BACK
my friend is calling home on the video phone.,# WHEN IX fs- LATE NIGHT IX MUST
then i got back into the shower and washed up. it felt so good!,IX MUST PAY IX fs- LATE NIGHT IX IX fs- LATE IX IX HAVE BIG
john is arriving.,fs- JOHN FUTURE
...because muhammad ali has parkinson's disease...,fs- MARY IX fs- BOB WHY IX fs- LATE NIGHT IX fs- OF
"john was reading that book, what did he say it is about?",fs- JOHN FINISH READ BOOK WHY IX NOT MUST
mother bought one book yesterday.,MOTHER READ BOOK
which high school did you go to?,fs- JOHN POSS fs- BOB IX NOT
"if it rains tomorrow when i arrive at my uncle's house, i will stay inside.",IF IX KISS-FIST MOVIE ACT WHO
the parents of the group with deaf professionals would get through the grief progress quicker and usually be able to move on quickly.,# SO IX fs- VERY fs- BEACH IX CANNOT IX IX NOT CANCEL/CRITICIZE IX MUST IN # IF fs- OF IX IX NOT
my aunt is an expert at making blue berry pies because she grew up making them.,POSS FAMILY MOVE BCL IX LOOK OH-I-SEE IN fs- OF IX # SO IX # NO
the study notices how the hit group thinks that the glass wasn't broken at all.,IX NOT LIKE MOVIE IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM IX IX NOT LIKE MOVIE
"you're wrong, that is not pineapple cream cheese. i prefer lox.",IX NOT LIKE CHOCOLATE IX fs- OF IX MUST fs- OF fs- CREAM CHEESE IX
"the cultural interpretation is that these noises fit with anger, happiness, or various other things.",IX LOOK OH-I-SEE # NO IX CAN DCL DCL DCL DCL DCL DCL DCL
"sometimes he  imagines he is still boxing in the ring,",DRESS/CLOTHES IX LOOK OH-I-SEE IN # LA # DO #
you probably wondering why i didn't report it to the police.,IX NOT REASON COP LOOK OH-I-SEE IX MUST WRITE
...i saw a bush.,IX MUST DCL fs- LATE IX IX
"no, i wouldn't stop vomiting if i had pineapple cream cheese. lox only is fine with me.",# IF fs- OF # SO IX # IF IX MUST IX fs- BEACH DCL DCL IX NOT REASON IX MUST
maybe john and mary will decide to work together now.,fs- JOHN FINISH READ BOOK
"if my family adopts the puppies, i will immediately go to the pet store to buy collars, of which they have assorted colors.",# IF POSS BIRTHDAY_3 NOT STAY_2 HOME fs- OF IX MAN IX HAVE THAT KIND IN BROOKLINE # IF IX DCL DCL COW PURPLE
"my friend is leaving when?  uh, tomorrow.",FRIEND GROUP/TOGETHER DEPART CAMP IX IX
are the friends going out?,POSS FRIEND IX FRIEND
the teacher expects john to read a lot.,TEACHER LIKE CHOCOLATE fs- MARY IX
he puts the cover back on and nails down each corner.,REALLY IX MUST BUY BOOK WHY IX MUST WRITE
who listens to the teacher?,THEN FAMILY VACATION IX WHO
when jack was standing outside did he see something/someone weird?,fs- BOB IX NOT LIKE CHOCOLATE DRY-CEREAL IX NOT LIKE PINEAPPLE fs-
i've never seen john's car.,IX ARRIVE HOME fs- JOHN GIFT fs- LATE NIGHT
who wants to play frisbee?,WHO ARRIVE HOME ICL ICL
"a doctor came in, he was new and had just joined the staff.",IX IX IX fs- OF IX IX fs- LATE NIGHT
who found the key?,IX MUST PAY EVERY-MONTH/RENT
there's no rain.,POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"of course, it's because l.a. is near the mexican border. ",BCL IX MAKE ICL ICL ICL
the mother and the boy are both going to the library.,STUDENT IX MOTHER IX NOT BUY HOUSE
did the student's mother buy a car already?,STUDENT IX ARRIVE
it was good time.  all night i enjoyed myself.,IX LOOK OH-I-SEE IX MUST PICK/CHOOSE ONE
"""i don't want to see any end zone...",POSS IX IX NOT IX MUST MAKE REALLY IX fs- BEACH IX fs-
he removes the lid.,IX MUST PAY WHO
"when the teacher finishes reading the magazine, he/she will read a book.",# NO POSS fs- JOHN SHOULD IX MUST GIFT IX NOT BUY CAR
it's john who will give a car to (his) father.,FATHER ARRIVE HOME IX fs- JOHN
some woman arrived.,# IF IX
who wants to play frisbee?,WHO ARRIVE HOME fs- GRUNT
is that videogame easy to beat?,THEN BCL BCL BCL BCL BCL
...is my favorite sport.,IX fs- BEACH MANY DIFFERENT IX NOT
we just sat and relaxed--aaahhh...,# IF IX NOT BUY HOUSE IX
"next week, john is going to new york.",IX MAN VACATION EVERY-YEAR IX NOT LIKE PINEAPPLE fs-
"they really can do all of the options. one family can choose to use sign language, and if another family wants to use speech, that's fine.",REALLY ONE IX HAVE PINEAPPLE fs- BEACH DCL DCL DCL DCL DCL IX # IF IX fs- IT # NO NOT BREAK WINDOW IX MUST PAY EVERY-MONTH/RENT
what does my sister want for her birthday?,FRIEND GROUP/TOGETHER IX fs- BEACH IX NOT LIKE
"i thought,""perfect!"" we pulled off and took the opportunity to eat at mcdonalds.  ",BCL BCL BCL BCL BCL BCL
my sister doesn`t want a headband for her birthday.,POSS FRIEND GO-OUT IX fs- GRUNT DCL TOGETHER/GO-STEADY_2 QM # IF
"""i think it was only a dream, or just my imagination about things.  i don't know--forget it,"" he said",POSS FAMILY IX MUST PAY EVERY-MONTH/RENT
"if bob gives his sweetheart a rose, she will be happy.",POSS SISTER IX fs- BOB IX # IF IX HAVE fs- BOB
sometimes deaf people share and exchange stories about what they have learned about noises. so they will be careful with subsequent situations.,IF SAME # SO IX MUST MORE ABOUT IX MUST DO THAT IX HAVE BIG fs- BEACH THAT IX DCL DCL REALLY ONE
did bob give someone roses?,IX ARRIVE HERE WHERE fs-
"if he can't finish reading the book, then he will give it back to the teacher.",IX LOOK OH-I-SEE fs- OF IX FINISH
it is important to escape the big storm.,REALLY IX IX NOT CANCEL/CRITICIZE
"...the quarterback, who has the running back behind him.  ",BCL BCL BCL fs- OF IX NOT fs- BEACH DCL fs- BEACH
i tend to commute to and from work by bicycle.,IX FAMILY PROCEED START # WHEN IX fs- OF IX
"when my computer breaks down and i don't know what to do, i'll ask someone for help.",POSS FAMILY VACATION EVERY-YEAR IX NOT # SO NOT IX MUST DCL DCL IX NOT IN # OK
john hasn't finished reading the book yet.,fs- JOHN SHOULD NOT LIKE CHOCOLATE
"dana was watching me.  she was mischevious, dana was--same as me growing up.  ",fs- BOB IX NOT LIKE PINEAPPLE fs- MARY IX fs- CREAM CHEESE
who sent the letter?,POSS FATHER IX ARRIVE
should mother buy a car?,IX LIKE CHOCOLATE IX fs-
john lived in chicago.,fs- JOHN FINISH WHERE
"they exceed normal voice ranges, which gives rise to various interpretations.",# SO IX MUST NICE/CLEAN KITCHEN IX fs- LATE POSS BIRTHDAY_3 NOT
"""you're going to hawaii for christmas break ?"" ""no, i'm going to hawaii for spring break.""",IX LOOK OH-I-SEE IX MAN HIT IX MUST PICK/CHOOSE ONE THING
where is the video phone that you want?,# IF IX FINISH SCL
he pries open each corner.,REALLY IX MUST NICE/CLEAN CLASS_2+BOX/ROOM
i must find a gift for my mom.,IX FAMILY VACATION WHERE # SO IX fs-
"after not studying, there's always a pop quiz.",IX MUST PAY fs- BOB IX CAN LOOK
"for example, a styrofoam cup, when it  is peeled, is extremely noisy and loud. it sounds like fingernails scratching a chalkboard. so there is a warning not to peel styrofoam cups.",REALLY POSS FRIEND IX NOT SNOW SCHOOL CANCEL/CRITICIZE
"if my friend boldly asks for directions, i am willing to drive.",# WHEN IX FRIEND GO-OUT PARTY WHY IX NOT LIKE CHOCOLATE
"it wasn't john whose car broke down, it was mary.",IX fs- MARY NOT POSS MOTHER IX fs- JOHN IX IX fs- MARY
"the deaf person said, ""sure thing"" and drove away.",REALLY IX DCL IX NOT
who is planning to surprise bob?,WHO BOB IX HAVE fs- LATE
that makes it to seem like an opportunity to do more than one.,REALLY POSS SISTER IX fs- LATE NIGHT
"no, mary is not a vegetarian.",fs- BEACH IX HAVE TIME s t
"when the president leaves, i will talk with the reporter.",IX # IF IX IX LOOK MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
mother looks sick? how?,MOTHER IX MOTHER FUTURE BUY
and how deaf people form their voice range.,fs- BOB IX DCL DCL DCL LOOK IN
"so basically, i almost never went home to except for vacations or long weekends, that`s when i would commute. but, most of the time i stayed in rochester...",FRIEND GROUP/TOGETHER DCL IX NOT CANCEL/CRITICIZE POSS FRIEND GROUP/TOGETHER DCL REALLY WOW IX # LA IN # IF IX NOT LIKE MOVIE # IF IX NOT IX fs- OF NOISE IX NOT POSS SISTER IX IX
i have an older sister.,IX MUST PICK/CHOOSE POSS FATHER
"(the teacher) regularly watches him,  encouraging him to read.",TEACHER FINISH READ BOOK IX FINISH READ BOOK
did mother go to the store?,STUDENT IX MUST NICE/CLEAN KITCHEN IX
"wow, he/she left fast.",REALLY IX NOT LIKE CHOCOLATE
father is currently mowing the lawn.,FRIEND GROUP/TOGETHER IX IX fs- BEACH
why do you have to use the video phone? can't you text?,IX MUST PAY fs- LATE NIGHT NOT LIKE CHOCOLATE
mother gave john chocolate yesterday.,MOTHER FUTURE BUY HOUSE
i'm working.,IX NOT IX GO-OUT
"if i don't have a book to read, i get bored.",# IF IX fs- JOHN FUTURE IX MUST
who is sick?,REALLY POSS CAR
how many books will john buy?,fs- JOHN FUTURE BUY HOUSE
he married that woman and lived happily ever after.,# SO IX NOT HAVE BIG fs- LATE NIGHT
my sister wants a headband for her birthday.,FRIEND GROUP/TOGETHER POSS FRIEND GO-OUT FISHING fs- GRUNT
"they didn't care about money: back in the 50s and 60s, football...",# IF IX IX IX MUST NICE/CLEAN KITCHEN # IF IX IX NOT LIKE CHOCOLATE DRY-CEREAL IX NOT RAIN IX IX fs-
"then interpreter informed me that my ""inhale to avoid cough"" sounded like a sigh.",FRIEND GROUP/TOGETHER DCL IX MUST NICE/CLEAN KITCHEN IX # OK SCL fs- BEACH IX MUST NICE/CLEAN
my sister went water tubing.,FRIEND GROUP/TOGETHER DEPART WHO
"no, i don't have a car.",IX CAR NOT ARRIVE IX
she didn't realize that her voice actually sent a message that was misunderstood.,# WHEN IX IX NOT IX fs- OF fs- OF IX NOT LIKE IX NOT
the teacher cleans the classroom everyday because he wants it clean for his students.,TEACH+AGENT TEACH+AGENT TEACH+AGENT TEACH+AGENT TEACH+AGENT TEACH+AGENT IX HAVE PINEAPPLE POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER LOOK
the friends have not played frisbee.,FRIEND IX POSS FRIEND IX #
"...really, football players now make millions of dollars.  ",# SO IX NOT fs- BOB IX MUST NICE/CLEAN KITCHEN
the screening shows that the baby is deaf.,FRIEND GROUP/TOGETHER DEPART FISHING IX NOT HAPPY
but anyway i was sitting...,IX LOOK IX
you're going to the mall today? can i join? my car has a flat.,IX NOT RAIN IX fs- GRUNT ALSO POSS FRIEND GROUP/TOGETHER DEPART CAMP DCL REALLY POSS fs- OF fs-
wolf chased after the pigs.  two pigs went into the brick house.,IX CAN LOOK OH-I-SEE IX MAN IX CAN CREATE/PRETEND CAN FIND/FIND-OUT UMBRELLA
barack obama swam at the beach.,fs- BEACH POSS fs- BEACH DCL
jim threatened to sue the man who punched him.,fs- JOHN IX FINISH ARRIVE HOME fs- BEACH DCL
mary owns many different cars.,fs- MARY IX NOT MANY
john's voice was a good match to the character he played. his character in the movie was that of a swashbuckler.,fs- JOHN FUTURE GIVE - p l s e s e c i v e s e s e s e p l s
is bill planning on moving to new york?,fs- DANA SAY YES WONDERFUL IX LOVE TRIP
"in the field of audiovocal orientation, they have their own way of viewing the role of voice range...",# IF IX fs- BEACH IX fs- BEACH IX # LA DCL fs- OF fs- BEACH THAT IX # OK FINE
i didn`t enjoy talking to donna and jessica.,IX IX HAVE fs- BOB IX CAN fs- BOB IX
"my hand became numb, and he stitched it.",POSS FAMILY VACATION EVERY-YEAR IX NOT LIKE MOVIE IX
"after working out and playing he went into the locker room to change clothes and next to the room there was a hallway. he heard two deaf people grunting. as if they were having a conversation, and grunting back and forth.",fs- OF NOISE SCL IX DCL REALLY WOW DEAF fs- BEACH IX fs- BEACH IX MUST NICE/CLEAN KITCHEN
"if i don't have any money, i go to my aunt's house and eat there.",# NO IX NOT ARRIVE HOME fs- ALI
john should buy a car.,fs- JOHN SHOULD BUY HOUSE
"that list goes from ""a"" to ""n"".  picking a word, ""noise"": people should be aware that deaf people make noise, often without realizing it.",# SO IX fs- OF IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM IX NOT DEAF PERSON WHO fs- OF fs- OF IX fs- GRUNT LOOK LOOK LOOK BUT # NO NOT IX DCL
"so, i will be analyzing what goes along with deaf speech.",# NO IX IX # WHEN IX # IF IX NOT fs-
what did john buy yesterday?,fs- JOHN ARRIVE HOME fs-
"the house shakes again, louder and worse than before.  he ran downstairs.",POSS FAMILY VACATION EVERY-YEAR IX GRAB-CHANCE DCL TOGETHER/GO-STEADY_2 QM IX NOT CANCEL/CRITICIZE
"wow, his/her friend is a tall man.",POSS SISTER IX GO-OUT PARTY
"wow, someone told me that the president might get fired.",POSS SISTER IX IX MUST NICE/CLEAN KITCHEN
the student does not like chocolate.,STUDENT IX ARRIVE HOME fs- LATE
"""...i saw him put something in his mouth""",# NO NOT fs- MARY NOT CANCEL/CRITICIZE POSS SISTER NOT LIKE CHOCOLATE
"if mother cleans the kitchen, it means we can`t bake cookies.",# IF IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM IX IX NOT RAIN
the movie starts at 7.,TEACHER NOT LIKE MOVIE IX
"if my friends do not want to go out, i will stay home and watch television.",POSS FRIEND IX NOT POSS FRIEND IX fs- VERY MARY IX MUST
if it stops snowing outside then school will reopen tomorrow.,# SO NOT REASON IX KISS-FIST IX KISS-FIST CHOCOLATE DRY-CEREAL
"i had to put up and stay up til six or seven in the morning.  i was hoping that gas station would be open by then, since i needed my tire fixed before i went on to boston.",# SO THAT IX MUST VACATION EVERY-YEAR IX MUST MORE FRIENDLY IX # NO IX LOOK OH-I-SEE IX NOT BREAK IX MUST MAKE REALLY WOW
if john stays home it probably means he's sick.,IF POSS SISTER IX MUST PAY n t i n t
they grabbed my arm and bent it behind my back.,# SO IX IX IX # NO IX CAN IX
i bought a gift for my mom. she will love it!,IX CAN READ_2 WRITE THREE BOOK-PAGE PAPER fs- OF fs- RENT WHO
four of us boys lived in a dorm room.,IX MUST PAY EVERY-MONTH/RENT WHO
"what they praise is connected to the voice; they say, ""you have a beautiful voice""…",IX IX MUST BUY SHORTS IX fs- LATE NIGHT
i will keep drinking coffee.,IX FAMILY VACATION EVERY-YEAR WHO
sue is buying that blue car.,fs- JACK IX fs- LATE
"yesterday, i didn't play any golf.",fs- JOHN POSS FAMILY VACATION EVERY-YEAR WHERE NOW SCL
"he died way back, when i was around 8 years old.",IX IX MUST PAY fs- OF NOISE IX MUST PAY fs- OF
"john won't take mary to work, he usually takes amy.",fs- JOHN FINISH READ BOOK
"if bob studies literature, he will pass his final exam.",IX fs- BOB IX fs- BOB IX fs- BOB IX HAVE
"""i want to see you put the ball down on the ground...",IX fs- BOB IX IX CAN LOOK OH-I-SEE IX fs- OF fs- LATE IX MUST
did mother give chocolate to john?,fs- JOHN FINISH READ BOOK IX
was i passed out drunk last night?,POSS FAMILY VACATION EVERY-YEAR VACATION
i went and got another bag to put on my hand.,IX IX IX GO-OUT WHO
my friend is surfing the web.,FRIEND GROUP/TOGETHER DEPART HOME fs- LATE
father likes both books and movies.,STUDENT POSS FATHER IX BOOK WHY
"the wolf held his sore behind in relief, then ran away.  the three pigs happily celebrated and danced.  they lived together for ever after.  ",REALLY IX LOOK OH-I-SEE fs- LATE IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM IX CANNOT
how many books will the students read?,STUDENT BOOK FUTURE FINISH READ BOOK
frank's car broke down.,fs- JOHN FINISH READ BOOK
"if it's raining tomorrow, i'll stay home.",# IF IX IX NOT LIKE MOVIE # SO IX MUST NICE/CLEAN
who sent the letter?,POSS SISTER ARRIVE HOME
"here (in boston), they have good service, well not 100 percent of time but you tend to get good service---they make sure you're comfortable. ",IX IX LOOK LOOK IX fs- BEACH DCL DCL DCL fs- OF IX NOT LIKE PINEAPPLE fs- OF fs- LATE NIGHT
"my mother told her to take it easy, said ""we'll see... """,MOTHER FUTURE IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM IX
"really, i felt...",REALLY IX fs- BOB IX MUST
who is going out?,REALLY WHO WHO NOT
the boy's bike crashed and he fell off.,fs- BRIDE AND fs- OF EXPERIENCE fs- OF IX BUOY
john should not buy a house.,fs- JOHN FINISH READ BOOK HOUSE
who will go to the post office?,IX NOT ARRIVE HOME fs- OF WHO
that first night they brought me home...,IX MAN IX HAVE BIG # IF FRIEND IX
"analyzing information from a voice that tells their character, their personality, and their job. you may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...",fs- JACK POSS fs- JOHN FINISH NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM # OK IX # SO IX IX fs- BEACH DCL DCL IX fs- BEACH DCL REALLY POSS FAMILY VACATION IX fs- IT IX NOT REASON POSS VOICE IX
"when father arrives home late, mother refuses to make dinner.",POSS FRIEND IX fs- LATE NIGHT IX IX fs- JOHN IX
"honestly, i don`t like commuting to work by bicycle.",# SO POSS SISTER IX NOT BREAK WINDOW # NO IX MUST
john did not visit mary.,fs- JOHN fs- JOHN FINISH
because that waitress was really hard to understand.,IF IX NOT IX MUST DCL IX NOT
"the hearing people don't tell each other, ""you have a good speech,"" they don't.",# DO THAT IX LOOK OH-I-SEE IX fs- OF fs- IT # SO IX CANNOT 0 DEGREE IN THAT KIND fs- OF
why do you work all night?,IX MUST PAY fs- JOHN SHOULD
wearing black clothes in the summer will make you hot.,FRIEND LOOK LOOK LOOK DCL DCL DCL IX MUST MAKE
he drank coffee all day.,HORSE IX ARRIVE HOME fs-
i notice that babies hate fireworks. the fireworks scare the babies.,IX MUST PAY EVERY-MONTH/RENT
the deaf person continued driving and started to speed again.,BCL BCL IX # IF IX IX IX IX IX
i swerved and slammed on the brakes; the headlights shone right in the deer's face.,IX NOT LIKE CHOCOLATE DRY-CEREAL IX IX # SO IX NOT # IF IX
why are they chasing me? i asked myself.,BCL BCL
the teacher finished reading the magazine so now she is going to read a book.,TEACHER NOT ARRIVE HOME fs- OF
i commute to work by bike.,IX CAN READ_2 BICYCLE WHO
the horses hate the rain- they don't like running in the rain.,IX FAMILY IX START PAST+NIGHT PAST+NIGHT PAST+NIGHT WHY IX NOT LIKE MOVIE ACT IX
when did the president go to china?,FRIEND IX MUST NICE/CLEAN MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"last week, john went to new york.",FRIEND GROUP/TOGETHER DEPART CAMP IX fs- BEACH DCL
"if my family decides not to adopt the puppies, my friend probably will.",# IF FRIEND IX IX MUST IX # IF POSS FAMILY VACATION EVERY-YEAR WHERE
i changed the tire. the tire was a donut tire that is only supposed to last for 50 miles.,IX CAN TELL fs- OF NOISE MAKE REALLY ONE HOTEL GAMBLE ALL-NIGHT THING BCL
"once i finish work, i'm going home.",IX IX ARRIVE HOME fs- OF POSS
there are many issues related to how body control is associated with objects in the environment.,# IF POSS FAMILY VACATION WHERE NOT LIKE PINEAPPLE
it is empty.,IX fs- OF
did bob send the letter?,fs- BOB IX fs- JOHN
i told him/her tomorrow it would rain.,IX LOOK LOOK OH-I-SEE SCL
mother is sick because she just took care of her ill friend.,STUDENT IX IX IX MUST PAY EVERY-MONTH/RENT POSS FATHER IX IX IX
"if i pay rent now, i will have to cancel my vacation.",IX NOT BUY CAR NOT CANCEL/CRITICIZE NOT MUST NICE/CLEAN KITCHEN # NO IX
"i didn't realize that nebraska was really that big! but anyway, so i was driving...",# NO IX MUST PAY fs- IT IX NOT HAVE MANAGE/CONTROL
