input sentence,translation
then i got back into the shower and washed up. it felt so good!,IX IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM
john is arriving.,fs- JOHN FUTURE
...because muhammad ali has parkinson's disease...,fs- JACK IX SAY DCL fs- JOHN FUTURE PAY/SPEND PEOPLE WHO
"john was reading that book, what did he say it is about?",IX MOTHER IX fs- JOHN IX NOT LIKE READ BOOK IX NOT SCL
mother bought one book yesterday.,STUDENT IX MOTHER GIFT BOOK
which high school did you go to?,IX fs- JOHN FINISH IX NOT IX
"if it rains tomorrow when i arrive at my uncle's house, i will stay inside.",# SO IX MUST PAY s e s t - p l s e p t i n
the parents of the group with deaf professionals would get through the grief progress quicker and usually be able to move on quickly.,IX THINK THAT IX IX MUST DCL DCL DCL IX NOT CANCEL/CRITICIZE
my aunt is an expert at making blue berry pies because she grew up making them.,MOTHER IX fs- GRUNT REALLY POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
the study notices how the hit group thinks that the glass wasn't broken at all.,# IF POSS SISTER IX MUST PICK/CHOOSE - p l s e p l s e s
"you're wrong, that is not pineapple cream cheese. i prefer lox.",IX IX ARRIVE IX fs- MARY IX LOOK fs- LATE NIGHT
"the cultural interpretation is that these noises fit with anger, happiness, or various other things.",# NO POSS IDENTIFY # NO IX NOT LIKE MOVIE NOT CANCEL/CRITICIZE IX LOOK # WHEN
"sometimes he  imagines he is still boxing in the ring,",HORSE DEAF DCL DCL IX NOT BREAK YES
you probably wondering why i didn't report it to the police.,IX SAY LOOK LOOK OH-I-SEE VOICE
...i saw a bush.,IX IX IX NOT IX SAY IX
"no, i wouldn't stop vomiting if i had pineapple cream cheese. lox only is fine with me.",# SO THAT NOT fs- LATE NIGHT fs- GRUNT LOOK fs- SPEECH # SO THAT IX LOOK # SO IX CANNOT
maybe john and mary will decide to work together now.,fs- JOHN FUTURE GIVE FLOWER POSS MOTHER FUTURE READ BOOK
"if my family adopts the puppies, i will immediately go to the pet store to buy collars, of which they have assorted colors.",# IF RAIN IX HAVE BIG # DOG_2 THAT IX MUST NICE/CLEAN KITCHEN NOT HAPPY IX CAN - p l EAT+NIGHT EAT+NIGHT EAT+NIGHT EAT+NIGHT EAT+NIGHT
"my friend is leaving when?  uh, tomorrow.",IX SISTER IX POSS FRIEND GO-OUT FISHING IX
are the friends going out?,FRIEND GROUP/TOGETHER IX FINISH READ
the teacher expects john to read a lot.,STUDENT IX IX fs- JOHN READ BOOK
he puts the cover back on and nails down each corner.,SAME IX LOOK - c o n t i n t
who listens to the teacher?,DRESS/CLOTHES IX ARRIVE HOME WHY
when jack was standing outside did he see something/someone weird?,fs- BOB HAVE fs- LATE NIGHT DCL TOGETHER/GO-STEADY_2
i've never seen john's car.,IX FINISH READ BOOK IX CAR BREAK-DOWN IX fs-
who wants to play frisbee?,WHO ARRIVE HOME fs- RENT
"a doctor came in, he was new and had just joined the staff.",REALLY IX LOOK IX LOOK IX NOT MUST IX LOOK fs- IT
who found the key?,# WHEN POSS FRIEND
there's no rain.,IX CAN TELL # NO
"of course, it's because l.a. is near the mexican border. ",BAD IX CAN REALLY MANY THING IX DEAF PEOPLE WHO IX DCL DCL DCL DCL DOG
the mother and the boy are both going to the library.,STUDENT IX IX HAVE MANY THING QM
did the student's mother buy a car already?,POSS FATHER ARRIVE HOME
it was good time.  all night i enjoyed myself.,# IF RAIN QM
"""i don't want to see any end zone...",IX IX IX # SO IX IX fs- VERY fs- LATE IX SCL
he removes the lid.,# IF IX HAVE
"when the teacher finishes reading the magazine, he/she will read a book.",TEACHER IX fs- LATE NIGHT IX NOT LIKE CHOCOLATE DRY-CEREAL IX IX SCL DRY-CEREAL IX
it's john who will give a car to (his) father.,ARRIVE POSS fs- MARY BUY HOUSE
some woman arrived.,SOMETHING/ONE STRANGE ARRIVE
who wants to play frisbee?,STUDENT IX MUST VACATION BOOK
is that videogame easy to beat?,FRIEND GO-OUT FISHING fs- BEACH QM
...is my favorite sport.,REALLY IX IX fs- EVEN INCLUDE/INVOLVE fs-
we just sat and relaxed--aaahhh...,IX NOT LIKE CHOCOLATE IX NOT DEAF PEOPLE fs- BILL
"next week, john is going to new york.",# OK POSS FAMILY VACATION QM
"they really can do all of the options. one family can choose to use sign language, and if another family wants to use speech, that's fine.",IX fs- EVEN DEAF SISTER IN THAT IN THAT FOR THAT SAME IX fs- VERY MOTHER+FATHER HOW DEAF PERSON IX DCL COW MORE DCL DCL DCL # SO NOT # OK
what does my sister want for her birthday?,FRIEND IX HAVE POSS SISTER QM QM
"i thought,""perfect!"" we pulled off and took the opportunity to eat at mcdonalds.  ",POSS FRIEND IX KISS-FIST LOOK WHO QM
my sister doesn`t want a headband for her birthday.,POSS FRIEND POSS FAMILY VACATION EVERY-YEAR VACATION EVERY-YEAR IX MAKE ICL
"""i think it was only a dream, or just my imagination about things.  i don't know--forget it,"" he said",IF RAIN IX LOOK
"if bob gives his sweetheart a rose, she will be happy.",fs- BOB IX HAVE MANAGE/CONTROL # LA IX # SO LOOK fs-
sometimes deaf people share and exchange stories about what they have learned about noises. so they will be careful with subsequent situations.,IF IX HAVE DEAF PERSON ICL SAME IX HAVE THAT IN HOUSE BCL BCL BCL
did bob give someone roses?,fs- BOB IX fs- JOHN
"if he can't finish reading the book, then he will give it back to the teacher.",FRIEND DEPART CAMP DCL IX FUTURE IX
it is important to escape the big storm.,# WHEN IX MUST PAY EVERY-MONTH/RENT
"...the quarterback, who has the running back behind him.  ",IX IX # DOG_2 # NO IX fs- SPEECH BCL BCL fs- OF
i tend to commute to and from work by bicycle.,IX FAMILY VACATION EVERY-YEAR IX NOT HAPPY
"when my computer breaks down and i don't know what to do, i'll ask someone for help.",fs- DANA LOOK MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER IN ONE
john hasn't finished reading the book yet.,fs- JOHN IX HAVE BOOK
"dana was watching me.  she was mischevious, dana was--same as me growing up.  ",# WHEN POSS FRIEND IX NOT LIKE CHOCOLATE IX IX IX fs- GRUNT 1 THAT SAME SAME THAT
who sent the letter?,TEACHER NOT BUY CAR
should mother buy a car?,MOTHER CAR ARRIVE WHO POSS
john lived in chicago.,fs- SUE FRIEND GO-OUT
"they exceed normal voice ranges, which gives rise to various interpretations.",ONE IX NOT CANCEL/CRITICIZE IX MUST PICK/CHOOSE POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"""you're going to hawaii for christmas break ?"" ""no, i'm going to hawaii for spring break.""",IX MAN IX GO-OUT MOVIE ACT WHY NEW FRIEND GROUP/TOGETHER WHY BCL
where is the video phone that you want?,COP SAME
he pries open each corner.,REALLY WOW/AWFUL DCL REALLY NONE
i must find a gift for my mom.,IX MUST PAY fs- VERY OUTGOING VERY OUTGOING
"after not studying, there's always a pop quiz.",IX FAMILY VACATION EVERY-YEAR NOT BREAK IX IX HAVE fs- CREAM
"for example, a styrofoam cup, when it  is peeled, is extremely noisy and loud. it sounds like fingernails scratching a chalkboard. so there is a warning not to peel styrofoam cups.",ONE BCL REALLY IX IX MUST PAY fs- ROPE PEOPLE HAVE THAT SAME IN BOSTON # OK # OK BCL BCL
"if my friend boldly asks for directions, i am willing to drive.",FRIEND IX FRIEND GO-OUT PARTY IX
"it wasn't john whose car broke down, it was mary.",POSS fs- JOHN POSS FAMILY fs- MARY IX IX IX CAN IX #
"the deaf person said, ""sure thing"" and drove away.",LOOK FINE IX fs- OF WHO
who is planning to surprise bob?,WHO BOB IX fs- BEACH IX
that makes it to seem like an opportunity to do more than one.,REALLY NONE SCHOOL IX fs- LATE NIGHT IX NOT REFUSE LOOK LOOK
"no, mary is not a vegetarian.",fs- JOHN KNOW MANY THING THING
"when the president leaves, i will talk with the reporter.",IX MUST # IF IX NOT REASON ONE THREE PIG SCL
mother looks sick? how?,STUDENT IX KISS-FIST CHOCOLATE IX
and how deaf people form their voice range.,IX MAKE PEOPLE WHO # LA SAME VOICE
"so basically, i almost never went home to except for vacations or long weekends, that`s when i would commute. but, most of the time i stayed in rochester...",# LA # SD WHEN IX fs- LATE NIGHT IX LOOK OH-I-SEE IX MUST PICK/CHOOSE ONE SAME IX THAT BOOK FUTURE PROCEED TAKE-UP DCL DCL DCL # WHEN
i have an older sister.,# SO IX FINISH GO-OUT
"(the teacher) regularly watches him,  encouraging him to read.",REALLY ONE WOW IN IX LOOK
did mother go to the store?,TEACHER IX KISS-FIST CHOCOLATE DRY-CEREAL SCL
"wow, he/she left fast.",BUT # WHEN IX fs- OF fs-
father is currently mowing the lawn.,IX FAMILY SCL SELL IX #
why do you have to use the video phone? can't you text?,IX LOOK PERSON IX fs- VERY IX HAVE BIG
mother gave john chocolate yesterday.,MOTHER BOOK IX fs- JOHN
i'm working.,IX NOT RAIN NOT
"if i don't have a book to read, i get bored.",# IF POSS FAMILY IX fs- LATE IX HAVE IX fs- JOHN IX NOT
who is sick?,WHO ARRIVE HOME
how many books will john buy?,fs- JOHN FUTURE GIVE fs- JOHN
he married that woman and lived happily ever after.,POSS SISTER IX NOT IX HAVE BIG fs- OF
my sister wants a headband for her birthday.,POSS FRIEND DEPART CAMP WHY POSS FRIEND IX
"they didn't care about money: back in the 50s and 60s, football...",# IF IX THAT IX # DOG_2 IX fs- OF PEOPLE IX IX ENJOY MOTORCYCLE IN THAT IX # SO DCL REALLY
"then interpreter informed me that my ""inhale to avoid cough"" sounded like a sigh.",# IF RAIN IX fs- BOB IX KISS-FIST IX MAKE IN IX NOT IX LOOK IN
my sister went water tubing.,# WHEN POSS BIRTHDAY_3 RAIN
"no, i don't have a car.",POSS CAR GIFT fs- JOHN
she didn't realize that her voice actually sent a message that was misunderstood.,POSS VOICE fs- TO fs- BEACH IX NOT LIKE
the teacher cleans the classroom everyday because he wants it clean for his students.,REALLY IX ARRIVE HOME fs- OF IX NOT RAIN ICL ICL
the friends have not played frisbee.,FRIEND GO-OUT FRIEND
"...really, football players now make millions of dollars.  ",IX LOOK MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
the screening shows that the baby is deaf.,THEN MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER NOT
but anyway i was sitting...,REALLY IX IX IX
you're going to the mall today? can i join? my car has a flat.,REALLY # IF fs- OF WHO IN IX fs- LATE NIGHT WHO DCL s e IX IX #
wolf chased after the pigs.  two pigs went into the brick house.,# OR RAIN IN IX MUST MORE INFORMATION IX NOT RAIN IX
barack obama swam at the beach.,fs- BOB IX MUST MAKE REALLY
jim threatened to sue the man who punched him.,IX LOOK MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
mary owns many different cars.,fs- BOB IX MAKE SAME
john's voice was a good match to the character he played. his character in the movie was that of a swashbuckler.,fs- JOHN POSS SISTER IX CAN IX NOT LIKE fs- CREAM CHEESE IX LOOK
is bill planning on moving to new york?,fs- BRIDE KNOW SELF FAVORITE/PREFER MELON/PUMPKIN GO-AWAY fs-
"in the field of audiovocal orientation, they have their own way of viewing the role of voice range...",fs- JOHN IX # SO FOR SHOW fs- JOHN IX # NO IX # SO IX fs- BOB IX DCL fs-
i didn`t enjoy talking to donna and jessica.,IX SAY POSS SISTER IX MAKE IN HOW LOOK DCL
"my hand became numb, and he stitched it.",# IF IX fs- LATE IX LOVE fs- MARY
"after working out and playing he went into the locker room to change clothes and next to the room there was a hallway. he heard two deaf people grunting. as if they were having a conversation, and grunting back and forth.",fs- PARK SCL SELL IX MUST CLEAN LECTURE IX fs- LATE POSS FRIEND IX THINK THAT IX CAN IX fs- PARK BUOY
"if i don't have any money, i go to my aunt's house and eat there.",FRIEND IX # IF POSS FAMILY VACATION EVERY-YEAR NOT IX
john should buy a car.,fs- JOHN GIVE CHOCOLATE DRY-CEREAL
"that list goes from ""a"" to ""n"".  picking a word, ""noise"": people should be aware that deaf people make noise, often without realizing it.",# SO IX fs- BOB IX fs- OF IX LOOK OH-I-SEE IX THINK HOSPITAL LOOK BUT IX # NO IX MUST NICE/CLEAN KITCHEN NOT RAIN IN THAT KIND WITH IX fs- BOB IX
"so, i will be analyzing what goes along with deaf speech.",# SO IX fs- TO IX fs- BOB MUST IX HAVE fs-
what did john buy yesterday?,fs- JOHN FINISH BUY BOOK
"the house shakes again, louder and worse than before.  he ran downstairs.",STUDENT HAVE DEAF PEOPLE NOT LIKE CAMP IX REFUSE EAT MEAT
"wow, his/her friend is a tall man.",FRIEND GROUP/TOGETHER DEPART CAMP QM
"wow, someone told me that the president might get fired.",# IF THAT THAT IX MUST MORE IX
the student does not like chocolate.,FATHER IX MUST PAY EVERY-MONTH/RENT
"""...i saw him put something in his mouth""",REALLY POSS fs- BEACH IX fs- DANA JUMP EXCITED
"if mother cleans the kitchen, it means we can`t bake cookies.",FAMILY MUST PAY SCHOOL CANCEL/CRITICIZE IX IX FUTURE BUY
the movie starts at 7.,IX CAN LOOK OH-I-SEE fs-
"if my friends do not want to go out, i will stay home and watch television.",# IF POSS FRIEND IX NOT IX fs- OF DCL WHY IX IX LOOK LOOK IX IX
if it stops snowing outside then school will reopen tomorrow.,IX KISS-FIST READ LIP PLAY VIDEO-GAME IX KISS-FIST n t
"i had to put up and stay up til six or seven in the morning.  i was hoping that gas station would be open by then, since i needed my tire fixed before i went on to boston.",LOOK OH-I-SEE IX MUST PAY EVERY-MONTH/RENT DCL LOOK PERSON ICL ICL DCL s t r e s h o n e s e s e p l s t i n t i n t a k e s t
if john stays home it probably means he's sick.,IF FATHER ARRIVE HOME SCHOOL CANCEL/CRITICIZE # NO POSS FRIEND IX
they grabbed my arm and bent it behind my back.,# SO IX # WHEN IX IX NOT CANCEL/CRITICIZE IX
i bought a gift for my mom. she will love it!,IX THINK POSS SISTER IX REFUSE EAT SELL IX
four of us boys lived in a dorm room.,fs- BOB IX NOT WIN # LA IX MUST
"what they praise is connected to the voice; they say, ""you have a beautiful voice""…",BUT NOT RAIN
i will keep drinking coffee.,IX SISTER REALLY+WORK REALLY+WORK PROCEED
sue is buying that blue car.,fs- BOB IX fs- LATE WHY
"yesterday, i didn't play any golf.",FRIEND GROUP/TOGETHER THAT IX IX CAN REALLY WOW/AWFUL THAT
"he died way back, when i was around 8 years old.",IX IX LOOK # DOG_2 CAN FIND/FIND-OUT IX CANNOT IX IX fs-
"john won't take mary to work, he usually takes amy.",fs- JOHN ARRIVE HOME WHO fs- JOHN fs- MARY
"if bob studies literature, he will pass his final exam.",fs- BOB SCL ICL POSS NEW FRIEND IX IX IX NOT
"""i want to see you put the ball down on the ground...",# IF IX IX fs- OF fs- MUHAMMAD fs- VERY fs- OF IX CANNOT
did mother give chocolate to john?,BOOK IX MOTHER IX fs- JOHN
was i passed out drunk last night?,# IF SCL SELL WHO ARRIVE HOME
i went and got another bag to put on my hand.,IX LOOK OH-I-SEE REALLY IX CAN IX IX
my friend is surfing the web.,FRIEND IX MUST PAY EVERY-MONTH/RENT
father likes both books and movies.,STUDENT FUTURE READ BOOK FUTURE CANCEL/CRITICIZE
"the wolf held his sore behind in relief, then ran away.  the three pigs happily celebrated and danced.  they lived together for ever after.  ",ICL ICL ICL ICL fs- IT # NO NOT LIKE MOVIE ACT
how many books will the students read?,STUDENT IX HAVE CHOCOLATE DRY-CEREAL DCL DCL
frank's car broke down.,REALLY PARTY CAR WHO IX CAN
"if it's raining tomorrow, i'll stay home.",# IF POSS FATHER IX HAVE MANAGE/CONTROL WHY IX MUST PAY EVERY-MONTH/RENT
who sent the letter?,REALLY WOW HUNGRY/WISH WOW/AWFUL
"here (in boston), they have good service, well not 100 percent of time but you tend to get good service---they make sure you're comfortable. ",IX fs- BOB IX MAKE SAME IDEA fs- EVEN # SALE IX NOT # SO THAT fs- LATE NIGHT DCL DCL IX REFUSE EAT
"my mother told her to take it easy, said ""we'll see... """,POSS MOTHER POSS FATHER NOT CANCEL/CRITICIZE IX MUST WAIT
"really, i felt...",REALLY MANY IN THAT IX fs-
who is going out?,IX ARRIVE HOME fs-
the boy's bike crashed and he fell off.,fs- JACK GO-OUT WHERE IN HOUSE
john should not buy a house.,fs- JOHN FUTURE BUY HOUSE FINISH
who will go to the post office?,WHO IX fs- CREAM CHEESE IX fs-
that first night they brought me home...,fs- EVEN INCLUDE/INVOLVE OTHER IX REFUSE VACATION EVERY-YEAR IX
"analyzing information from a voice that tells their character, their personality, and their job. you may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...",# IF IX fs- OF fs- LATE IX NOT HAVE BIG fs- OF PERSON LOOK IN # NO IX HAVE MANAGE/CONTROL
"when father arrives home late, mother refuses to make dinner.",STUDENT IX FINISH READ BOOK
"honestly, i don`t like commuting to work by bicycle.",POSS SISTER IN HOUSE IX MAN IX FUTURE DCL COW POSS NEW
john did not visit mary.,fs- JOHN IX HAVE IX
because that waitress was really hard to understand.,IX REALLY WOW IX MUST NOT # NO
"the hearing people don't tell each other, ""you have a good speech,"" they don't.",REALLY IX fs- OF fs- OF NOISE MAKE COURT IX REALLY # SO IX MUST PICK/CHOOSE THAT IX CAN LOOK OH-I-SEE fs-
why do you work all night?,# WHEN ARRIVE HOME WHO
wearing black clothes in the summer will make you hot.,# IF POSS FRIEND HAVE BIG MAKE NOISE IX CANNOT
he drank coffee all day.,IX SISTER DEPART CAMP #
i notice that babies hate fireworks. the fireworks scare the babies.,# OR # IF IX THINK FACE GOOD/THANK-YOU QM
the deaf person continued driving and started to speed again.,IX LOOK BCL IX # NO NOT IX NOT POSS
i swerved and slammed on the brakes; the headlights shone right in the deer's face.,LOOK IX MUST WRITE IX NOT HAPPY SCL fs- ALI
why are they chasing me? i asked myself.,IX NOT BREAK
the teacher finished reading the magazine so now she is going to read a book.,TEACHER IX NOT fs- RENT FINISH SCL
i commute to work by bike.,# NO IX MUST WRITE RECORD
the horses hate the rain- they don't like running in the rain.,REALLY BIG # IF IX PROCEED IX HAVE THAT
when did the president go to china?,FRIEND GROUP/TOGETHER GO-OUT # SD IX IX
"last week, john went to new york.",POSS FAMILY VACATION EVERY-YEAR QM
"if my family decides not to adopt the puppies, my friend probably will.",# IF # IF IX CAN IX IX NOT HAVE MANAGE/CONTROL HOW IX IX
i changed the tire. the tire was a donut tire that is only supposed to last for 50 miles.,# SO IX fs- LATE NIGHT WHY IX MUST WAIT OF NOISE DCL REALLY WOW GAME SAME IDEA fs- LATE NIGHT
"once i finish work, i'm going home.",IX # SO IX IX # SO IX MUST
there are many issues related to how body control is associated with objects in the environment.,REALLY NONE RAIN REALLY IX REALLY POSS fs- OF fs- OF VOICE fs- SPEECH IN HOUSE
it is empty.,IX FINISH POSS
did bob send the letter?,fs- BOB IX fs- BOB
i told him/her tomorrow it would rain.,IX SCL SCL WHERE IX
mother is sick because she just took care of her ill friend.,BOOK IX MOTHER IX HAVE PINEAPPLE fs- LATE IX # OR #
"if i pay rent now, i will have to cancel my vacation.",IX FAMILY PROCEED IX NOT REASON IX IX fs- RENT NOW
