input sentence,translation
"if i don't study, i am guaranteed to fail.",# IF IX IX NOT REASON IX MUST WAIT MOTHER+FATHER MOTHER+FATHER IX
"everytime i go to my uncle's house, he tends to stay inside.",# IF IX NEVER SEE IX NEVER SEE IX DEPART FISHING
who is liz's famous sister?,fs- BRIDE SAME FOR SHOW HOW DEAF
"i sat down and waited for a long time.  finally, i went in. ",IX REALLY IX GO-OUT PARTY
did john read the book?  when?,fs- JOHN SHOULD NOT BUY CAR BREAK-DOWN
what kind of car did he buy?,POSS FRIEND GROUP/TOGETHER BOOK
how many books does john want to buy?,fs- SUE BUY BOOK IX BOOK QM
where did the friends drive to?,SNOW SCHOOL # WHAT IX #
i found someone's book.,# IF IX MUST DECIDE MOTHER
“the economy now is great! it`s fine.” “no! it`s really messed up now.”,# SO IX FINISH NICE/CLEAN KITCHEN WHY IX MAKE IN PEOPLE POSS SISTER IX THINK IX CAN IX THINK THAT IN SCHOOL NOT BREAK
"...anyway, i wrote that i wanted a burger with fries, just simple...cooked medium..",MAKE BCL BCL BCL ICL # SD IX REFUSE REALLY WOW IX CULTURE IN # NO IX MUST PAY fs- ALI TO/UNTIL WORK
"when bob starts the fire, we will collect logs to keep it going.",fs- JOHN KNOW HAVE BIG # NO IX LOOK LOOK EAT MEAT YES BUOY
"it feels like they have died, and become a zombie, disconnected from the reality of the world. they talk, but they cannot hear.",# SO THAT IX fs- MARY IX IX REALLY IX SCL IX IX THINK SAY IX # SO
mary is a vegetarian.,LOOK POSS MOTHER IX
"when it was time for his voice test, his voice didn't match the character. things weren't like they used to be and his career slumped.",IX HAVE fs- PARK IX SAY LOOK OH-I-SEE NOT CANCEL/CRITICIZE LOOK OH-I-SEE SCL SELL BUOY
my friends crashed the party.,FRIEND IX MAKE SHIRT MOTHER+FATHER
"no, the car's not broken.",WHO POSS ARRIVE QM IX CAN WHO
"i rummaged in the trunk.  i admit that it was my first time changing a tire. i know all men should know how, but unfortunately, i didn't.",fs- DONNA HERE IX HAVE MANAGE/CONTROL WITH BIG # DOG_2 MUST MORE s e p l s e s e s e f a r i p l LOOK # SALE
... on which area each would have and went ahead to start setting them up.,REALLY WOW DEAF PERSON IX MUST CLEAN GUEST
i remember i was young.  it was my first book i read...,IX FINISH MOVE-AWAY QM
"if john did that to me, we would have broken it off a long time ago.",fs- JOHN IX MUST MAKE LIST IX fs- EVEN KNOW MORE FRIENDLY IX
"if my son is born tomorrow, he will be born in 2013.",# IF RAIN IX IX REALLY MANY SCL PAST+NIGHT IX THINK IX fs- BEACH SCL ICL
"mary enjoys acting, not reading.",fs- BOB IX NOT IX READ
"does john drive mary to work? no, he usually drives amy to work.",fs- JOHN POSS fs- JOHN KNOW IX fs- JOHN fs- MARY IX fs- LATE FOR
"oftentimes, people who have experience  talking on the phone, visualize what the person they're talking to might look like.",IF POSS MOTHER+FATHER IX GO-OUT HOME IX FINISH IX IX CAN GO-OUT BCL
she talked into my ears and i didn't pay attention.,IDEA IX REALLY POSS FATHER IX
my friend is calling home on the video phone.,FRIEND GO-OUT IX GO-OUT IX BUOY
then i got back into the shower and washed up. it felt so good!,BCL BCL ICL IX NOT fs- LATE NIGHT IX IX IX FINE
john is arriving.,fs- JOHN DRIVE
...because muhammad ali has parkinson's disease...,# DOG_2 IX fs- JACK GO-OUT PARTY IX IX ARRIVE HOME fs- OF
"john was reading that book, what did he say it is about?",fs- BRIDE AND DCL IX MUST READ AND BUOY
mother bought one book yesterday.,fs- RENT NOW BOOK FUTURE
which high school did you go to?,IX NOT BUY HOUSE WHY IX
"if it rains tomorrow when i arrive at my uncle's house, i will stay inside.",# IF IX MAN IX MUST PAY EVERY-MONTH/RENT WHO NOT WIN DEPART TOGETHER/GO-STEADY IX THINK WOW
the parents of the group with deaf professionals would get through the grief progress quicker and usually be able to move on quickly.,# IF FRIEND IX fs- CEREAL IX MUST PAY fs- LOTTERY IX CAN HEAR BUT STILL POSS BROTHER IX CAN DCL REALLY
my aunt is an expert at making blue berry pies because she grew up making them.,HORSE DCL BCL BUT MOVIE IX KNOW IX HAVE fs- CREAM CHEESE IX GRAB-CHANCE DCL DCL
the study notices how the hit group thinks that the glass wasn't broken at all.,TEACHER IX FINISH PAY fs- BOB IX fs- VERY DIFFERENT SAME POSS MOTHER IX MUST PAY #
"you're wrong, that is not pineapple cream cheese. i prefer lox.",IX fs- BRIDE CAN LOOK PERSON IX fs- MARY NONE/NOTHING
"the cultural interpretation is that these noises fit with anger, happiness, or various other things.",IX MUST MORE IX fs- OF IX HEARING REALLY MORE SAME # HS IN HOUSE RAIN IX
"sometimes he  imagines he is still boxing in the ring,",IF IX NOT POSS NEW AUNT IX KISS-FIST # SO
you probably wondering why i didn't report it to the police.,BCL REALLY FOR SHOW fs- ORIENTATION
...i saw a bush.,DCL IX LOOK # DOG_2 IX NOT
"no, i wouldn't stop vomiting if i had pineapple cream cheese. lox only is fine with me.",# IF IX # IF IX fs- JOHN FINISH DECIDE IX NOT REASON PEOPLE IX HOPE IX LOOK fs- EVEN DISCUSS
maybe john and mary will decide to work together now.,FOR IX fs- LATE FOR REALLY fs- MUHAMMAD fs- JOHN
"if my family adopts the puppies, i will immediately go to the pet store to buy collars, of which they have assorted colors.",# IF POSS FRIEND GROUP/TOGETHER DEPART COOLER DEPART MOVIE ACT WHY DEPART GUITAR REALLY POSS SISTER SAME IX fs- LOTTERY EAT+NIGHT EAT+NIGHT EAT+NIGHT BUOY QM
"my friend is leaving when?  uh, tomorrow.",FRIEND IX HAVE BIG FRIEND GO-OUT DEPART HOME
are the friends going out?,FRIEND SCL
the teacher expects john to read a lot.,NOW NOW
he puts the cover back on and nails down each corner.,BCL BCL DCL BCL
who listens to the teacher?,TEACHER FUTURE GO-OUT FISHING WHERE
when jack was standing outside did he see something/someone weird?,fs- JOHN MUST PICK/CHOOSE WHY fs- LATE YES HEAR POSS IDENTIFY WHY
i've never seen john's car.,IX FINISH LIKE CHOCOLATE DRY-CEREAL IX MUST
who wants to play frisbee?,SOME CAN RAIN IX ICL
"a doctor came in, he was new and had just joined the staff.",# SO IX REALLY ONE DCL WHY IX MUST ACCEPT LOOK IN BOSTON NOT
who found the key?,SOME IX FINISH READ
there's no rain.,LOOK # WHEN NOT CANCEL/CRITICIZE
"of course, it's because l.a. is near the mexican border. ",ONE VOICE LOOK FINE IX MUST STAY ICL BCL ICL ICL # NO REALLY BIG #
the mother and the boy are both going to the library.,NOW IX HAVE PINEAPPLE fs- RENT WHO
did the student's mother buy a car already?,IX CAR YESTERDAY HOUSE BUY HOUSE
it was good time.  all night i enjoyed myself.,DEAF PEOPLE WHO MAKE REALLY MAKE BLUE+fs-BERRY
"""i don't want to see any end zone...",ICL NOT MUST FUTURE IX IX fs- SPEECH IX HAVE BIG IX NOT
he removes the lid.,COP IX DRIVE IX
"when the teacher finishes reading the magazine, he/she will read a book.",MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER TWO DCL FINISH READ BOOK
it's john who will give a car to (his) father.,THAT ARRIVE
some woman arrived.,FRIEND IX #
who wants to play frisbee?,WHO IX FEEL POSS FAMILY
is that videogame easy to beat?,# OK EXPLAIN SOME DRY-CEREAL IX
...is my favorite sport.,DEAF # SO IX IX DEAF SISTER
we just sat and relaxed--aaahhh...,# SO THAT IX IX MAN IX fs- SUE IX
"next week, john is going to new york.",REALLY NONE WORD fs- JOHN READ BOOK FUTURE CANCEL/CRITICIZE
"they really can do all of the options. one family can choose to use sign language, and if another family wants to use speech, that's fine.",IF IX POSS FRIEND KNOW FOR SHOW POSS SISTER DEAF PEOPLE ONE HOSPITAL HEARING AND REALLY POSS FAMILY VACATION BOSTON BOSTON IX HAVE DIFFERENT BUT REALLY DEAF PEOPLE HAVE fs- ORIENTATION
what does my sister want for her birthday?,# IF fs- OF SISTER IX TAKE-UP POSS
"i thought,""perfect!"" we pulled off and took the opportunity to eat at mcdonalds.  ",SCL NOT CANCEL/CRITICIZE IX MAN IX WORK BICYCLE WOW IX MAN IX MUST WRITE
my sister doesn`t want a headband for her birthday.,POSS FAMILY VACATION FRIEND WHY IX DANCE STORY DEAF PEOPLE REALLY
"""i think it was only a dream, or just my imagination about things.  i don't know--forget it,"" he said",IX NEVER SEE # HS IX MUST
"if bob gives his sweetheart a rose, she will be happy.",# NO IX IX HAVE HERE # OR REALLY NOT LIKE fs-
sometimes deaf people share and exchange stories about what they have learned about noises. so they will be careful with subsequent situations.,# SO IX LOOK PEOPLE BCL REALLY IX fs- ALI IN PUBLIC fs- LATE NIGHT IX FINE WHERE THAT IX THAT MAJOR fs-
did bob give someone roses?,fs- BOB IX FINISH EXPERIENCE
"if he can't finish reading the book, then he will give it back to the teacher.",FRIEND POSS FAMILY READ BOOK WHY WHY IX
it is important to escape the big storm.,# NO IX FUTURE DCL REALLY IX LOOK
"...the quarterback, who has the running back behind him.  ",REALLY POSS FRIEND SCL
i tend to commute to and from work by bicycle.,IX fs- BRIDE IX LOVE LETTER/MAIL QM
"when my computer breaks down and i don't know what to do, i'll ask someone for help.",fs- SUE WORK BICYCLE CAN ORDER # LA IX IX fs- GRUNT DCL IN HAVE DCL DCL # OK
john hasn't finished reading the book yet.,fs- JOHN SHOULD FINISH READ BOOK
"dana was watching me.  she was mischevious, dana was--same as me growing up.  ",fs- OF IX fs- DANA OH-I-SEE fs- BEACH MEAN GROUP/TOGETHER MANY THING
who sent the letter?,BCL BCL POSS FATHER
should mother buy a car?,POSS FATHER ARRIVE CAR NOT
john lived in chicago.,fs- JOHN CAN COP
"they exceed normal voice ranges, which gives rise to various interpretations.",# SO IX KISS-FIST POSS SISTER MUST IX MAKE REALLY POSS CAR
"""you're going to hawaii for christmas break ?"" ""no, i'm going to hawaii for spring break.""",IX KISS-FIST GO-OUT PARTY PAST+NIGHT PAST+NIGHT PAST+NIGHT PAST+NIGHT PAST+NIGHT PAST+NIGHT PAST+NIGHT PAST+NIGHT
where is the video phone that you want?,BCL BCL IX IX
he pries open each corner.,COP ARRIVE HOME fs- LOTTERY
i must find a gift for my mom.,# WHEN IX HAVE VIDEOTAPE IN WITH VOICE
"after not studying, there's always a pop quiz.",# IF IX HAVE BIG # SO IX MUST
"for example, a styrofoam cup, when it  is peeled, is extremely noisy and loud. it sounds like fingernails scratching a chalkboard. so there is a warning not to peel styrofoam cups.",REALLY IX fs- OF fs- BEACH MORE SAME IX REFUSE DCL DCL fs- OBAMA IX HAVE MANAGE/CONTROL BUOY BUOY BUOY FINE IX NOT HAPPY WHERE NOT # SO
"if my friend boldly asks for directions, i am willing to drive.",FRIEND IX MEET YESTERDAY WHO LOVE IX JOIN
"it wasn't john whose car broke down, it was mary.",IX fs- MARY WHY IX fs- MARY FUTURE fs- BILL fs- JOHN FUTURE
"the deaf person said, ""sure thing"" and drove away.",ICL DCL REALLY POSS
who is planning to surprise bob?,WHO BOB IX fs- BOB WHY
that makes it to seem like an opportunity to do more than one.,IX GO-OUT # NO KNOW IX KISS-FIST TRIP
"no, mary is not a vegetarian.",fs- JOHN KNOW NOT CANCEL/CRITICIZE IX FAVORITE/PREFER
"when the president leaves, i will talk with the reporter.",# IF IX NOT # OK DEAF PEOPLE MUST MORE -
mother looks sick? how?,MOTHER IX IX CAN FIND/FIND-OUT
and how deaf people form their voice range.,fs- BOB IX DCL NOT fs- OF IX
"so basically, i almost never went home to except for vacations or long weekends, that`s when i would commute. but, most of the time i stayed in rochester...",DEAF THAT SCL IX THINK MAYBE HEARING DEAF PEOPLE IX DEAF PEOPLE SAME SAME DCL DCL WHERE DEAF PEOPLE DCL BOSTON IX LOOK IX HEARING IX # SO NOT STILL GONE
i have an older sister.,ONE FAR PLAY FOR FATHER
"(the teacher) regularly watches him,  encouraging him to read.",POSS STUDENT IX HAVE fs- ALI LOVE IX THINK POSS FATHER IX
did mother go to the store?,MOTHER NOT BUY PLAID SHIRT
"wow, he/she left fast.",REALLY LOOK IX fs- LATE NIGHT
father is currently mowing the lawn.,FATHER IX fs- GRUNT FOR FOR
why do you have to use the video phone? can't you text?,# IF IX SCL IX PROCEED HAVE CAN SAME IX REFUSE BOSTON DCL DCL DCL
mother gave john chocolate yesterday.,MOTHER LIKE PINEAPPLE fs- JOHN
i'm working.,IX HAVE
"if i don't have a book to read, i get bored.",THAT DCL fs- BOOK IX ARRIVE HOME
who is sick?,SAY SAY IX
how many books will john buy?,fs- JOHN READ IX fs- CREAM
he married that woman and lived happily ever after.,BCL SCL POSS FRIEND IX BCL BCL FINE BUOY
my sister wants a headband for her birthday.,SISTER DCL POSS FAMILY WHY RECENT-PAST PIZZA_4 EAT+NIGHT
"they didn't care about money: back in the 50s and 60s, football...",LOOK OH-I-SEE IX fs- SPEECH IX TAKE-UP PIZZA_4 MUST CLEAN GRASS IX fs- OF MOTORCYCLE
"then interpreter informed me that my ""inhale to avoid cough"" sounded like a sigh.",POSS BIRTHDAY_3 IX fs- BOB IX FAVORITE/PREFER REMOTE # SD WHY DCL DCL DCL OTHER BUILDING
my sister went water tubing.,FOR COP DIFFERENT FOR BOOK
"no, i don't have a car.",POSS CAR ARRIVE WHO
she didn't realize that her voice actually sent a message that was misunderstood.,fs- JOHN FUTURE IX # WHEN IX LOOK PERSON IX IX NOT IX HAVE NONE/NOTHING
the teacher cleans the classroom everyday because he wants it clean for his students.,TEACHER IX NEVER SEE LOOK MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER IX
the friends have not played frisbee.,FRIEND GROUP/TOGETHER POSS fs- MARY BUOY
"...really, football players now make millions of dollars.  ",# LA MANY NOW LOOK MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
the screening shows that the baby is deaf.,IF FRIEND KISS-FIST MOVIE ACT BCL
but anyway i was sitting...,# IF RAIN IX NOT BREAK WINDOW
you're going to the mall today? can i join? my car has a flat.,REALLY BIG # SO IX MAN POSS FAVORITE/PREFER PERSON MUST GO HOSPITAL AREA NOISE fs- BILL fs- BEACH
wolf chased after the pigs.  two pigs went into the brick house.,ONE FAMILY KNOW IX ICL ICL ICL BCL
barack obama swam at the beach.,REALLY MANY DIFFERENT fs- MARY
jim threatened to sue the man who punched him.,IX IX WORK BICYCLE WHO ARRIVE HOME fs- ROPE
mary owns many different cars.,fs- MARY IX CAN FIND/FIND-OUT
john's voice was a good match to the character he played. his character in the movie was that of a swashbuckler.,fs- JOHN IX THINK RAIN ICL
is bill planning on moving to new york?,PEOPLE fs- DONNA HAVE WIDE WARM A-OK IX
"in the field of audiovocal orientation, they have their own way of viewing the role of voice range...",# SO IX fs- BOB IX MUST NICE/CLEAN MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
i didn`t enjoy talking to donna and jessica.,IX BCL IX THAT BOOK MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER IX
"my hand became numb, and he stitched it.",FRIEND IX FINISH READ BOOK DCL
"after working out and playing he went into the locker room to change clothes and next to the room there was a hallway. he heard two deaf people grunting. as if they were having a conversation, and grunting back and forth.",DCL fs- OF IX fs- IT DCL DCL DCL DCL REALLY PERSON BCL TWO fs- IT fs- OF fs- OF PEOPLE WHO fs- BEACH IX REALLY POSS BIRTHDAY_3 KNOW DCL WHO PEOPLE POSS fs- CREAM CHEESE IX NOT LIKE SCHOOL
"if i don't have any money, i go to my aunt's house and eat there.",# IF FRIEND
john should buy a car.,fs- BOB POSS CAR FUTURE
"that list goes from ""a"" to ""n"".  picking a word, ""noise"": people should be aware that deaf people make noise, often without realizing it.",fs- THEN POSS IDENTIFY VOICE fs- BEACH HAVE BETTER fs- VERY fs- OBAMA NOISE IX IN PUBLIC MAKE REALLY LIVE IX fs- OF VOICE DCL LOOK LOOK fs- SPEECH SCL PEOPLE CAN TELL THAT
"so, i will be analyzing what goes along with deaf speech.",REALLY IX DEAF PEOPLE IX MUST # WHEN IX HAVE
what did john buy yesterday?,fs- MARY NOT BUY BOOK
"the house shakes again, louder and worse than before.  he ran downstairs.",IX NEVER LIVE CAN DCL TOGETHER/GO-STEADY_2 YES PEOPLE POSS NAME ICL ICL ICL
"wow, his/her friend is a tall man.",WHEN SNOW SCHOOL NOT RAIN IX NOT RAIN
"wow, someone told me that the president might get fired.",IX LOOK IX SAY YES IX
the student does not like chocolate.,TEACHER LIKE IX IX fs- BILL
"""...i saw him put something in his mouth""",KNOW IX fs- BILL fs- OF fs- BEACH DCL DCL TOGETHER/GO-STEADY_2 QM
"if mother cleans the kitchen, it means we can`t bake cookies.",FRIEND GROUP/TOGETHER SAY WHERE IX SAY IN # DO
the movie starts at 7.,TEACHER FINISH READ BOOK HAVE
"if my friends do not want to go out, i will stay home and watch television.",FRIEND RAIN IN # LA IX IX FUTURE GO-OUT SELL WHY
if it stops snowing outside then school will reopen tomorrow.,POSS SISTER MAKE NOISE IX KISS-FIST POSS BOSS IX REFUSE
"i had to put up and stay up til six or seven in the morning.  i was hoping that gas station would be open by then, since i needed my tire fixed before i went on to boston.",BAD IN MAKE REALLY ONE SAME IX DEAF BUT # WHAT MANY PEOPLE SAME # HS HOW IX DEAF PEOPLE DCL DCL DCL LOOK BUT WHY POSS fs- OBAMA HEAR NOISE IX REALLY MOTORCYCLE IX # LA IX fs- EVEN
if john stays home it probably means he's sick.,# ALL_2 RAIN MANY MAN POSS CAR BLUE
they grabbed my arm and bent it behind my back.,ONE NIGHT WHERE IX FUTURE IX LOOK IN # SO
i bought a gift for my mom. she will love it!,BCL BCL
four of us boys lived in a dorm room.,# IF IX GO-OUT TRIP IX HAVE BIG #
"what they praise is connected to the voice; they say, ""you have a beautiful voice""…",SAME IX REALLY HAVE GOOD/THANK-YOU MANY IX THINK IX
i will keep drinking coffee.,IX FAMILY VACATION EVERY-YEAR DCL
sue is buying that blue car.,fs- JOHN SHOULD GIFT CHOCOLATE WHO
"yesterday, i didn't play any golf.",fs- DANA NOT ARRIVE ACT REALLY EXPECT THAT ONE
"he died way back, when i was around 8 years old.",SAY IX DCL POSS MAN NEW WORK ALL-NIGHT WHY HAVE BIG #
"john won't take mary to work, he usually takes amy.",fs- JOHN LOVE
"if bob studies literature, he will pass his final exam.",fs- BOB IX fs- BOB IX SAY IX CAN FIND/FIND-OUT ONE
"""i want to see you put the ball down on the ground...",IX IX # NO NOT BREAK WINDOW # LA IX LOOK
did mother give chocolate to john?,STUDENT IX MOTHER IX CAR WHO
was i passed out drunk last night?,ONE SCL WHERE IX
i went and got another bag to put on my hand.,IX NOT IX GO-OUT IX CAN IX IX
my friend is surfing the web.,PARTY FRIEND LOOK OH-I-SEE GROUP/TOGETHER DCL
father likes both books and movies.,STUDENT FUTURE READ BOOK FUTURE BUY
"the wolf held his sore behind in relief, then ran away.  the three pigs happily celebrated and danced.  they lived together for ever after.  ",IX fs- IT CAN GO-OUT # ALL_2 IN THAT IX REALLY PERSON IX ENTER BUT IN PUBLIC IX
how many books will the students read?,FRIEND GO-OUT SCHOOL
frank's car broke down.,fs- GRUNT fs- BOB IX MUST
"if it's raining tomorrow, i'll stay home.",# SO IX NOT LIKE POSS FAMILY WOW CAN GO-OUT # HS
who sent the letter?,NOW DEPART FISHING IX
"here (in boston), they have good service, well not 100 percent of time but you tend to get good service---they make sure you're comfortable. ",IX DEAF # DOG_2 # NO IX THINK MORE CITY/COMMUNITY NOT IX THAT DCL IN BOSTON fs- BEACH SCL
"my mother told her to take it easy, said ""we'll see... """,OFTEN IX THAT IX REALLY PITY HOW AND SECOND-IN-LIST WHY HAVE HOW SAME IX SAY DCL DCL FIRE
"really, i felt...",HORSE POSS fs- BILL IX THINK
who is going out?,MOTHER IX IX NOT
the boy's bike crashed and he fell off.,NOT POSS FAMILY WORK BICYCLE FINISH
john should not buy a house.,fs- BOB HAVE MANAGE/CONTROL
who will go to the post office?,POSS FATHER IX MAKE REALLY WHO SCL
that first night they brought me home...,ATTENTION-WAVE IX fs- SPEECH ARRIVE HOME fs- OF WHO
"analyzing information from a voice that tells their character, their personality, and their job. you may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...",PEOPLE DCL DCL DEAF IX # SO AND DCL DCL REALLY IX CAN fs- ORIENTATION MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER TWO FOR # LA # SO IX MAKE REALLY DIFFERENT
"when father arrives home late, mother refuses to make dinner.",POSS FRIEND NOT WHO fs- OF fs- LATE NIGHT IX FINE
"honestly, i don`t like commuting to work by bicycle.",# WHEN # IF POSS IDENTIFY LIST-ORDER POSS EXPERIENCE fs- OF SCL
john did not visit mary.,fs- JOHN HAVE fs- MARY
because that waitress was really hard to understand.,IX SAY WHERE
"the hearing people don't tell each other, ""you have a good speech,"" they don't.",SAME DCL DCL IX DCL BCL NOT IX THINK DIFFERENT # ALL
why do you work all night?,IX MAKE NOISE FINISH GO-OUT
wearing black clothes in the summer will make you hot.,SNOW SCL SCL PAST+NIGHT IX DCL WHERE IX REFUSE IX
he drank coffee all day.,IDEA BCL BCL WHO MANY
i notice that babies hate fireworks. the fireworks scare the babies.,BCL BCL BCL
the deaf person continued driving and started to speed again.,MAKE # ALL DEAF THAT DCL LOOK
i swerved and slammed on the brakes; the headlights shone right in the deer's face.,STUDENT IX SAY FUTURE DEPART
why are they chasing me? i asked myself.,REALLY RAIN IX HAVE
the teacher finished reading the magazine so now she is going to read a book.,TEACHER LIKE IX READ BOOK WHERE IX BOOK CAN QM
i commute to work by bike.,IX MUST PAY EVERY-MONTH/RENT IX REFUSE
the horses hate the rain- they don't like running in the rain.,AUNT WHERE IX FINISH DECIDE IN BOSTON BUT IX MAKE TO/UNTIL NOT-YET
when did the president go to china?,SEEM MANY THAT IX GO-OUT # NO
"last week, john went to new york.",FATHER ARRIVE HOME WHO LOVE TRIP FUTURE READ
"if my family decides not to adopt the puppies, my friend probably will.",# IF FRIEND FINISH READ BOOK IX # DO IX FINE
i changed the tire. the tire was a donut tire that is only supposed to last for 50 miles.,NOT IF IX HAVE FLAT-TIRE_3 FOR SHOW IX REALLY MAKE REALLY NONE SCHOOL SAME IX FEEL BCL DIFFERENT TO/UNTIL POINT-TO REALLY
"once i finish work, i'm going home.",COP fs- JACK SCL BUOY WHY IX
there are many issues related to how body control is associated with objects in the environment.,# IF POSS BEST HERE WHERE fs- MPH THAT DCL NOT MANY MAN IX MUST PAY
it is empty.,fs- BEACH IX
did bob send the letter?,fs- BOB IX KISS-FIST BUY
i told him/her tomorrow it would rain.,IX FINISH VACATION WHERE IX THINK NOT IX
