input sentence,translation
the students refuse to listen to the teacher.,TEACHER GIFT POSS NEW FRIEND FINISH READ BOOK
"to build his house, he chopped up trees.",SOME POSS SISTER NOT-YET DO-DO SCL SELL IX SCL
"last year, we read a lot of books.",FRIEND GO-OUT PAST+NIGHT PAST+NIGHT PAST+NIGHT PAST+NIGHT WHERE
where did john live last year?,fs- JOHN ARRIVE HERE l s
"really, i would have preferred a mcdonald's burger--they're better than this one was.  oh well.  ",# NO REALLY fs- BOB IX TAKE-UP DCL DCL REALLY ONE SAME
if it's raining i'm still going outside.,# IF POSS WIFE IX MUST NICE/CLEAN CLASS_2+BOX/ROOM DEPART
he/she will go to school if it's not canceled.,ICL NOT LIKE IX # IF IX IX REALLY
those two friends dyed their hair together.,FRIEND RAIN IX POSS FRIEND IX CANNOT
"no, i did use the right key. the car is broken.",FRIEND IX IX ARRIVE IX IX LOVE BUOY
what time does mom finish work? at 2pm.,DRESS/CLOTHES DCL fs- OF fs- OF IX fs- ALI REFUSE
the teacher gave each of the students one book.,TEACHER NOT POSS FATHER IX STUDENT IX MUST BUY
john is going to the library to read a good book.,fs- JOHN CAN GIVE BOOK MOTHER IX
the student there loves chocolate but doesn't like reading.,THEN LOOK
john bought many books.,fs- JOHN SHOULD BUY
"if the teacher requires it, john will read the book.",TEACHER BOOK IX FUTURE NOT FINISH IX fs- JOHN FINISH IX
one of my former students told me a story about her experience when she took the sat in high school.,MOTHER IX ARRIVE DCL WHO POSS IX MUST WRITE TIME fs- MARY BUT # VP IN # VP
"when it happens to rain, i stay home.",POSS FAMILY SCL
"...it can create a fumble,  ",THAT DCL fs- IT # IF IX MUST
john wants to sell (his/a) car.,POSS FAMILY SCL
"""i am fine,"" he said.",REALLY IX # SO IX IX FINISH
"one well-known videotape by angela petrone stratiy, made in 1999, called ""deaf people have problems,"" shares some experiences about things that make noises, as a warning.",# WHEN POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER WITH VOICE IN PUBLIC WITH DCL DCL DCL BCL
"if i don't study, i am guaranteed to fail.",IF IF IX IX IX SAY IX # DO THAT MUST IX
"everytime i go to my uncle's house, he tends to stay inside.",IX HAVE BIG # SO POSS MOTHER FUTURE FAIL
who is liz's famous sister?,POSS FAMILY FRIEND WHO NOT SNOW SCHOOL
"i sat down and waited for a long time.  finally, i went in. ",SAME NOT LIKE CHOCOLATE WHO SCL fs- LATE IX
did john read the book?  when?,fs- JOHN IX READ BOOK BOOK WHEN
what kind of car did he buy?,POSS FATHER SCL
how many books does john want to buy?,fs- JOHN FINISH BOOK WHY
where did the friends drive to?,FRIEND POSS SISTER IX # DO
i found someone's book.,IX MAN IX ARRIVE
“the economy now is great! it`s fine.” “no! it`s really messed up now.”,# IF IX HAVE PINEAPPLE fs- LOTTERY IX MUST CLEAN PICK-UP BUT IX ENJOY CHAT MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"...anyway, i wrote that i wanted a burger with fries, just simple...cooked medium..",REALLY IX MUST IX fs- PARK PARTY DEAF THREE PIG IN PUBLIC
"when bob starts the fire, we will collect logs to keep it going.",fs- BOB IX ARRIVE HOME SOME HOT IN SCHOOL IX NOT BREAK
"it feels like they have died, and become a zombie, disconnected from the reality of the world. they talk, but they cannot hear.",IX fs- TO MAKE fs- LATE IX DCL LOOK
mary is a vegetarian.,fs- MARY POSS VACATION
"when it was time for his voice test, his voice didn't match the character. things weren't like they used to be and his career slumped.",# WHEN FRIEND KNOW IX MAN SOCIAL/INTERACT AND fs- OF fs- BILL NOT REASON HAVE DIFFERENT SAME IX NEVER SEE IX IX NOT REASON IX
my friends crashed the party.,FRIEND IX # SALE WHERE
"no, the car's not broken.",# IF CAR WHO FINISH IX IX SCL
"i rummaged in the trunk.  i admit that it was my first time changing a tire. i know all men should know how, but unfortunately, i didn't.",REALLY IX HAVE DIFFERENT fs- IT fs- IT # NO IX THINK # OK OFTEN IN # BQQ PARTY THAT THAT IX HAVE THAT IX NOT CANCEL/CRITICIZE
... on which area each would have and went ahead to start setting them up.,REALLY SAME # WHEN
i remember i was young.  it was my first book i read...,IX FAMILY PROCEED TAKE-UP PIZZA_4 BOOK IX
"if john did that to me, we would have broken it off a long time ago.",# POSS ARRIVE HOME fs- BOB IX IX fs- MARY
"if my son is born tomorrow, he will be born in 2013.",REALLY IX DCL POSS FATHER LOOK # SO REALLY ONE POSS FRIEND
"mary enjoys acting, not reading.",IX fs- JOHN FUTURE FINISH READ
"does john drive mary to work? no, he usually drives amy to work.",fs- LATE ARRIVE IX NOT LIKE WHY fs- JOHN NOT LIKE MOVIE IX
"oftentimes, people who have experience  talking on the phone, visualize what the person they're talking to might look like.",IF IX KISS-FIST IX fs- BILL # WHEN IX NOT IX # WHEN POSS FATHER IX IX NOT RAIN IX NOT-YET
she talked into my ears and i didn't pay attention.,IDEA fs- ALI IX SAY VACATION EVERY-YEAR IX FINISH
my friend is calling home on the video phone.,FRIEND GROUP/TOGETHER ARRIVE
then i got back into the shower and washed up. it felt so good!,# SO DCL REALLY WOW IX LOOK OH-I-SEE MUST
john is arriving.,fs- JOHN FINISH
...because muhammad ali has parkinson's disease...,DCL fs- VERY PLAY - p l IX fs- VERY fs- SPEECH BCL
"john was reading that book, what did he say it is about?",fs- JOHN ARRIVE HOME DCL DCL DCL WHY # NO IX
mother bought one book yesterday.,STUDENT IX CAR YESTERDAY fs-
which high school did you go to?,IX # SO IX FINISH SCL BUOY
"if it rains tomorrow when i arrive at my uncle's house, i will stay inside.",IX LOOK # OK FINE
the parents of the group with deaf professionals would get through the grief progress quicker and usually be able to move on quickly.,IDEA IX DCL LOOK fs- OF IX CANNOT LOOK IN
my aunt is an expert at making blue berry pies because she grew up making them.,IF STUDENT IX POSS MOTHER IX CANNOT TO/UNTIL MAKE REALLY POSS FRIEND IX LOOK LOOK IX
the study notices how the hit group thinks that the glass wasn't broken at all.,STUDENT # NO IX IX SAY YES IX fs- OF fs- OF IX SAY THAT HOTEL p
"you're wrong, that is not pineapple cream cheese. i prefer lox.",LOOK IX DRIVE fs- LATE NIGHT fs- MUHAMMAD fs- ALI NOT SCL SCHOOL IX MUST
"the cultural interpretation is that these noises fit with anger, happiness, or various other things.",# SO NOT LIKE BUT NOT CANCEL/CRITICIZE IX HAVE IX MUST NICE/CLEAN KITCHEN # NO IX MAKE
"sometimes he  imagines he is still boxing in the ring,",# SO IX HAVE BIG # VP
you probably wondering why i didn't report it to the police.,IF IX NOT ARRIVE HOME fs- ALI IN # OK BCL
...i saw a bush.,LOOK IX THAT IX IX fs- CREAM
"no, i wouldn't stop vomiting if i had pineapple cream cheese. lox only is fine with me.",# IF fs- JOHN IX SAY IX DEAF fs- MARY IX MUST PICK/CHOOSE VERY fs- OF fs- JOHN KNOW # DO
maybe john and mary will decide to work together now.,fs- JOHN FINISH READ BOOK FUTURE FINISH READ BOOK QM
"if my family adopts the puppies, i will immediately go to the pet store to buy collars, of which they have assorted colors.",THAT IX MUST GET-UP n t YEAR THAT KIND fs- PARK IX GRAB-CHANCE OTHER BUT IN BROOKLINE DEAF PERSON ICL DEAF SCL WHERE
"my friend is leaving when?  uh, tomorrow.",FRIEND GROUP/TOGETHER MANY POSS FRIEND GROUP/TOGETHER
are the friends going out?,FRIEND GROUP/TOGETHER SCHOOL IX fs-
the teacher expects john to read a lot.,TEACHER GIVE TEACHER fs- JOHN
he puts the cover back on and nails down each corner.,FINE IX SAY LOOK MOVIE ACT WHO fs- OF fs- GRUNT
who listens to the teacher?,AUNT IX WHO BUY HOUSE
when jack was standing outside did he see something/someone weird?,fs- BOB IX THAT IX INTRODUCE MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
i've never seen john's car.,POSS FAMILY IX HAVE CAR BREAK-DOWN
who wants to play frisbee?,WHO POSS FAMILY TAKE-UP PIZZA_4
"a doctor came in, he was new and had just joined the staff.",COP CAN IX HAVE fs- OF ON IX NOT LIKE HAVE HOW SAME
who found the key?,COP IX CAN FIND/FIND-OUT
there's no rain.,IX NOT RAIN IX FINE
"of course, it's because l.a. is near the mexican border. ",IF FRIEND IX REALLY POSS BIRTHDAY_3 IX KISS-FIST CHOCOLATE SAME SCL KIND IX CANNOT BILL/OWE POSS
the mother and the boy are both going to the library.,IF FATHER MOTHER IX MUST VACATION EVERY-YEAR
did the student's mother buy a car already?,MOTHER IX FINISH CAR
it was good time.  all night i enjoyed myself.,DEAF # SD NOT BUY PLAID SHIRT
"""i don't want to see any end zone...",IX IX IX IX MUST PAY fs- OF REALLY IX MUST
he removes the lid.,REALLY IX ARRIVE HOME
"when the teacher finishes reading the magazine, he/she will read a book.",STUDENT FINISH READ BOOK READ BOOK IX NOT FUTURE IX fs- SPEECH
it's john who will give a car to (his) father.,POSS CAR # WHEN IX MUST BUY HOUSE
some woman arrived.,POSS FAMILY IX
who wants to play frisbee?,GO-OUT HOME SCHOOL REALLY IX
is that videogame easy to beat?,COP CUT IX THINK HOSPITAL DEPART
...is my favorite sport.,SAME SCL fs- IT fs- LATE IX
we just sat and relaxed--aaahhh...,NOW IX NOT MANY MANY SCL IX NOT LIKE
"next week, john is going to new york.",IX SAY KNOW WHERE # IF IX
"they really can do all of the options. one family can choose to use sign language, and if another family wants to use speech, that's fine.",BUT IX POSS fs- IT # WHEN POSS FAMILY IX MUST DCL DCL # NO IX fs- VERY OUTGOING # NO NOT # OR SCHOOL DO THAT l IX DEAF WHO
what does my sister want for her birthday?,fs- IF FRIEND GROUP/TOGETHER HAVE PINEAPPLE fs- PARK
"i thought,""perfect!"" we pulled off and took the opportunity to eat at mcdonalds.  ",IX KISS-FIST RAIN NOT LIKE MOVIE fs- LATE QM
my sister doesn`t want a headband for her birthday.,FRIEND LOOK LOOK # OK DEAF ON PLACE TRAIN AREA GROUND
"""i think it was only a dream, or just my imagination about things.  i don't know--forget it,"" he said",# IF IX IX IX REFUSE IX fs- OF IX MUST PICK/CHOOSE COP SAY CAN LOOK IX MUST BUY HOUSE BUOY IN BOSTON SO IX NOT
"if bob gives his sweetheart a rose, she will be happy.",# IF POSS POSS FATHER MUST NICE/CLEAN KITCHEN SAME THAT KIND fs-
sometimes deaf people share and exchange stories about what they have learned about noises. so they will be careful with subsequent situations.,SAME IX DCL DCL LOOK fs- ROPE CAN LOOK OH-I-SEE # SO SAME IX CAN DEAF fs- GRUNT DCL fs- OF fs- GRUNT
did bob give someone roses?,IX fs- JOHN SHOULD GIVE
"if he can't finish reading the book, then he will give it back to the teacher.",# IF IX KISS-FIST READ BOOK FUTURE IX CANNOT
it is important to escape the big storm.,POSS FAMILY VACATION EVERY-YEAR
"...the quarterback, who has the running back behind him.  ",IX MUST NICE/CLEAN KITCHEN IX DCL fs- BOB IX REFUSE fs- BILL
i tend to commute to and from work by bicycle.,IX KNOW IX LOVE WRESTLE WITH HOW IX FINISH DEPART
"when my computer breaks down and i don't know what to do, i'll ask someone for help.",FRIEND IX fs- BOB IX IX fs- BEACH NOT-YET IX LOOK OH-I-SEE IX NOT RAIN MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER LOOK
john hasn't finished reading the book yet.,fs- JOHN FINISH READ BOOK GIVE
"dana was watching me.  she was mischevious, dana was--same as me growing up.  ",fs- JACK MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER NOT IX NOT IX IX MUST PAY fs- MARY NOT REASON MOTHER+FATHER
who sent the letter?,WHO ARRIVE HOME DO-DO
should mother buy a car?,FRIEND GROUP/TOGETHER IX fs- JOHN
john lived in chicago.,fs- BOB IX IX
"they exceed normal voice ranges, which gives rise to various interpretations.",THEN SAME DCL DCL MANY IX NOT THINK THAT FOR SHOW
"""you're going to hawaii for christmas break ?"" ""no, i'm going to hawaii for spring break.""",IX CAN FIND/FIND-OUT UMBRELLA
where is the video phone that you want?,COP IX NOT NOT NOT
he pries open each corner.,BAD WEATHER FOR POSS NAME
i must find a gift for my mom.,IX fs- OF FAMILY TAKE-UP PIZZA_4 SHIRT TWO
"after not studying, there's always a pop quiz.",COP IN PEOPLE FOR POSS FAVORITE/PREFER fs- BEACH IX
"for example, a styrofoam cup, when it  is peeled, is extremely noisy and loud. it sounds like fingernails scratching a chalkboard. so there is a warning not to peel styrofoam cups.",IX # BQQ PARTY IX NOT SNOW SCHOOL CANCEL/CRITICIZE
"if my friend boldly asks for directions, i am willing to drive.",FRIEND GROUP/TOGETHER DEPART POSS NEW # SO IX
"it wasn't john whose car broke down, it was mary.",fs- JOHN IX fs- MARY IX fs- LATE NIGHT
"the deaf person said, ""sure thing"" and drove away.",SAME DCL DCL DCL DCL DCL NOT
who is planning to surprise bob?,TEACHER GIFT fs- BOB IX CAN
that makes it to seem like an opportunity to do more than one.,FRIEND PROCEED GO-OUT SELL
"no, mary is not a vegetarian.",POSS fs- BOB IX MAKE COURT MAKE
"when the president leaves, i will talk with the reporter.",POSS FAMILY PROCEED POSS FAMILY DCL FOR POSS BROTHER IX fs-
mother looks sick? how?,MOTHER IX ARRIVE HOME NOT
and how deaf people form their voice range.,# SO IX fs- CREAM CHEESE # SO
"so basically, i almost never went home to except for vacations or long weekends, that`s when i would commute. but, most of the time i stayed in rochester...",LOOK LOOK # HS POSS IDENTIFY OTHER FRIEND GO-OUT IX # HS NOISE IN # OK FINE THAT IX DCL DCL MAKE IN # OK FINE BCL TO/UNTIL STILL LIVE DEAF PERSON WHO NOT IX CAN
i have an older sister.,# NO RAIN IX HAVE
"(the teacher) regularly watches him,  encouraging him to read.",TEACHER FINISH NICE/CLEAN KITCHEN IX IX
did mother go to the store?,MOTHER FUTURE IX KISS-FIST READ BOOK
"wow, he/she left fast.",BCL BCL BCL BCL
father is currently mowing the lawn.,# IF STUDENT IX DEPART CAMP
why do you have to use the video phone? can't you text?,BCL IX SCL POSS MAN IX fs- OF HAVE DCL WHY DCL IX HAVE BIG
mother gave john chocolate yesterday.,STUDENT IX LIKE YESTERDAY fs-
i'm working.,IX MUST PAY IX
"if i don't have a book to read, i get bored.",IX # SO IX MUST GIFT - BUOY IX
who is sick?,# OR ARRIVE
how many books will john buy?,fs- JOHN FUTURE GIVE HOW-MANY BOOK
he married that woman and lived happily ever after.,REALLY IX # SO FINE IX IX CANNOT TO/UNTIL
my sister wants a headband for her birthday.,IF FRIEND HAVE POSS IDENTIFY DRESS/CLOTHES 5 fs-
"they didn't care about money: back in the 50s and 60s, football...",IX NOT MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER IX fs- ORIENTATION fs- OF IX IX fs- CREAM CHEESE IX REFUSE VACATION
"then interpreter informed me that my ""inhale to avoid cough"" sounded like a sigh.",FRIEND IX fs- SUN IX fs- IT BUT REALLY NONE COP LOOK LOOK IX SAY LOOK
my sister went water tubing.,FRIEND GO-OUT SNOW SCHOOL IX
"no, i don't have a car.",FATHER CAR YESTERDAY WHO
she didn't realize that her voice actually sent a message that was misunderstood.,IX IX IX WHO IX # NO IX IX # DO THAT KIND IX NOT
the teacher cleans the classroom everyday because he wants it clean for his students.,POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER THING QM IX CAN LIVE IX NOT
the friends have not played frisbee.,FRIEND IX # OK DEAF IX
"...really, football players now make millions of dollars.  ",# DO THAT IX fs- PARK WHERE IX THINK fs- LOTTERY IX
the screening shows that the baby is deaf.,HAPPEN IX FEEL POSS WEDDING REALLY ONCE-IN-A-WHILE BUT
but anyway i was sitting...,SAME IX CAN WHO
you're going to the mall today? can i join? my car has a flat.,IX NOT STUDY PEOPLE WHO DCL d # LA IX CANNOT fs- LATE IX MUST GIFT fs- OF
wolf chased after the pigs.  two pigs went into the brick house.,REALLY IX MAN HIT fs- LATE SAME CAN FIND/FIND-OUT UMBRELLA
barack obama swam at the beach.,fs- JOHN MUST DRIVE TO/UNTIL IX
jim threatened to sue the man who punched him.,BCL SCL ARRIVE WHO
mary owns many different cars.,fs- MARY CAN LOOK fs-
john's voice was a good match to the character he played. his character in the movie was that of a swashbuckler.,fs- JOHN IX IX DEPART
is bill planning on moving to new york?,fs- OF fs- JACK HAVE BIG SISTER DEPART
"in the field of audiovocal orientation, they have their own way of viewing the role of voice range...",POSS fs- VERY fs- BOB IX fs- TO IX DCL DCL REALLY IX REFUSE HAVE BIG # LA 8 0 GOOD/THANK-YOU
i didn`t enjoy talking to donna and jessica.,IX fs- LATE IX MAKE REALLY IX fs- MARY IX
"my hand became numb, and he stitched it.",FRIEND DEPART POSS fs- TO fs- BEACH
"after working out and playing he went into the locker room to change clothes and next to the room there was a hallway. he heard two deaf people grunting. as if they were having a conversation, and grunting back and forth.",IX MUST NICE/CLEAN KITCHEN MAKE REALLY WOW VOICE DCL DCL fs- LATE NIGHT
"if i don't have any money, i go to my aunt's house and eat there.",# IF IX NOT ARRIVE # ALL_2 FUTURE GIVE - c a t i n u o n t i
john should buy a car.,fs- JOHN FINISH CAR BREAK-DOWN
"that list goes from ""a"" to ""n"".  picking a word, ""noise"": people should be aware that deaf people make noise, often without realizing it.",# SO DEAF BCL fs- PARK FUTURE IX LOOK fs- OF IN THAT KIND fs- ROPE IX THAT KIND fs- OF REALLY WOW/AWFUL QM SAME IX # NO # OK POSS SISTER
"so, i will be analyzing what goes along with deaf speech.",FRIEND NOT IX fs- GRUNT MANY THING # NO IX FUTURE fs-
what did john buy yesterday?,fs- JOHN SHOULD BUY FATHER
"the house shakes again, louder and worse than before.  he ran downstairs.",NOW IX SAY MAYBE KISS-FIST WHERE IN HOUSE DCL DCL EAT
"wow, his/her friend is a tall man.",WHEN FRIEND GROUP/TOGETHER
"wow, someone told me that the president might get fired.",IX LOOK ONE TWO POSS IDENTIFY BUT STILL HAVE POSS SISTER
the student does not like chocolate.,STUDENT NOT LIKE CHOCOLATE DRY-CEREAL IX
"""...i saw him put something in his mouth""",LOOK OH-I-SEE fs- SUN MORE WHO MORE FOR REALLY WOW IX fs-
"if mother cleans the kitchen, it means we can`t bake cookies.",FAMILY IX HAVE MANAGE/CONTROL IX REFUSE SUCCEED VIDEO-GAME IX IX
the movie starts at 7.,# SO FOR EXAMPLE IX
"if my friends do not want to go out, i will stay home and watch television.",MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER IX # NO
if it stops snowing outside then school will reopen tomorrow.,FRIEND NOT BUY PLAID SHIRT WHY NEW FRIEND GO-OUT WHERE
"i had to put up and stay up til six or seven in the morning.  i was hoping that gas station would be open by then, since i needed my tire fixed before i went on to boston.",# IF IX IX IX CAN HOPE AND POSS BIRTHDAY_3 TEACH+AGENT TEACH+AGENT TEACH+AGENT TEACH+AGENT TEACH+AGENT IX CAN FIND/FIND-OUT UMBRELLA STILL HOT BUOY
if john stays home it probably means he's sick.,IX FAMILY TAKE-UP PIZZA_4 GOOD/THANK-YOU
they grabbed my arm and bent it behind my back.,POSS SISTER IX fs- OF POSS SISTER IX NOT
i bought a gift for my mom. she will love it!,POSS WIFE ARRIVE HOME fs- ROPE DCL
four of us boys lived in a dorm room.,SAME fs- SUE HAVE MOTHER+FATHER HOUSE PARTY IX NOT
"what they praise is connected to the voice; they say, ""you have a beautiful voice""…",LOOK FINE IX LOOK SEE DCL DCL DCL REALLY IX IN HOUSE BCL fs- MARY IX SAY IX THINK
i will keep drinking coffee.,IX KISS-FIST BUY PLAID SHIRT
sue is buying that blue car.,fs- JOHN GIFT POSS
"yesterday, i didn't play any golf.",TEACHER SCL THAT KIND POSS NAME IN THAT POSS
"he died way back, when i was around 8 years old.",ICL SCL LOOK - c o n u a l s e
"john won't take mary to work, he usually takes amy.",fs- MARY NOT BUY HOUSE
"if bob studies literature, he will pass his final exam.",fs- BOB IX ARRIVE YESTERDAY IX HAVE BIG fs- BOB IX
"""i want to see you put the ball down on the ground...",THAT SAME fs- JOHN POSS fs- OF IX fs- OF IX fs- EVEN TWO fs-
did mother give chocolate to john?,TEACHER BUY HOUSE CAR LOVE
was i passed out drunk last night?,BCL
i went and got another bag to put on my hand.,THAT GROUP/TOGETHER NOT IX DCL fs- JOHN FINISH # DO THAT
my friend is surfing the web.,FRIEND GROUP/TOGETHER DEPART CAMP # HS
father likes both books and movies.,IX MUST BUY CAR BREAK-DOWN
"the wolf held his sore behind in relief, then ran away.  the three pigs happily celebrated and danced.  they lived together for ever after.  ",SAME POSS EXPERIENCE IN fs- LATE IX LOOK OH-I-SEE IX IN # NO NOT REASON THAT LOOK HEAR BCL
how many books will the students read?,POSS BIRTHDAY_3 RAIN FUTURE FINISH CHOCOLATE
frank's car broke down.,fs- MARY BUY POSS MOTHER SCL
"if it's raining tomorrow, i'll stay home.",POSS FRIEND IX WHO IX KISS-FIST QM WHY IX JOIN WHY IX
who sent the letter?,WHO MUST VACATION EVERY-YEAR
"here (in boston), they have good service, well not 100 percent of time but you tend to get good service---they make sure you're comfortable. ",THAT DCL DCL fs- MARY NOT MUST WAIT MOTHER+FATHER KNOW IX IX IX MUST DCL BCL fs- PARK IX LOOK
"my mother told her to take it easy, said ""we'll see... """,POSS MOTHER IX MUST PICK/CHOOSE IX HOPE IX GRAB-CHANCE WHERE
"really, i felt...",fs- BOB IX KISS-FIST CHOCOLATE DRY-CEREAL
who is going out?,NOW IX MUST GIFT
the boy's bike crashed and he fell off.,IX KISS-FIST IX FAVORITE/PREFER CORN
john should not buy a house.,fs- JOHN POSS FATHER MUST CHOCOLATE
who will go to the post office?,fs- BOB IX CAN MANY DIFFERENT fs-
that first night they brought me home...,IX REALLY WOW PAST+NIGHT PAST+NIGHT PAST+NIGHT PAST+NIGHT PAST+NIGHT NOT
"analyzing information from a voice that tells their character, their personality, and their job. you may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...",IX SAY LOOK fs- LATE IX LOOK WOW
"when father arrives home late, mother refuses to make dinner.",POSS FRIEND IX IX ARRIVE HOME fs- LATE IX POSS CAR
"honestly, i don`t like commuting to work by bicycle.",IX IX THINK FACE GOOD/THANK-YOU SCHOOL CANCEL/CRITICIZE IX MUST MORE ABOUT #
john did not visit mary.,fs- JOHN HAVE fs- MARY
because that waitress was really hard to understand.,REALLY WOW/AWFUL IX NOT IX LOOK IX MUST
"the hearing people don't tell each other, ""you have a good speech,"" they don't.",# IF IX HAVE HERE IN BOSTON # BQQ PARTY IX IX fs- ALI BCL
why do you work all night?,POSS FAMILY IX # DOG_2
wearing black clothes in the summer will make you hot.,IF IX fs- CREAM CHEESE NONE/NOTHING IX fs- MARY IX
he drank coffee all day.,BAD WEATHER DCL BOSTON fs-
i notice that babies hate fireworks. the fireworks scare the babies.,COP IX SCL SELL IX CAN TAKE-UP DCL DCL DCL FIRE
the deaf person continued driving and started to speed again.,IX BCL REALLY IX SCL FOR IX REALLY IX NOT
i swerved and slammed on the brakes; the headlights shone right in the deer's face.,REALLY IX LOOK # SO # SO IX IX LOOK FINE
why are they chasing me? i asked myself.,SAME LOOK IX MUST DEPART CAMP IX
the teacher finished reading the magazine so now she is going to read a book.,fs- SO IN CHOCOLATE fs- LATE NIGHT
i commute to work by bike.,IX HAVE fs- JACK PAY/BUY HOUSE
the horses hate the rain- they don't like running in the rain.,THEN BCL BCL BCL BCL
when did the president go to china?,HORSE IX MAKE COURT DCL TOGETHER/GO-STEADY_2
"last week, john went to new york.",# SO IX HAVE PINEAPPLE DOCTOR MAINE IX
"if my family decides not to adopt the puppies, my friend probably will.",IF POSS FRIEND IX IX HAVE MANAGE/CONTROL # LA IX NOT IX NOT CANCEL/CRITICIZE
i changed the tire. the tire was a donut tire that is only supposed to last for 50 miles.,BUT BCL ICL ICL ICL ICL LOCK SOON
"once i finish work, i'm going home.",# VP fs- RENT WHY DEPART TOGETHER/GO-STEADY IX MUST
there are many issues related to how body control is associated with objects in the environment.,THEN POSS FAMILY VACATION EVERY-YEAR WHERE IX fs- EVEN SAME IN # VP THAT KIND IN
it is empty.,fs- LATE NIGHT
did bob send the letter?,fs- BOB IX fs- BEACH
i told him/her tomorrow it would rain.,IX CAN LOOK NOT LIKE WHY IX HAVE
mother is sick because she just took care of her ill friend.,MOTHER BUY PLAID STUDENT IX fs- OF MANY THAT FRIEND IX IX
"if i pay rent now, i will have to cancel my vacation.",IF IX MUST MORE BUT IN PUBLIC NONE/NOTHING # SO IX IX fs-
"i didn't realize that nebraska was really that big! but anyway, so i was driving...",DEAF PERSON IX DCL REALLY IX MAKE REALLY PERSON IX MAN
what time did my friend crash the party?,FATHER IX POSS SISTER DEPART FISHING MOVIE #
