input sentence,translation
"basically, two different groups informed the world that deaf people do make noises, and that the stories deaf people share about the various noises involve...",fs- LOTTERY POSS MOTHER+FATHER DEAF PEOPLE WHO MAKE REALLY WOW IN PERSON IX fs- LATE SCL LOOK # SO IX fs- DONNA IX USE_2 SCHOOL WHY BUT DIFFERENT POSS
"the teacher, does s/he like movies?",TEACHER IX LIKE MOVIE
"if there's an emergency, where will you go?",IX FUTURE READ BOOK QM
he gets out of bed and goes downstairs to see what is happening.,# IF SCL IX IX SAY MAKE REALLY MORE # SO LOOK
"john should go, he should.",IX fs- RENT WHO HAVE TIME
"he, father, must buy a car for john (i'm telling you).",POSS FRIEND IX
is mom sick?,STUDENT IX NOT
"if bob studies for his literature test, he will pass it for sure.",fs- BOB IX fs- BOB IX KISS-FIST TRIP FUTURE GIVE - c o n
mother went to the store.,MOTHER GO-OUT BUY PLAID SHIRT
the students refuse to listen to the teacher.,IF MOTHER IX NICE/CLEAN CLASS_2+BOX/ROOM CHOCOLATE fs- GRUNT
"to build his house, he chopped up trees.",THEN SISTER MUST NICE/CLEAN KITCHEN NOT STAY_2 HOME fs-
"last year, we read a lot of books.",FRIEND GROUP/TOGETHER IX WORK QM
where did john live last year?,fs- JOHN FUTURE BRING WATER+DCL LATE
"really, i would have preferred a mcdonald's burger--they're better than this one was.  oh well.  ",REALLY POSS SISTER IX fs- MARY WHY FOR SHOW THAT SCL PAST+NIGHT IX THINK 5 BOOK-PAGE s t a t - c u a
if it's raining i'm still going outside.,# IF THAT KIND BUT # OK IX REALLY NOW
he/she will go to school if it's not canceled.,THAT IX LOOK SAY # SALE TALK
those two friends dyed their hair together.,FRIEND IX TIME PAPER IN EUROPE FOR
"no, i did use the right key. the car is broken.",WHO DCL DCL DCL QM
what time does mom finish work? at 2pm.,OFTEN FRIEND GROUP/TOGETHER IX fs- SUN HOME DCL BOSTON NOW
the teacher gave each of the students one book.,TEACHER LIKE CHOCOLATE WHERE BUY CAR WHO WHY
john is going to the library to read a good book.,fs- OBAMA MUST NICE/CLEAN READ BOOK QM
the student there loves chocolate but doesn't like reading.,DRESS/CLOTHES IX FINISH READ BOOK READ BOOK IX
john bought many books.,fs- JOHN ARRIVE HOME
"if the teacher requires it, john will read the book.",# SO WHERE IX NOT fs- JOHN SHOULD NOT MANY MANY
one of my former students told me a story about her experience when she took the sat in high school.,STUDENT CAN LOOK fs- TO IX # NO THAT POSS NAME BCL BUOY QM fs- DISORDER THAT NOISE IX IX
"when it happens to rain, i stay home.",# IF IX START QM DEPART QM IX IX
"...it can create a fumble,  ",BUT fs- JACK WHO IN BOSTON
john wants to sell (his/a) car.,DRIVE IX LOVE
"""i am fine,"" he said.",IX BCL BCL # SO IX
"one well-known videotape by angela petrone stratiy, made in 1999, called ""deaf people have problems,"" shares some experiences about things that make noises, as a warning.",ATTENTION-WAVE IX NEVER IX WIN QUIET DEAF PEOPLE MUST CLEAN ROPE IX MAN IX REFUSE PERSON WHO SCL DEAF HERE BUOY
"if i don't study, i am guaranteed to fail.",# IF FATHER IX MUST GO THAT
"everytime i go to my uncle's house, he tends to stay inside.",BCL
who is liz's famous sister?,fs- SUE HAVE HOME fs- BILL fs-
"i sat down and waited for a long time.  finally, i went in. ",# IF IX HAVE GO-OUT # LA IX # SO IX FINE
did john read the book?  when?,fs- JOHN GIVE - ABOUT CAR STEAL
what kind of car did he buy?,POSS MOTHER IX READ BOOK IX LOOK
how many books does john want to buy?,fs- JOHN ARRIVE HOME BOOK IX QM
where did the friends drive to?,FRIEND NOT FRIEND GO-OUT IX SCL
i found someone's book.,ENTER FEEL POSS MOTHER SEE IX
“the economy now is great! it`s fine.” “no! it`s really messed up now.”,# ALL IX fs- LATE IX MUST MORE TASTE fs- OF NOISE IX MUST IX NOT LIKE MOVIE ACT IX MUST WHERE IX ENTER
"...anyway, i wrote that i wanted a burger with fries, just simple...cooked medium..",ONE fs- BEACH OTHER # VP LIGHT NEW FRIEND GROUP/TOGETHER
"when bob starts the fire, we will collect logs to keep it going.",fs- SUE fs- GRUNT MAN NOW YEAR BUT NOT SNOW NONE/NOTHING u o n
"it feels like they have died, and become a zombie, disconnected from the reality of the world. they talk, but they cannot hear.",CAN IX # BUT # WHEN IX IX fs- OBAMA
mary is a vegetarian.,# WHEN IX fs-
"when it was time for his voice test, his voice didn't match the character. things weren't like they used to be and his career slumped.",FRIEND GROUP/TOGETHER IX LOOK MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER TWO DCL EAT HIT fs- GRUNT DCL REALLY NONE KIND POSS VOICE THAT IX REFUSE PROCEED GO HOSPITAL DEAF IX SAY FUTURE DEPART CAMP
my friends crashed the party.,FRIEND POSS FATHER ARRIVE HERE
"no, the car's not broken.",ARRIVE fs- JOHN IX
"i rummaged in the trunk.  i admit that it was my first time changing a tire. i know all men should know how, but unfortunately, i didn't.",SAME VOICE FOR WITH DCL fs- BEACH IX fs- VERY ON ENTER FEEL TWO TIME SAME KIND NOISE DEAF BCL BCL
... on which area each would have and went ahead to start setting them up.,IX MAN IX THAT SAME IDEA SCHOOL CANCEL/CRITICIZE MOVIE DCL DCL DCL fs- OF DCL DO THAT
i remember i was young.  it was my first book i read...,IX MUST NICE/CLEAN BUY BOOK IX REFUSE EAT FINISH
"if john did that to me, we would have broken it off a long time ago.",fs- JOHN NOT IX # ALL_2 IX # IF HAVE POSS BROTHER CAN TELL THAT KIND fs-
"if my son is born tomorrow, he will be born in 2013.",POSS FRIEND SCL LOOK fs- SPEECH POSS FRIEND MUST
"mary enjoys acting, not reading.",LOOK PERSON IX NOT IX fs-
"does john drive mary to work? no, he usually drives amy to work.",fs- JOHN GIFT fs- JOHN WHO FINISH DEPART
"oftentimes, people who have experience  talking on the phone, visualize what the person they're talking to might look like.",FINE MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER IX BUOY
she talked into my ears and i didn't pay attention.,AUNT IX KISS-FIST IX HAVE BIG # LA SCL
my friend is calling home on the video phone.,FRIEND IX NOT IX ARRIVE HOME HOME
then i got back into the shower and washed up. it felt so good!,IX LOOK OH-I-SEE IX fs- OF REALLY IX NOT LIKE MOVIE SCL HERE BUOY
john is arriving.,fs- JOHN FUTURE
...because muhammad ali has parkinson's disease...,IX MUST # SO IX fs- BOB IX CANNOT BUOY
"john was reading that book, what did he say it is about?",fs- JOHN POSS MOTHER IX fs- BILL
mother bought one book yesterday.,MOTHER FINISH BOOK IX MOTHER
which high school did you go to?,fs- JOHN NOT WHO
"if it rains tomorrow when i arrive at my uncle's house, i will stay inside.",# IF SNOW SCHOOL CANCEL/CRITICIZE
the parents of the group with deaf professionals would get through the grief progress quicker and usually be able to move on quickly.,ONE TWO fs- OF DEAF PERSON IX REFUSE MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER NOT FEEL VOICE MUST NOT HAPPY FINE MAKE IX
my aunt is an expert at making blue berry pies because she grew up making them.,FAMILY VACATION EVERY-YEAR GO-OUT IX NOT REASON THAT IX HAVE LOOK DCL DCL DCL EAT MEAT
the study notices how the hit group thinks that the glass wasn't broken at all.,AUNT IX DCL GO-OUT IX GO-OUT PARTY
"you're wrong, that is not pineapple cream cheese. i prefer lox.",BUT IN fs- MARY NOT LOVE IX NOT DRIVE REALLY IX
"the cultural interpretation is that these noises fit with anger, happiness, or various other things.",BCL BCL IX fs- GRUNT IX CAN HAVE DCL DCL HOPE THAT SCL WHERE # NO SCL
"sometimes he  imagines he is still boxing in the ring,",SNOW SCHOOL NOT REASON POSS IX BUOY
you probably wondering why i didn't report it to the police.,FINE IX MUST GO BCL BCL
...i saw a bush.,fs- JOHN IX NOT RAIN IX SCL
"no, i wouldn't stop vomiting if i had pineapple cream cheese. lox only is fine with me.",# IF IX KNOW IX FUTURE IX IX # NO ON BCL BCL IX HAVE ONE fs- BOB ONE STORY IN
maybe john and mary will decide to work together now.,fs- JOHN FINISH READ BOOK NOT BUY HOUSE
"if my family adopts the puppies, i will immediately go to the pet store to buy collars, of which they have assorted colors.",IF POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER TWO DIFFERENT PLACE FUTURE HAVE
"my friend is leaving when?  uh, tomorrow.",PARTY POSS FRIEND GO-OUT RAIN
are the friends going out?,FRIEND LOOK PAST+NIGHT PAST+NIGHT SCL
the teacher expects john to read a lot.,IX TEACHER CAR p l n t i
he puts the cover back on and nails down each corner.,IX LOOK LOOK OH-I-SEE DO-DO IX fs- LOTTERY ICL REFUSE UPSET
who listens to the teacher?,CHINA IF IX TEACHER GIFT
when jack was standing outside did he see something/someone weird?,FRIEND HAVE fs- MUHAMMAD fs- BEACH CLEAN GRASS ABOUT fs- OF WORK
i've never seen john's car.,POSS MOTHER POSS MOTHER BUY HOUSE
who wants to play frisbee?,STUDENT GO-OUT MOVIE WHO IX
"a doctor came in, he was new and had just joined the staff.",# ALL_2 IX GO-OUT RAIN IX IX NOT ARRIVE fs- LATE WOW IX CAN
who found the key?,BCL BCL
there's no rain.,IX IX IX HAVE MANY
"of course, it's because l.a. is near the mexican border. ",# DO THAT POSS FAMILY REALLY ONE NOISE IX REFUSE ROPE DCL # HS FRIEND IX
the mother and the boy are both going to the library.,FATHER IX INTRODUCE NEW CAR BREAK-DOWN DEPART
did the student's mother buy a car already?,NOW THAT GIFT CAR BREAK-DOWN FINISH FUTURE SHOULD MUST
it was good time.  all night i enjoyed myself.,BCL BCL fs- BILL IX CANNOT QM
"""i don't want to see any end zone...",IX MUST NICE/CLEAN KITCHEN IX SAY SCL IX THAT MAKE fs- BELT IX
he removes the lid.,ONE # NO MUST
"when the teacher finishes reading the magazine, he/she will read a book.",TEACH+AGENT TEACH+AGENT TEACH+AGENT IX LOOK # NO IX NOT fs- PARK BUOY
it's john who will give a car to (his) father.,STUDENT IX DRIVE IX BOOK CAR NOT
some woman arrived.,SOMETHING/ONE WOMAN #
who wants to play frisbee?,NOW IX MAKE PLAY FRISBEE
is that videogame easy to beat?,IX DECIDE NICE/CLEAN KITCHEN ICL ICL
...is my favorite sport.,IX POSS FRIEND WHO PEOPLE BCL BCL
we just sat and relaxed--aaahhh...,REALLY BIG IX FINISH SCL QM
"next week, john is going to new york.",IDEA fs- JOHN FUTURE GIFT CAR BREAK-DOWN
"they really can do all of the options. one family can choose to use sign language, and if another family wants to use speech, that's fine.",BCL BCL POSS DCL DCL DCL DCL EAT MEAT POSS WEDDING HOW MAKE # DOG_2 DCL NOT SCL ON # WHEN IN # IF BUT IX HEARING TO/UNTIL MEET IX ENTER
what does my sister want for her birthday?,# IF FRIEND RAIN ICL ICL SCL SELL
"i thought,""perfect!"" we pulled off and took the opportunity to eat at mcdonalds.  ",IX KNOW IX WHO ARRIVE # SO IX HAVE DIFFERENT THING
my sister doesn`t want a headband for her birthday.,IX FRIEND GO-OUT SELL ICL ICL MORE - c o n
"""i think it was only a dream, or just my imagination about things.  i don't know--forget it,"" he said",POSS FAMILY GO-OUT NOT THINK IX HOPE IX
"if bob gives his sweetheart a rose, she will be happy.",# IF fs- BOB IX # IF IX NOT MANY SAME FAMILY
sometimes deaf people share and exchange stories about what they have learned about noises. so they will be careful with subsequent situations.,POSS FAMILY IX DCL DCL DCL TELL MANY SCL PAST+NIGHT IX # NO NOT MUST DO THAT IX NOT DEAF PERSON REALLY GAME
did bob give someone roses?,fs- BOB IX fs- BOB
"if he can't finish reading the book, then he will give it back to the teacher.",THAT IX # WHEN BOOK HOUSE WHERE
it is important to escape the big storm.,MAKE REALLY IX FUTURE IX HOPE IX MUST
"...the quarterback, who has the running back behind him.  ",IX FINISH IX fs- ALI HAVE fs- GRUNT DCL DCL SEE DCL COW
i tend to commute to and from work by bicycle.,IX NEVER GOOD p l s t POSS FATHER IX
"when my computer breaks down and i don't know what to do, i'll ask someone for help.",MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER AREA IX # SO POSS SISTER IX BCL NOT BREAK IX fs- PARK
john hasn't finished reading the book yet.,MOTHER IX LOOK fs- LATE NIGHT FUTURE FINISH READ
"dana was watching me.  she was mischevious, dana was--same as me growing up.  ",IX fs- SUE WHO MAKE VOICE POSS NEW POSS fs- OF VOICE IN fs- CREAM p l s
who sent the letter?,HORSE SAME FOR WHO
should mother buy a car?,CAR WHO BUY CAR LOVE
john lived in chicago.,fs- JACK # IF
"they exceed normal voice ranges, which gives rise to various interpretations.",HORSE IX NOT SNOW SCHOOL CANCEL/CRITICIZE IX REALLY IX DRIVE LOOK
"""you're going to hawaii for christmas break ?"" ""no, i'm going to hawaii for spring break.""",SAME FOR SHOW BELONG WITH VOICE IN # SD # BQQ PARTY IX
where is the video phone that you want?,COP LOOK LOOK LOOK
he pries open each corner.,TEACHER GIVE SOME IX HAVE
i must find a gift for my mom.,POSS FRIEND IX fs- ROPE MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"after not studying, there's always a pop quiz.",IX NEVER SEE IX HAVE IX CANNOT OUTSIDE IX fs- OF
"for example, a styrofoam cup, when it  is peeled, is extremely noisy and loud. it sounds like fingernails scratching a chalkboard. so there is a warning not to peel styrofoam cups.",BUT # IF POSS CAR BREAK-DOWN DEAF IX NOT REASON POSS NEW CAR s e WHERE GO-OUT # SO IX DCL IX REFUSE TO BCL NOT # LA
"if my friend boldly asks for directions, i am willing to drive.",FAMILY # IF FRIEND NOT EXPERT FALL TREE FINISH PAY IX # SD
"it wasn't john whose car broke down, it was mary.",fs- JOHN IX fs- MARY ARRIVE fs- MARY IX IX fs- BOB IX
"the deaf person said, ""sure thing"" and drove away.",LOOK LOOK
who is planning to surprise bob?,SAY MAN MAYBE fs- BOB IX
that makes it to seem like an opportunity to do more than one.,ONE DEAF PERSON IX fs- RENT WHO BUOY BUOY
"no, mary is not a vegetarian.",# WHEN fs- MARY NOT SEEM WITH
"when the president leaves, i will talk with the reporter.",# IF IX HAVE THAT FIRST-IN-LIST SOME MANY PERSON fs- OBAMA
mother looks sick? how?,MOTHER NOT SNOW DCL NOW
and how deaf people form their voice range.,fs- VERY FOR fs- IT fs- OF CAN
"so basically, i almost never went home to except for vacations or long weekends, that`s when i would commute. but, most of the time i stayed in rochester...",THAT FRIEND GO-OUT IX CAN LOOK s t i n u a t i # SO FINE WOW THING WITH FOOD FOR DIRECT DCL AND FOR IX fs- LOTTERY THAT POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER NOT
i have an older sister.,SAME POSS BOSS HOME PEOPLE
"(the teacher) regularly watches him,  encouraging him to read.",IX MAN POSS BROTHER
did mother go to the store?,MOTHER BOOK FUTURE GIVE WANT+NEG WANT+NEG
"wow, he/she left fast.",NOW NOT fs- EVEN WITH VOICE DCL
father is currently mowing the lawn.,FATHER IX fs- OF IX NICE/CLEAN
why do you have to use the video phone? can't you text?,# IF IX IX NOT EXPERT MAKE REALLY SAME NOT HAVE PINEAPPLE fs- LOTTERY IX
mother gave john chocolate yesterday.,MOTHER BOOK WHEN fs- JOHN
i'm working.,IX REALLY SCHOOL
"if i don't have a book to read, i get bored.",IX fs- OF IX
who is sick?,# WHEN GO-OUT
how many books will john buy?,DCL DCL IX
he married that woman and lived happily ever after.,IX # HS DEAF fs- LOTTERY IX MUST PAY
my sister wants a headband for her birthday.,SISTER IX NEVER SELL IX NOT FEEL THREE
"they didn't care about money: back in the 50s and 60s, football...",IX HAVE HOW IX fs- DANA DIRECT/EXPLAIN HAVE DIFFERENT PEOPLE BCL DCL DCL DCL # NO
"then interpreter informed me that my ""inhale to avoid cough"" sounded like a sigh.",FRIEND GROUP/TOGETHER DCL DCL BOSTON # LA IX fs- OF POSS WIFE POSS BIRTHDAY_3 IX fs-
my sister went water tubing.,POSS BOSS MAKE IX DEPART
"no, i don't have a car.",POSS FRIEND IX YESTERDAY WHO DCL
she didn't realize that her voice actually sent a message that was misunderstood.,THAT POSS FAMILY BCL IX fs- BEACH IX fs- RENT IX
the teacher cleans the classroom everyday because he wants it clean for his students.,IX STUDENT LOOK PERSON WHY BCL
the friends have not played frisbee.,FRIEND IX PARTY # NO SCL
"...really, football players now make millions of dollars.  ",IX KNOW IX LOOK WHY WORK POSS BOSS IX # NO IX
the screening shows that the baby is deaf.,ONE BIG fs- RENT SCHOOL NOT HAPPY DCL
but anyway i was sitting...,SOMETHING/ONE OTHER
you're going to the mall today? can i join? my car has a flat.,IX MAKE REALLY IX IX HOPE fs- ALI POSS NEW WORK BICYCLE IX REALLY WOW/AWFUL IX fs- OF
wolf chased after the pigs.  two pigs went into the brick house.,DRESS/CLOTHES IX THINK BCL BCL BCL SAME
barack obama swam at the beach.,fs- DANA DCL fs- IT POSS
jim threatened to sue the man who punched him.,fs- JACK IX GO-OUT QM
mary owns many different cars.,fs- MARY WORK BICYCLE FINISH
john's voice was a good match to the character he played. his character in the movie was that of a swashbuckler.,fs- BOB IX POSS FAMILY IX FUTURE READ BOOK IX FINISH READ BOOK IX FAVORITE/PREFER fs- LATE POSS FAMILY HAVE DEAF HERE IX NOT
is bill planning on moving to new york?,fs- CREAM CHEESE IX LOVE LETTER/MAIL NOT-YET
"in the field of audiovocal orientation, they have their own way of viewing the role of voice range...",IX fs- BOB IX LOOK s t a l DCL DCL BCL NOT LIKE CHOCOLATE MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
i didn`t enjoy talking to donna and jessica.,IX POSS FRIEND GROUP/TOGETHER DCL fs- MARY BCL fs- OF
"my hand became numb, and he stitched it.",FRIEND IX fs- BEACH
"after working out and playing he went into the locker room to change clothes and next to the room there was a hallway. he heard two deaf people grunting. as if they were having a conversation, and grunting back and forth.",BAD fs- SPEECH START DCL IX fs- OBAMA VOICE fs- CREAM CHEESE BCL BCL REALLY MOTORCYCLE WHO
"if i don't have any money, i go to my aunt's house and eat there.",IDEA IX POSS NAME NOT CANCEL/CRITICIZE
john should buy a car.,fs- BRIDE THAT MOTHER POSS
"that list goes from ""a"" to ""n"".  picking a word, ""noise"": people should be aware that deaf people make noise, often without realizing it.",REALLY IX HAVE DEAF fs- MARY fs- CSUN SCHOOL # SO THAT IX SAY KNOW LOOK n u a l s t i v e f a l DCL HEAR DCL DCL fs- BEACH
"so, i will be analyzing what goes along with deaf speech.",POSS FRIEND LOOK fs- EVEN DCL
what did john buy yesterday?,fs- JOHN ARRIVE IX fs-
"the house shakes again, louder and worse than before.  he ran downstairs.",AUNT IX HAVE WIFE ONE ADVISER WHERE # NO HAVE SMALL s e s
"wow, his/her friend is a tall man.",POSS FRIEND BUY CAR
"wow, someone told me that the president might get fired.",SAME IX IX ICL IX IX SAY KNOW IX
the student does not like chocolate.,NOW IX SHOULD IX MOTHER IX
"""...i saw him put something in his mouth""",IX IX fs- OBAMA POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"if mother cleans the kitchen, it means we can`t bake cookies.",IF IX FEEL THAT SAME
the movie starts at 7.,NOW SEE SCHOOL STILL WHY
"if my friends do not want to go out, i will stay home and watch television.",# IF SNOW SCHOOL IX FINE WHERE IX # ALL_2 FOR REALLY DCL
if it stops snowing outside then school will reopen tomorrow.,POSS FAVORITE/PREFER fs- LOTTERY IX WIN IX FUTURE FAIL
"i had to put up and stay up til six or seven in the morning.  i was hoping that gas station would be open by then, since i needed my tire fixed before i went on to boston.",# SO DEAF WHO JOIN SAME PEOPLE STILL CANNOT PEOPLE ON TEACH+AGENT TEACH+AGENT TEACH+AGENT TEACH+AGENT TEACH+AGENT POSS FRIEND CAN fs- SPEECH DIFFERENT c o n u a t NOT BREAK IX NOT BCL
if john stays home it probably means he's sick.,COP FRIEND IX NEVER SKI
they grabbed my arm and bent it behind my back.,IX ENJOY BUT IX CAN fs- MARY
i bought a gift for my mom. she will love it!,FRIEND GO-OUT IX WHO
four of us boys lived in a dorm room.,OFTEN LOOK POSS WHO BCL BCL fs- GRUNT
"what they praise is connected to the voice; they say, ""you have a beautiful voice""…",IX MUST PAY fs- OF PERSON WOW DEAF IX FINISH SCL
i will keep drinking coffee.,COP TRUE-BUSINESS # BBQ GROUP/TOGETHER
sue is buying that blue car.,fs- MARY DRIVE WHO
"yesterday, i didn't play any golf.",fs- JOHN SAY IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM
"he died way back, when i was around 8 years old.",IX NOT RAIN # IF IX fs- LATE NIGHT DCL BCL
"john won't take mary to work, he usually takes amy.",fs- MARY IX WORK DEPART fs- MARY IX NOT LIKE REALLY
"if bob studies literature, he will pass his final exam.",fs- BOB IX FUTURE PAY/SPEND NOISE IX HAVE DIFFERENT DEAF
"""i want to see you put the ball down on the ground...",IX MUST WORK TRIP fs- BEACH DCL fs- LATE IX
did mother give chocolate to john?,MOTHER FUTURE fs- JOHN LIKE CHOCOLATE
was i passed out drunk last night?,ONE PIG # WHEN TIME IX MUST
i went and got another bag to put on my hand.,IX ARRIVE RAIN IX NOT SCL IX
my friend is surfing the web.,POSS FRIEND GO-OUT PLACE VACATION EVERY-YEAR
father likes both books and movies.,TEACHER FATHER fs- GRUNT BOOK NOT
"the wolf held his sore behind in relief, then ran away.  the three pigs happily celebrated and danced.  they lived together for ever after.  ",IX HAVE BIG # SO BCL BCL BCL BCL BCL DCL ICL IN SCHOOL CANCEL/CRITICIZE IX LOOK LOOK VOICE THAT
how many books will the students read?,TEACHER MOTHER IX LIKE CHOCOLATE DRY-CEREAL DCL
frank's car broke down.,fs- DANA DRIVE fs- GROOM MAKE
"if it's raining tomorrow, i'll stay home.",IF IX # WHAT fs- SPEECH # NO IX FUTURE NOT BREAK
who sent the letter?,REALLY SAME FOR FRIEND
"here (in boston), they have good service, well not 100 percent of time but you tend to get good service---they make sure you're comfortable. ",# IF IX fs- VERY MARY IX MAKE REALLY DIFFERENT IX DEAF PEOPLE IX IX NOT FEEL SAME IX FEEL HEAR FOR MOTORCYCLE SCL HEARING IX IN MANAGE/CONTROL WITH TEACH+AGENT TEACH+AGENT MORE FOR IX DEAF #
"my mother told her to take it easy, said ""we'll see... """,POSS MOTHER FUTURE PAY/SPEND ONE SIDE HUM IX MUST NICE/CLEAN KITCHEN IX
"really, i felt...",ONE FRIEND GO-OUT IX MAN IX
who is going out?,WHO IX GO-OUT WHO
the boy's bike crashed and he fell off.,IX MUST MORE BUT OF-COURSE TIME
john should not buy a house.,IX fs- JOHN LIKE MOVIE
who will go to the post office?,fs- EVEN NICE/CLEAN KITCHEN ICL ICL POSS
that first night they brought me home...,BUT POSS fs- LATE NIGHT WHY NOT CANCEL/CRITICIZE
"analyzing information from a voice that tells their character, their personality, and their job. you may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...",KNOW fs- RENT # WHEN IN MUST DO THAT DIFFERENT TO/UNTIL IX fs- CREAM CHEESE IX fs- SPEECH BCL BUOY
"when father arrives home late, mother refuses to make dinner.",# SO IX ARRIVE SCHOOL WHERE DCL IX ARRIVE HOME fs-
"honestly, i don`t like commuting to work by bicycle.",# IF IX HAVE GOOD/THANK-YOU FUTURE ^ IX MAN HIT fs- OF
john did not visit mary.,fs- JOHN ARRIVE fs- SPEECH
because that waitress was really hard to understand.,BAD WEATHER DCL IX IX REFUSE KNOW IX
"the hearing people don't tell each other, ""you have a good speech,"" they don't.",IX THINK LOOK WHERE NOW SAME NOT SCL DEAF
why do you work all night?,HAVE GOOD/THANK-YOU POSS WORK IX MUST
wearing black clothes in the summer will make you hot.,# FUCK NOT LIKE MANY SAME FOR SHOW IX BUOY
he drank coffee all day.,DRESS/CLOTHES IX THINK SELF RECENT-PAST
i notice that babies hate fireworks. the fireworks scare the babies.,NOW NOT BREAK IX WIN GET-TICKET MUST MAKE REALLY GAME
the deaf person continued driving and started to speed again.,COP BCL
i swerved and slammed on the brakes; the headlights shone right in the deer's face.,REALLY IX SCL fs- VERY s t IX SCL IX MAN DCL DCL
why are they chasing me? i asked myself.,# SO IX HAVE IX CAN NOT IX NOT
the teacher finished reading the magazine so now she is going to read a book.,STUDENT IX IX READ BOOK FUTURE NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM SCL
i commute to work by bike.,IX MAN RECENT-PAST EVERY-YEAR NOT LOVE
the horses hate the rain- they don't like running in the rain.,THEN DECIDE LOOK MOTHER+FATHER MOTHER+FATHER IX FUTURE GIVE CHOCOLATE HEARING PEOPLE NOT ENOUGH IX LOOK
when did the president go to china?,SOMETIMES POSS FRIEND IX MAN IX MUST
"last week, john went to new york.",STUDENT IX FINISH VACATION FINE GIVE STUDENT MUST
"if my family decides not to adopt the puppies, my friend probably will.",POSS FRIEND IX CAN REALLY IX MUST JOIN IX IX fs- CREAM CHEESE IX
i changed the tire. the tire was a donut tire that is only supposed to last for 50 miles.,IX BCL BCL BCL BCL BCL BCL BCL IX USE_2 PHONE HOME # DOG_2 REALLY WEATHER LOUSY IX # NO
"once i finish work, i'm going home.",IX IX fs- GRUNT NOT WORK LATE NOT REASON POSS
there are many issues related to how body control is associated with objects in the environment.,ONE PIG IX fs- OF # NO IX FEEL IN MANAGE/CONTROL IX BUOY
it is empty.,IX KNOW IX
did bob send the letter?,fs- BOB IX fs- BOB
i told him/her tomorrow it would rain.,IX NOT LIKE MOVIE SCL SELL
mother is sick because she just took care of her ill friend.,MOTHER IX IX WHO POSS MOTHER FUTURE DCL DCL
