translation,gloss
...I realized I didn't have my insurance information with me.,BCL:5xx NOT HAVE POSS-1p INSURANCE/INFECTION INFORM WITH IX-1p IX-1p 5xx
So we pulled over to a pay phone and Tony called the boss,#SO IX-1p SCL:3xx PAY PHONE fs-TONY POSS-3p BOSS
The boss said his company would cover the costs for stitches on my finger and everything.,SAY 5xx FUTURE POSS-3p COMPANY FULL POSS-1p IX-3p STITCH ETC. INCLUDE/ALL-INCLUDED
"My boss said, ""Yes, go ahead and use my name."" I was relieved.",IX-3p SAY YES GO-AHEAD USE POSS-1p NAME IX-1p 5xx WHEW/RELIEVED FINE
If he didn't pay for it then I don't know what I would have done!,SUPPOSE TRUE-BUSINESS IX-3p NOT (flat-O)PAY THEN IX-1p 5xx
They maybe would have to send the bill to my parents. My parents wouldn't be very happy.,MAYBE MUST SEND BILL fs-BILL TO POSS-1p MOTHER+FATHER REFUSE REALLY HAPPY 5xx
"I went to the hospital, but you know how hospitals are, they tend to keep you waiting forever!",#SO (5)xx IX-1p GO HOSPITAL IX-1p 5xx REALLY 5xx KNOW HOSPITAL TEND FOREVER
"We sat down with them to give information about the insurance, the date, my social security number, etc. ",BPCL:bent-Vxx FALL-INTO-PLACE INSURANCE/INFECTION part POSS-2p INFORM IN fs-DATE #SS NUMBER REALLY COUNT-ON-FINGERS 5xx
"I sat down and waited for a long time.  Finally, I went in. ",IX-1p BPCL:bent-Vxx WAIT FINALLY/SUCCEED IX-1p ENTER
I was in the fast express care of the emergency area of the hospital.,REALLY IX-3p FAST fs-EXPRESS CARE EMERGENCY HOSPITAL AREA
"...you know, they have different buildings for different wards.  I went in and waited some more.",HAVE DIFFERENT BUILDING LCL:Cxx IX-1p ENTER IX-1p IX-1p WAIT
My hand kept bleeding and I was still waiting. ,REALLY BLOOD STILL BLOOD IX-1p WAIT
"A doctor came in, he was new and had just joined the staff.",REALLY ONE DOCTOR SCL:1xx REALLY SELF-3p NEW RECENT-PAST JOIN POSS-3p fs-STAFF
"I was a bit nervous--I trust young doctors, but would prefer an older one;  it doesn't matter though, it was fine.",IX-1p LOOK IX-1p TRUST YOUNG DOCTOR IX-1p FAVORITE/PREFER OLDER BUT IX-1p 5xx FINE
He looked at my finger and said he would like to call for a second opinion.,LOOK BCLxx 5xx IX-1p CALL FOR SECOND OPINION
"I thought ""ugh"" and ended up waiting again. ",IX-1p LOOK 5xx FINE IX-1p WAIT
I arrived there at two o'clock and it was already like 4:30 or 5 o'clock...,REALLY 5xx IX-1p IX-1p FINISH SAME FOUR-THIRTY FIVE
I still hadn't gotten my stitches.,FIVE IX-1p STILL NOT-YET GET STITCH SAME IX-1p 5xx
I hoped my finger wouldn't become dry (the blood) or whatever. So I kept waiting. ,IX-1p HOPE IX-3p NOT BECOME fs-DRY DRY TRUE-BUSINESS BLOOD fs-OR (5)xx FINE IX-1p WAIT
"Finally, an older man came in; he was a plastic surgeon.",FINALLY/SUCCEED SCL:1xx ONE OLDER MAN SELF-3p SPECIALIZATION PLASTIC SURGEON SCL:1xx
I felt funny because a plastic surgeon was going to give me the stitches.,IX-1p LOOK FEEL FUNNY (25)WHY PLASTIC SURGEON DO STITCH ON IX-1p
"I thought some regular doctor, nurse, or even doctor's assistant could do it.",IX-1p THINK REGULAR DOCTOR fs-OR MAYBE fs-EVEN NURSE CAN DO fs-IT part SAME IX-1p fs-OR DOCTOR ASSISTANT part fs-EVEN MAYBE
"But all the same, he told me I better go downstairs and get an x-ray.",BUT 5xx SAME IX-1p 5xx IX-3p SAY BETTER DOWN fs-XRAY
He wanted to check if I had some air in my finger which could cause an infection.,WANT CHECK SUPPOSE HAVE SOME fs-AIR IN IX-loc (25>Y)WHY FUTURE CAUSE INSURANCE/INFECTION
My x-ray result showed that my finger was cut to the joint. ,SAME KIND fs-OF CUT REALLY CHOP POSS-1p fs-JOINT BONE IX-3p OVER/AFTER fs-XRAY RESULT
He said I was very lucky that my finger was not cut more or I would have lost it.  I was relieved!,SAY EXPLAIN (5)WOW IX-3p LUCKY NOT CHOP MORE CHOP #SO IX-1p LOSE BCLxx IX-1p LOOK 5xx
I went back upstairs to give the plastic surgeon my X-Ray results. ,FINE IX-1p SCL:1xx 1p:GIFT PLASTIC SURGEON POSS-1p fs-XRAY RESULT
"Finally, he said we were ready.  He set everything up.",IX-3p SAY FINALLY/SUCCEED FINE READY SET-UP ETC.
"He got the scissors, the needle, and the string.  I saw the needle and the thick string and thought ""whoa!""",GET SCISSOR STRING METAL REALLY IX-1p LOOK falsestart METAL THICK STRING IX-1p LOOK (5)WOW
He gave my hand a few injections. ,#SO IX-3p REALLY INJECT FEW TIME INJECT IX-1p
"My hand became numb, and he stitched it.",IX-1p BECOME fs-NUMB IX-1p IX-3p STITCH
I could feel the stitches being pulled through--it felt like when you tie your shoes...,IX-1p CAN FEEL PULL SEW SAME SEW xx TIE POSS-2p SHOE
...that's kind of how the stitching felt.   ,ALMOST SAME SEW:i FEEL fs-IT IX-1p
"After he finished, he wrapped up my finger.",FINISH ICL:Axx fs-THEN IX-1p 5xx
"He gave me instructions; he told me, ""you cannot get it wet.""",IX-3p SAY GIFT-2p EXPLAIN SAY 5xx IX-2p CANNOT GET WET
"Then, when you shower, you will need to use a plastic bag to cover your hand.",THEN IX-2p IX-2p SHOWER MUST USE PLASTIC fs-BAG ICL:Sxx
"After he explained everything that I needed to do, I said ""fine, alright then"".",#SO 5xx GIFT-2p EXPLAIN ETC. INCLUDE/ALL-INCLUDED IX-1p FINE 5xx
I finally arrived home around 7:30.  I was beat.,IX-1p FINALLY/SUCCEED ARRIVE HOME SEVEN-THIRTY IX-1p 5xx
"Really, I had to take shower because I had been working all day, plus I had blood all over me.",REALLY IX-1p MUST SHOWER IX-1p WORK ALL-DAY PLUS BLOOD DCL:5xx EVERY+WHERE ON IX-1p
"So anyway, I went in the shower--I had put two bags on my hand to be safe.","#SO 5xx IX-1p ENTER SHOWER 5xx IX-1p 5xx IX-1p ICL:Sxx TWO fs-BAGS ICL:S""pullingtwobagsonhand""i fs-BE SAFE"
I wrapped my hand and the bag with a rubber band and walked into the shower.,IX-1p ICL:10xx WITH RUBBER ICL:Sxx IX-1p BPCL:Vxx IN SHOWER
"While the water was running, I tried to wash myself as best I could--I couldn't use my injured hand.",IX-1p 5xx WATER DCL:4xx WASH FRUGAL BCL:5xx WASH IX-3p CANNOT USE IX-3p IX-1p 5xx
"I picked up the shampoo bottle and dumped it on my hand.  Right after I poured it, it hit me that I couldn't use that hand. ",IX-1p SHAMPOO fs-SHAMPOO SHAMPOO IX-1p ICL:bent-5xx ICL:bent-5xx
I wasn't thinking.   Now shampoo was oozing all over my hand.  Geez. ,IX-1p NOT THINK (open-B)IX-loc DCL:5xx IX-1p 5xx
I went and got another bag to put on my hand.,SCL:1xx GET OTHER fs-BAG ICL:Sxx THEN
Then I got back into the shower and washed up. It felt so good!,SCL:1xx SHOWER WASH FEEL THUMBS-UP/GOOD
"Then, I went to bed for the night to get ready to work all day today.",fs-THEN SAME IX-1p GET-IN-BED ALL-NIGHT READY FOR WORK TODAY ALL-DAY
"In the past, when I was four or five years old...",IX-1p REALLY IX-1p FORMERLY IX-1p AGE-4 AGE-5
My grandfather was a big boxing fan.,IX-1p POSS-1p GRANDFATHER SELF-3p BIG BOXING fs-FAN KNOW fs-BOXING BOXING IX-3p
He asked me to sit down and watch boxing.  I didn't really get it.,REALLY POSS-1p SCL:crvdVxx 5xx LOOK BOXING IX-1p 5xx
I don't remember it well because I was too young but....,FINE IX-1p SMALL YOUNG NOT REMEMBER #BUT
My father told me that I used to love boxing when I was growing up.,POSS-1p FATHER EXPLAIN SAY 5xx IX-2p REALLY IX-2p KISS-FIST BOXING
"I said ""oh, I see,"" then I began watching the boxing on TV.",IX-1p LOOK OH-I-SEE IX-1p LOOK WATCH-TV BOXING
"As I watched, I thought to myself, ""I wouldn't mind doing boxing in the future"".",IX-1p LOOK NOT-MIND SELF-1p FUTURE BOXING
"I would work out and have great abdominal muscles on my stomach.  Wow--it would require a lot of time, though,",IX-1p WORK-OUT DCL:5-Cxx REALLY (5)WOW BUT (Y)WOW MUCH TIME REQUIRE
...so I dropped it.  One thing that impacted me when I was watching TV...,#SO IX-1p 5xx IX-1p WATCH-TV 5xx IMPACT REALLY 5xx
"Last year, I watched a story about Muhammad Ali on CNN.",LAST-YEAR IX-1p WATCH-TV ONE (crvd-sprd-B)STORY ON fs-MUHAMMAD fs-ALI ON CHANNEL fs-CNN
It was a show about his life story. I was completely fascinated by it.,POSS-3p LIVE TIME (crvd-sprd-B)STORY IX-1p WATCH-TV FASCINATED REALLY FALL-INTO-IT REALLY (5)WOW
"After I watched that story, Muhammad Ali became my favorite boxer.",OVER/AFTER THAT (crvd-sprd-B)STORY IX-3p fs-MUHAMMAD fs-ALI POSS-1p FAVORITE/PREFER BOXER FINISH
His wife invited a reporter over their house.,REALLY IX-3p POSS-3p WIFE INVITE REPORTER GO POSS-3p HOUSE
"While they had dinner, the sports reporter collected more information about Muhammad Ail.",HAVE EAT+NIGHT 5xx REALLY SPORT SELF-3p SPORT REPORTER COLLECT MORE INFORM ABOUT fs-MUHAMMAD fs-ALI
"His wife cooked and got things ready for dinner.  Then, they all sat down and talked.",IX-3p WIFE COOK DCL:crvdLxx READY SCL:crvdVxx CHAT
The reporter asked Muhammad Ali a simple question.,REPORTER 5xx ASK fs-MUHAMMAD fs-ALI 5xx SIMPLE QUESTION 5xx
"Ali started to...  well, you know he has Parkinson's disease...",fs-ALI START fs-TO 5xx IX-3p KNOW SELF-3p HAVE fs-PARKINSONS SICK SELF-3p SICK
He tends to shake sometimes and he had a hard time trying to focus on things. ,SICK TEND SHAKE SOMETIMES NOT PAY-ATTENTION HAVE HARD TIME FOCUS
He started to really shake and the reporter got scared.  He wasn't sure how to approach that kind of situation.,"#SO START fs-TO BPCL:V""standup""-inceptive REALLY SHAKE REPORTER 5xx LITTLE-BIT SCARE NOT KNOW HOW TO APPROACH THAT SITUATION"
The reporter asked Ali's wife if he was alright.,5xx TELL WIFE IX-loc ALRIGHT
"His wife said ""well, sort of... sometimes he has bad dreams.""",WIFE SAY 5xx SOMETIMES IX-3p HAVE BAD DREAM
"Sometimes he  imagines he is still boxing in the ring,",SAME IMAGINE SELF-3p STILL BOXING REALLY STILL THINK IN fs-RING
...still taking punches.  Sometimes he will stand up and start swinging his fists.,STILL BCLxx REALLY SOMETIMES IX-3p STAND-UP START BCLxx
"The reporter said, ""Really, Muhammad Ali would stand up and punching at people?""",REPORTER REALLY TRUE-BUSINESS REALLY fs-MUHAMMAD fs-ALI STAND-UP PUNCH ON PEOPLE
"The wife said ""Yes, I have seen him beating up one man for no reason""",REALLY WIFE YES IX-1p SEE IX-3p ABUSE ONE MAN PAST REALLY (O)NONE REASON
"The reporter said, ""really?"" as he looked at Muhammad Ali.",REPORTER SAY LOOK TRUE-BUSINESS LOOK ON fs-MUHAMMAD fs-ALI
"Ali was sitting, shaking; then he got up slowly and started punching the air.",fs-ALI SIT BCLxx STAND-UP SHAKE BCLxx
"Ali walked toward the reporter, grabbed him by the collar, pulled him close, and shook his fist in the reporter's face. ",SCL:1xx REPORTER BCL:Sxx
"The reporter was really scared.  Muhammad Ali put him back in his seat, and said, ""I am just teasing, don't worry!""",REPORTER REALLY SCARE BCLxx fs-MUHAMMAD fs-ALI IX-1p TEASE++-2p NOT WORRY 5xx
He laughed and sat down.  I had goose bumps on my arms.,LAUGH SIT IX-1p DCL:4xx
"I was not laughing, yes I know it was funny, but I got goose bumps on my arms.",REALLY IX-1p LAUGH NO IX-1p KNOW IX-3p FUNNY YES BUT IX-1p REALLY DCL:4xx
...because Muhammad Ali has Parkinson's Disease...,(25)WHY IX-3p fs-MUHAMMAD fs-ALI SELF-3p HAVE fs-PKSON DISEASE IX-3p
" But he still, uh, he still is able to find humor in many things.",IX-3p BUT IX-3p STILL IX-3p 5xx IX-3p STILL CAN FIND/FIND-OUT FUNNY IN MANY THING
"He scared the reporter, his wife was great...wow.",SAME IX-3p SCARE REPORTER COUNT-ON-FINGERS 5xx IX-3p WIFE WONDERFUL IX-3p REALLY (5)WOW
"So, after that, I wish I could tell my grandfather that story.",#SO OVER/AFTER THAT IX-1p 5xx IX-1p WISH IX-1p CAN TELL POSS-1p GRANDFATHER THAT (crvd-sprd-B)STORY
"He died way back, when I was around 8 years old.",(25)WHY IX-3p DIE 5xx BEFORE REALLY 5xx WHEN IX-1p SAME AGE-8
I wish he and I could have watched it together. ,#SO xx WISH IX-3p CAN LOOK TOGETHER 5xx
I have a good friend of mine named Paul.,FINE ONE MAN ONE FRIEND GOOD FRIEND POSS-1p IX-loc fs-PAUL
He is a real motorcycle freak.  He has a beautiful motorcycle.,IX-3p REALLY MOTORCYCLE fs-FREAK REALLY BEAUTIFUL MOTORCYCLE
"He would do anything for a motorcycle.  I feel sorry for him, he has bad luck with motorcycles.  ",MOTORCYCLE REALLY (L)FUTURE #DO ANY+THING FOR MOTORCYCLE REALLY PITY BAD fs-LUCK WITH MOTORCYCLE
"Three of his motorcycles were stolen, two others crashed.  He has had a total of five different motorcycles. ",MOTORCYCLE IX-3p THREE MOTORCYCLE STEAL CRASH TWO OTHER MOTORCYCLE REALLY TOTAL MOTORCYCLE DIFFERENT MOTORCYCLE
You know where he is now? In the hospital with broken ribs...,MOTORCYCLE IX-3p REALLY NOW KNOW WHERE IN HOSPITAL WITH BREAK fs-RIBS LCL:Gxx
...from a motorcycle accident.,LCL:1xx FROM MOTORCYCLE ACCIDENT 5xx
"He would do anything for a motorcycle, like for example, he ran in the Mr. Deaf CSUN Pageant.",5xx REALLY IX-3p #DO ANY+THING FOR MOTORCYCLE SAME FOR EXAMPLE IX-3p GO fs-MR DEAF fs-CSUN PAGEANT FOR MAN GROUP/TOGETHER
He decided to videotape himself riding on one wheel of the motorcycle.,IX-3p DECIDE fs-TO FILM SELF-3p MOTORCYCLE ICL:Sxx ON ONE WHEEL
He was riding the motorcycle on one wheel at 80 to 90 mph and hit a rock.,ICL:Sxx 5xx FOR 80 90 fs-MPH TRUE-BUSINESS ICL:Sxx HIT fs-ROCK ICL:Sxx
"He fell off the motorcycle, separated his shoulder, sprained both his knee and ankle, and burned the side of his face.",SCL:bentVxx SEPARATE SPRAIN fs-KNEE fs-ANKLE FACE IX-loc 5xx
"He showed (the whole accident) on tape. He didn't win though, but hey.",5xx SHOW ON FILM IX-3p NOT WIN NO BUT 5xx
"Motorcycling--wow.  Since I care about him, I decided to send him an email.",(5)WOW REALLY MOTORCYCLE #SO IX-1p DECIDE IX-1p 5xx IX-1p FEEL fs-CARE ABOUT IX-3p IX-1p DECIDE SEND fs-EMAIL
"I said to Paul in the email, ""you know, you have been a good friend of mine"".",IX-1p SAY part UP-TO-NOW IX-3p 5xx IX-3p fs-PAUL KNOW IX-3p POSS-1p GOOD FRIEND
"So far, his motorcycles have been stolen, crashed, and so on, you know?",UP-TO-NOW MOTORCYCLE STEAL PLUS IX-3p CRASH 5xx
He had made a videotape of himself riding on one wheel at 80 mph!! He is crazy!!,IX-3p DO FILM SELF-3p IX-3p ICL:Sxx 80 fs-MPH IX-3p CRAZY 5xx
"He sent a reply back to me with one simple sentence: ""What is a car?""",REALLY 5xx IX-3p SEND IX-1p REPLY #BACK WITH ONE SIMPLE SENTENCE fs-WHAT fs-IS fs-A fs-CAR
"I am going to compare two different cities, Boston and Los Angeles. ",IX-1p COMPARE TWO DIFFERENT CITY/COMMUNITY fs-BOSTON AND ns-#LA IX-3p
I was born and raised in Boston.,IX-3p REALLY IX-1p 5xx BORN IN ns-BOSTON
"I went to LA after finishing high school.  I went to college at CSUN, Calfornia State University at Northridge. I went in '96.",REALLY IX-1p OVER/AFTER #HS IX-1p GO COLLEGE fs-CSUN ns-CALIFORNIA STATE UNIVERSITY ON fs-NORTHRIDGE IX-1p UP-TO-NOW NINETY-SIX
"There are many things to compare.  For example, Boston's food is delicious and better (than LA).",REALLY IX-1p MANY THING COMPARE IX-3p SAME FOR EXAMPLE FOOD REALLY IX-3p fs-BOSTON REALLY DELICIOUS BETTER FOOD
"First of all, I think nothing compares with Boston seafood. Second, the meat here is fresh and more flavorful.  California meat...",FOOD REALLY THINK COUNT-ON-FINGERS fs-SEAFOOD REALLY (O)NONE COMPARE FORGET-IT COUNT-ON-FINGERS 5xx MEAT fs-FRESH THUMBS-UP/GOOD MORE TASTE ns-CALIFORNIA MEAT 5xx
"... is not great.  However, maybe they have better dairy products. I don't know.",5xx NOT GREAT MAYBE IX-3p HAVE BETTER PRODUCT FROM COW BRING NOT-KNOW
"Third, the fruits and vegetables in California taste fresher, since they grow in California.",COUNT-ON-FINGERS PLUS FRUIT VEGETABLE MORE TASTE fs-FRESH IX-loc GROW IN OUT ns-CALIFORNIA
The farm system in California is more outside because it is too hot to have it inside.,DURING/WHILE ns-CALIFORNIA FARM SYSTEM IX-loc MORE SAME OUT IX-loc IN fs-TOO HOT
The outside is still hot and dry but it's still easier to grow crops in the L.A. area.,OUT STILL SUNNY IX-loc fs-VERY DRY EASIER TO GROW fs-CROPS IN ns-#LA AREA
"So, let's see, what else is on the list...I have to admit that Mexican food in LA is better.",#SO 5xx REALLY 5xx REALLY LIST IX-loc REALLY ADMIT ns-MEXICO/SPAIN FOOD BETTER IN ns-#LA 5xx
"Of course, it's because L.A. is near the Mexican border. ",OF-COURSE loc RIGHT-HERE ns-MEXICO/SPAIN fs-BORDER BORDER NEXT-TO HERE
"There isn't any Mexican food in the Boston area.  It's not bad, but I don't really care for Mexican food anyway. If you like Mexican food though you should take advantage of it in L.A. where it's delicious.",IX-1p ns-BOSTON (O)NONE ns-MEXICO/SPAIN FOOD IX-3p-arc NOT BAD BUT IX-1p REALLY SELF-1p NOT-CARE ABOUT ns-MEXICO/SPAIN FOOD DELICIOUS ADVANTAGE
"There are very strict policies on fruit, and vegetables in California.",REALLY IX-loc ns-#LA IX-loc POSS-3p FOOD HAVE fs-VERY STRICT ABOUT FRUIT VEGETABLE POLICY
The same policy goes for sheep. On Interstate 5 at one of the stops....,POLICY SAME HAVE ONE SHEEP fs-I FIVE IX-loc HAVE ONE STOP
They will stop and make sure no one brings in any fruits or vegetables from Mexico.,STOP MAKE REALLY (O)NONE ONE BRING FRUIT AND VEGETABLE FROM ns-MEXICO/SPAIN
...or anywhere else. The state is very strict about chemicals. They want to make sure everything runs smoothly.,#OR ANY+WHERE OTHER LCL:5xx BECAUSE IX-3p fs-VERY STRICT WITH CHEMICAL MAKE REALLY ETC. FALL-INTO-PLACE
I have never heard of that kind of situation here in Boston.,SAME IX-1p LOOK HERE IX-1p NEVER HEAR SOMETHING/ONE SAME THAT
"Well, that is what I learned in L.A.",part REALLY part IX-1p LEARN THAT IN ns-#LA IX-loc
"Other than food, I can compare the two environments.",FINE OTHER THAN FOOD IX-1p CAN COMPARE POSS-3p ENVIRONMENT
"Of course, Boston has four different seasons.",REALLY OF-COURSE fs-BOSTON IX-loc HAVE FOUR DIFFERENT fs-SEASONS
"While in LA, they only have one or two seasons.  ",DURING/WHILE ns-#LA MAYBE HAVE ONE #OR TWO FINISH-shake 5xx
"In LA, the weather tends to be ""flat""--75 or 80 degrees, sunny and dry, every day.",FINE IX-loc ns-#LA EVERY+fs-DAY UP-TO-NOW TEND 5xx 75 80 DEGREE EVERY+fs-DAY FLAT 5xx SUNNY fs-DRY 5xx SIMPLE
"But here in Boston, the weather is really unpredictable.  It could be rainy, hot, cold or cool.",DURING/WHILE HERE REALLY fs-UN+PREDICT WEATHER CAN fs-BE RAIN CAN fs-BE 5xx HOT COLD COOL
"There are many various things (in Boston weather), but one thing I notice about LA...",COOL REALLY MANY VARIOUS ONE THING IX-1p NOTICE SAME
"...and here in Boston is that the fall, in September, seems about the same.",IX-loc FALL fs-SEASON SAME IN fs-SEPT HERE ns-BOSTON
"I would notice once when the leaves change color, and some start to fall off and grass is really green.  ",IX-1p falsestart NOTICE LEAF CHANGE COLOR SOME START fs-TO FALL REALLY GREEN GRASS GREEN PERFECT
"It is perfect, but during the fall in LA, it still looks like summer.  It is still very hot.",PERFECT BUT IN ns-#LA IX-loc FALL STILL LOOK+SAME SUMMER REALLY part STILL HOT STILL fs-VERY HOT part
"The grass is a little bit brownish because of too much sun, and there is not enough rain to feed the flowers and plants.",GRASS IX-loc LITTLE-BIT BROWN part OF-COURSE fs-TOO MUCH fs-SUN DCL:5-Cxx (O)NONE ENOUGH RAIN TO FEED FLOWER PLANT
"In December in Boston, of course it snows, gets colder and the leaves fall off the trees, leaving them ""naked."" ",IN OF-COURSE fs-DEC HERE (L)FUTURE START SNOW BECOME MORE COLD LEAF FALL TREE EMPTY xx NAKED TREE
"In LA, it gets a little bit cooler,  but at same time it is still hot.",TREE 5xx IX-loc ns-#LA COLD REALLY LITTLE-BIT LOW/LOWER COOLER BUT STILL HOT xx
"To most Bostonians who are in LA it still feels hot, 70 to 75 degrees.",fs-TO MOST fs-OF IX-3p-arc IN ns-BOSTON ns-BOSTON+PERSON IX-3p-arc STILL HOT IN ns-#LA 5xx STILL 70 75 EVERY+fs-DAY
"The sun still shines warmly, but during night time, it gets a little cooler.",SUN STILL BUT NIGHT 5xx LITTLE-BIT MORE COOLER 5xx part IX-loc THAT
"I have to admit that during spring time in Boston, it rains a lot.",POSS-3p SPRING IX-1p ADMIT ONE NEGATIVE ABOUT IX-loc fs-BOSTON SPRING REALLY MUCH RAIN
"While in LA, its better and perfect because of no rain.",DURING/WHILE ns-#LA BETTER PERFECT (O)NONE RAIN
"Well, it rains once a while.  The funny thing about when it rains in LA...",REALLY ONCE-IN-A-WHILE BUT FUNNY THING ABOUT ns-#LA WHEN RAIN IN ns-#LA
"People go too far:  they use umbrellas, wear rain coats, and put boots and pants on.",REALLY IX-loc OVER/AFTER EXTEND IX-3p (L)FUTURE USE COAT RAIN COAT USE UMBRELLA BOOT PANT
Even if it is just barely raining--like a few drops.  I remember one day... ,PANT REALLY SUPPOSE LITTLE-BIT DROP IX-1p REMEMBER ONE fs-DAY
"I would go to class on my rollerblades, in shorts and a tank top, you know, like a basketball jersey. ",IX-1p GO CLASS ON POSS-1p ROLLERBLADE IX-1p SHORT TANK-TOP KNOW BASKETBALL TANK-TOP SAME
There was a bit of rain as I rollerbladed. ,IX-1p 5xx IN RAIN LITTLE-BIT RAIN IX-1p ROLLERBLADE
"I noticed many people were looking at me like I was a complete idiot.  Really, I didn't know what the big deal was.",ROLLERBLADE IX-1p LOOK MANY PEOPLE DCL:4xx fs-AT IX-1p SAME IX-1p REALLY FULL IDIOT BUT REALLY IX-1p 5xx
"I thought the weather was nice, a little rainy but it was nothing.  People were wearing long sleeves!",IX-1p THINK WEATHER NICE LITTLE-BIT RAIN REALLY (F)NONE IX-3p WEAR LONG-SLEEVE
"Oh well.  Wow--one negative thing about LA is that in LA, they didn't have any sewer systems.",IX-1p 5xx THAT ONE (5)WOW NEGATIVE BUT ns-#LA IX-loc (O)NONE/NOTHING fs-SEWER SYSTEM
"There would be flooding.  If a whole year's worth of Boston's rain were given to LA,...",#ALL WATER (L)FUTURE FLOOD POSSIBLE SUPPOSE TRUE-BUSINESS IX-1p-arc RAIN TOTAL HERE YEAR-LONG BRING GIFT TO ns-#LA
... LA would flood for sure.,ns-#LA FINISH REALLY FLOOD FOR REALLY
Why? Because they have a better sewer system in Boston to drain water.,(25)WHY IX-3p-arc HAVE BETTER fs-SEWER SYSTEM WATER CAN THROUGH DCL:crvd-sprd-Bxx
Here (in Boston) it could rain every day and people would still live through it without a problem. ,IX-3p-arc CAN RAIN EVERY+fs-DAY AND STILL LIVE THROUGH fs-IT FINE
"But of course, it doesn't rain everyday in Boston.  We have wonderful weather here.",BUT 5xx OF-COURSE NOT RAIN EVERY+fs-DAY IN ns-BOSTON 5xx STILL HAVE WONDERFUL WEATHER HERE IN fs-BOSTON
"Another thing: in the summer, it's very humid here.",NEXT SAME 5xx START SUMMER 5xx (open-B)TEND fs-VERY fs-HUMID HERE
"The sun is more intense here, while in LA it's dry, but it's 100 to 110 degrees.",HERE MORE fs-SUN MORE STRONG DCL:crvd-5xx DURING/WHILE ns-#LA DRY BUT SARCASM 100 110 DEGREE
"In Northridge, it tends to be ten to fifteen degrees hotter than LA.",DEGREE BECAUSE WHERE IX-1p FROM fs-NORTHRIDGE TEND TEN FIFTEEN DEGREE MORE THAN
"If you see on weather channel, you will notice that if its 85 degrees in LA, that means 100 degrees in Northridge.",SAME IX-2p SUPPOSE IX-2p SEE ON WEATHER CHANNEL IX-3p ns-#LA 85 DEGREE MEAN IN ns-NORTHRIDGE REALLY (5)WOW
"Really, it's a big difference from here.",REALLY 5xx BIG DIFFERENT FROM HERE
