input sentence,translation
through a forest road lurches a husky person.,SCL NO GRAD WRITE_2 OCEAN SIX+HALF MISS/ASSUME NEW-YORK_2 EXACT CHALLENGE TALK PLAY GEORGE-CLOONEY LIST-ORDER_3 SEVENTY-FIVE END WAKE-UP TABOO FOURTH GREEN ETC. EMAIL GUITAR CHECK AWFUL BEAT LOW/LOWER EXPRESS CLOSE WRITE TRUCK h BACK CLOSE-CALL DO-IT LOVE SICK UGLY MOTIVATE YES SUPREME TIGER FORGET-IT STATION ACT+AGENT ARGUE WAVES 3 CLOSE-BOOK PHILADELPHIA LIBRARY CONCEPT READY NEB HEADBAND WONDER ENVIRONMENT FILM FUN REFER HUMOR SENSE ANSWER HOME+WORK LANDSCAPING ADVENTURE OVER/AFTER PASS-OUT_3 BBQ TRANSFER
"third, the fruits and vegetables in california taste fresher, since they grow in california.",WRITE SUPERIOR SYNTAX SS TEMPO OCEAN LEARN LAST-YEAR NEVER SOMETHING/ONE UNDERSTAND ALONE MILK EXHAUST PROJECT DOOR AREA OBVIOUS PETRONESTRATIY FAN TABOO SEASON RE+OPEN BOMB LINE GOD ASK_2 STATE HEAD-TRIP SHOCK WHAT+ACTION PLAID EVER CHALLENGE ALL-NIGHT_3 FAST_2 LEAF THOUSAND WHY CRIB NONE JAIL t HABIT_3 COFFEE COMPARE SPEED CONFIDENT SO-SO FAN THINK+MARRY VALUE NO TANK-TOP RIVER MEANING-LIST AGE-SIX+HALF GYM DISEASE INSPIRE ADVISE WORSE RESOURCES SON SPECIALTY+AGENT SAFE ETC. PACK PUT-AWAY SEND/MAIL
i pulled people back onto the raft.,CLEAN PLAID SUBLIMINAL-INFLUENCE NINETEEN HIGHWAY COLLEAGUE CLUB EVERY+WHERE IT VISION BEFORE_3 NOTHING HISTORY BY PLAY+AGENT SF SHORTS LIKE CSUN VALUE WANT_2 HAVE-TO HANG-UP-PHONE FLUSH OPPOSITE BRAGG SCRATCH STAFF NOT-YET LOSE-COMPETITION RIDE HEAR/LISTEN EYES EQUAL PRINCIPAL CHASE PLASTIC RIGHT GET-TICKET SORRY MAKE-IT f LINCOLN THICK SUNSET GUARANTEE NOT-KNOW GOBBLE-UP PLEASE/ENJOY JOINT BUILDING MARRY SOUND USE_2
the students don't like chocolate.,BIG_2 MOVING-ON-TO-NEXT-TOPIC ANYWAY/NOT-MATTER LISTEN NINETEEN PULL SEASON CURIOUS DEVIL GHOST NOT-LIKE BLOWN-AWAY VIDEO-PHONE BLUE GAMBLE SHOWER COMPUTER SERVICE PICTURE DOWN KICK-OUT BALD_2 WHY GOOD THIRD CAUSE LATER PREFER CHARLES OVER/AFTER GET-IN-BED GUARANTEE HILLS RANGE/SPAN CALIFORNIA HALF BPCL TEA SACK HIGHWAY ADVISE/INFLUENCE VACATION WHAT+ACTION MOVIE SALE NEGATIVE THREE SOCIALIZE SITUATION CLASS_2 ABOUT WHAT DVD MONEY_2 SUNRISE THEREFORE KISS-FIST NOT-YET BUTTER_2 HEARING NEW-YORK DISEASE MESSED-UP PULL EVERY+THING LONG+MOST OUTSIDE DISCONNECT L ROOMMATE
the house still stood strong.  the pigs started celebrating even more.,MAD ROCK FRONT SERVICE SPECIAL/EXCEPT+fs-LY ORIENTED USE_2 NO-GOOD TALK-OVER USE_2 STICK-ON-SURFACE THIS STRUGGLE ONE TOUGH LINGUISTICS CREAM+fs-CHEESE MOTHER+FATHER PONDER HEAR+NOISE MEDICINE BOAT ROCHESTER LAST-YEAR BAGEL CHASE STICKY VT CLEAR COLOR IX PITY STRANGE MITT-ROMNEY PANT SPINACH SICK/SILLY OFFENSE SMILE ROOF FINE SPECIALIZATION CROPS WHY+NOT END OCEAN SAD PROBLEM GREAT WATER+TUBING PISS-OFF SHOE MORE LOMDI LINK STAR+BOMB KICK-OFF SITES MISS INCLUDE/ALL-INCLUDED STAY POTS GOLD/CALIFORNIA SARCASM fs- OCCASIONALLY IDENTIFY BERRY WRITE_2 HAPPY
it's that student's mother that is buying a car.,FOR-FOR PICTURE FAULT MEAT INTELLIGIBLE BEN FUMBLE HALF FAMILY WIFE MENTOR NINETY-SIX HALF FOLLOW ON-TIME FRIEND FEW/CLOSE WORSE FIND TALK WAY SWIRLING THUMBS-UP/GOOD EXPLAIN ON-TIME LAPTOP WIFE MAKE+REALLY SPECIALTY DURING/WHILE NEW STRATEGY BED GALLAUDET ORGANIZATION SEVENTY-FIVE EMAIL EAT MR DEVELOP PHILADELPHIA ALRIGHT SPIN TRUE-BUSINESS CHRISTMAS PURPLE AWKWARD GIFT FUCK STRAIGHT SOCIALIZE SHARPOVA STYROFOAM WEEKEND 0 BILL/OWE EAT POP-UP HIGHWAY LOUSY OPEN SOCIALIZE EAT+MORNING AUNT GET-UP ONE-DOLLAR PACE/PROGRESS FEW FRATERNITY YES
"the man who is painting my house, my sister knew him from a long time ago.",CNN SUGGEST POWERFUL SELES CHEMICAL WAY CD HOPE BAKING-SPRINKLES WET COOLER ABOVE ALL-NIGHT_3 . TREAT SUNSHINE CONFLICT/INTERSECTION UNDER FAIL APPLAUSE DOWN FALL PRO JANE APT THROUGH COOK/KITCHEN JUMP RESOURCES COOL WHAT+ACTION PITCH PEOPLE MIDDLE VARY TD CREEPY SPREAD LEAVE-THERE CONCEPT TUBING APPOINTMENT STRUGGLE ALL_2 LATER_2 MENTOR JUMP VIDEO-PHONE ANGRY WIN JOIN GAME PUMP EACH STAY-AWAKE LOSE SELL LIST-ORDER_2 PAY-ATTENTION GOD TO/UNTIL VARIOUS HOUR BLANK-OUT BEFORE_3 PACE/PROGRESS CHEAP GUESS BLACK HURT
it must be ripped fast to reduce the noise.,THING OLDER SMOKE AIR CROWDED LIT RODNEY COOLER NEAT EVERY-MORNING STATUS A-LEVEL-BELOW BRACELET TELL SUSPECT BIGGER GREAT STAR+BOMB AMONG_2 PLANT ANY+MORE OPTION MUFFLE VOICE_2 HOMEWORK SUNRISE TEASE x SPEECH/LECTURE NOT-KNOW ACCOMMODATE BLUE+fs-BERRY HAMBURGER OTHER PETE CAUSE IMPOSSIBLE SAFE CONFIDENT AFRAID GENDER FIND/FIND-OUT FLAT/FLOOR FISH TURN ONCE-IN-A-WHILE BOSTON SPAGHETTI_2 NOISE+RUMBLE LEARN+AGENT PLAYS FIND/FIND-OUT+#OUT SET-ASIDE FILM BLAME GREAT OHIO SB SUNDAY_2 HANDSOME/HAWAII_2 MAINE ONE_2 LOOK-AT BEAT OVER/AFTER LOSE RAFT JAMAICA EXAM PICTURE
"a man walking saw money on the ground, and seeing no one was around, he pocketed it.",RESPONSIBILITY SUN LIKE MELON/PUMPKIN GET-TICKET SILK MARRY CHEMICAL SHEEP SMELL NOW+AFTERNOON BCL LONG-SLEEVE VIDEOTAPE_2 URINE CARE SPRAIN D SOUND BOX J PUT-AWAY BRAKE GO BOSS FOOTBALL AVERAGE/RANGE HABIT_3 CHANNEL TIRED HOUR YEAR SELES BORN REPUBLICAN SEVEN_2 NICE/CLEAN FIRST-SECOND-THIRD-IN-LIST UN+FORTUNATELY OFFICE SOON FINISH WOOD JAIL FALL-INTO-PLACE CREAM ALL-YEARS-HS PEN PATIENT THINK+LONG-LIST INJECT LOOK-UP SCRIMMAGE ANALYZE_3 AVERAGE/RANGE NEAR FOOTBALL ACT+AGENT L FLAT-TIRE_3 PROCTOR THIRD SIMPLE SCISSOR IOWA MOVIE_2 FLOWER NEW-YORK_2 STRING INSPIRE
"""really, is that man in here?"" he asks himself",MILLION DEC TESTIMONIES FRIDAY AMERICAN-AIRLINES TRACE-PATH AUDIENCE NO GOLD/CALIFORNIA BEST BOOK_2 TOTAL_2 CAUCUS STRAIGHT INDIA ON-TIME INTERACT/COMMUNICATE AGE-THIRTEEN MANY SPECIALIZATION QUOTE/TOPIC TIE_2+FISHING MR INVITE KING AFTER THICK SPEECH MPH CONFIDENT SHH MAGAZINE TREE NOW+AFTERNOON_2 JANE GRANDMOTHER ONE+HUNDRED FAST SHUT BROWN BEST ABOVE LIBRARY TRAFFIC_2 THICK BOOK_2 COFFIN NEXT-WEEK LOSE-COMPETITION SICK/SILLY BLOWN-AWAY HANGUPS PAY/SPEND ACCIDENT SEARCH-FOR GOLD FOOT NEXT-TO_2 FLAT/FLOOR LOSE-COMPETITION+PCL VACATION LIST-ORDER-RING INVOLVEMENT HEIGHT FEDERATION PUNCH BRING CONCEPT BELIEVE WEATHER
"did mother buy a car for john? no, she did not.",SHORT STATION RUIN POSTPONE SHAKE RICK-PERRY PUBLIC RETIRE CIGARETTE ALL-DAY SPIT NINETY-SIX NOW+NIGHT PREVENT TOMORROW OBVIOUS PICK/CHOOSE SAME RUN ENJOY SPINACH SHAMPOO SMALL CREAM+fs-CHEESE ENGINE THINK PET-PEEVE TRACK-RING SUE BAWL-OUT POLITICS BALD IMPLICATION ORGANIZATION CAMP BEST-FRIEND EASIER POPCORN WHY FLUSH SMOKE SPRING CHEESE SUPREME ZOOM HAPPY CRASH CAPE-COD CROWDED ROLLERBLADE PARPF HATE ALLERGY PAY/SPEND SPA DEAF STAY-AWAKE-ALL-NIGHT BUT DEAF CORNER NOT-KNOW CLOSE POUND SECOND FANS FALL KITCHEN SYSTEM HEAVY GAMUT
the cows played on the farmland.,2 TAG ADVISE/INFLUENCE HANDLE WOLF DEC HOTEL ANY+ONE ONE-HOUR POPCORN FUNNY BORE LUCKY CONDUCT DEVELOP BETWEEN CARD MAKE-IT ^ TOUCHDOWN VERY-FAST BORDER TOUGH THINK+HOPE CD REMEMBER TEACH+AGENT PAPER WET MCDONALD COMPARE RELATIONSHIP CORRECT A-LEVEL-ABOVE ACCEPT PASS-DOWN WEAR ITS EXHAUST WOOD BUY SAME-LIST STICK-ON-SURFACE SPECIAL/EXCEPT BEST NORTH FF NONE/NOTHING LAZY REMEMBER MOOD YEAR-LONG CANNOT OFFICERS WAIVE HILLS RIBS SHOWER NOISE+RUMBLE KISS-FIST GET-TICKET S ALRIGHT HORRIFIED PREGNANT PLAY 5 MANY MANILA PERCENT
"the areas where there is an expectation of quiet are like a library, church, movie theater.",ORGANIZATION SEVEN_2 SERVICE PROCEED_2 MAKER SPAGHETTI_2 FAR GAMUT KICK-OUT EACH MILK XRAY GRUNTS PARADE EMPTY TYPE COME OFFENSE PASS-OUT_3 SICK SILLY PERFECT SENTENCE MOVING-ON-TO-NEXT-TOPIC SARCASM BIGGER RUNNING-BACK GRADUAL-IMPROVE HEGEMONY BOOT IDIOT HOUR JOHN-STEWART NOW+NIGHT TIME-TWO NOISE OPPRESS REFER FLOOD OVER-NIGHT FLIP-FLOP THIS TAKE-OFF CASINO EVERY-MORNING FILL-OUT DO-DO AGAIN OLD+NINE TWENTY NOT+MUST END SUBLIMINAL-INFLUENCE WORK-OUT FINE IOWA SHINE_2 ROLL-ON-FLOOR-LAUGHING ICE-CREAM CREAM REALIZE TWO OMAHA POWER HOUR COFFIN COCHLEAR-IMPLANT TROUNCE SON CLEVER
it reflects that the concept that a person's identity can be found in the tempo of their speech.,DISCIPLINE IMPLY TUBING ENNIS CONTINUE WHEW/RELIEVED BLANK-OUT VINCE SEEM FART INFORM-ALL ROPE READY PROJECT NEXT-GROUP KEEP CORRECT GLASSES_2 MONEY FLY-BY-PLANE LOUSY LOX LOOK ENOUGH ANY+MORE MESSED-UP CUT BE LONG MORE JOIN THROUGH SO-SO ENVIRONMENT NOW+AFTERNOON_2 PAST EAT+NOON ALLERGY RAIDERS 1 LOUSY EXACT PROPORTION VOICE_2 TOO PARALLEL SEWER ARTICLE ROLL-ON-FLOOR-LAUGHING LOOP UMBRELLA COACH TENN MARATHON BEFORE_3 CHRISTMAS EARLY TYPE NEXT/UPCOMING CURIOUS RAKE STUDENT OVER-NIGHT CLOSE-BOOK CHOICE LAST-YEAR PRODUCT ONE-WEEK_2 VIBRATE k
it's like ventriloquism when they transfer their voice to the puppet.,DISH BACK-TO-TOPIC SF DANCE MORNING LOCKER+BOX/ROOM CRASH_2 PAST+ALL-NIGHT BLOW VINCE SARAH-JESSICA-PARKER LOOP BLOWN-AWAY SMILE SUN WAVES STICK GOBBLE-UP COLLAR BEHIND SWITCH THIRD - SCRAPE SHARP LIST-ORDER-IX SIREN YEAR-LONG DANGER EAT-UP ENVIRONMENT QB TAN EXPERIMENT ALL-NIGHT PINEAPPLE MONEY HABIT_3 FLAT ALL-DAY COMPUTER HANG-UP-PHONE CAPE-COD MAN CAROL SYSTEM FOURTH LOG AGE-THIRTEEN GEORGE-CLOONEY MANY OIL QUIT NINETEEN GUARANTEE HAPPY LIBRARY BROOKLINE UP LOOK-DOWN LANGUAGE IRELAND DRUG INFORM+SUBLIMINAL-INFLUENCE EXCESS GOOD CHAPTER OHIO KNOW+NEG SILBER
"when my friend starts to surf the internet, i have to tell him to do homework.",PUBLIC HALL SPELL CAUSE EXCITE FINISH CARE MAGAZINE CAR+AGENT ANGRY PULL INVOLVEMENT CRASH DISORDERED SEATTLE PLAYER BOOK_2 DEGREE EVEN SUSHI PROVE TOTAL FILM BEST CARD TAKE-OVER BOX/ROOM AUTUMN LOVE INDIA ADMIT FAST_2 STAY-AWAKE FF THIRTY_2 PAINT_2 OFFENSE HEART NOISE+RUMBLE OAKLAND HABIT_2 TD FOLLOW EXTRA LIST SWASHBUCKLING BANKS SEMESTER PLAY+AGENT COAT DISCIPLINE LOMDI LIGHT-FLASH GIRL+CORRECT LIST-ORDER-MIDDLE EASY+MOST MANIPULATE FREQUENTLY RIGHT-HERE FLAT OIL SALLY TOILET SAME-OLD DEC FANS CLEAN CHARLES SCHEDULE MEETING
my heart was pounding.,FIFTEEN POUND COUGH STICKY STAR+BOMB FOURTH PAGER BLUE MPH AVERAGE/RANGE GEORGE-CLOONEY FAIL EMPTY/EARLY BY SUGGEST RA SCREEN/FILTER COLOR WHIP TENN TIME-FOUR GOLD SOME
it's like ventriloquism when they transfer their voice to the puppet.,FINGERS-CROSSED DRIVE INVITE/HIRE VISIT MOW REMIND TO/UNTIL NEXT-WEEK SELF EVERY+fs-DAY ALARM KIND LANDSCAPE NEAR EXHAUST GROUP FRANK AGAIN FOCUS SOMETIMES VIBRATE EXPERT HUM HONEST FEET AGENT 1 ANALYZE_3 PASS-OUT_3 THINK CARE DOLLAR RAFT BOXING SHOULD DISCIPLINE CARE PASS LIP CHECK+fs-LIST EAT-UP BALD_2 OLD+NINE SPIT UP-TO-NOW CRASH_2 BEAT_2 FOLLOW ELEMENTARY SPORTS INVOLVEMENT MOVE-AROUND FRATERNITY DEAD DOG_2 EMOTION AGREE FATHER FIRST SLOW ARRIVE LOW/LOWER WANT_2 LONG-LIST_2 SHINE_2 TRUNK GEORGE-BUSH POTTER TO/UNTIL HEAR/LISTEN
dad likes chocolate cereal.,WHATS-UP LIBRARY FASCINATED RUN STAR WEATHER FANS IX B HAD-IT KNOW-THAT BURST SEMESTER WASTE GET DIMWITTED EAT+MORNING IPOD A-OK WANT GOAL SB WOW/AWFUL TWENTY FISH ASSISTANT NICE/CLEAN POLICY DIALOG HANDLE URINE PITY BOOK HOW-MANY KID SOME+ONE POSTPONE P TERMINAL SOUND PRACTICE NIGHT WAITRESS SIBERIAN KICK-OFF SOCIALIZE CL BATHROOM A-LEVEL-BELOW THAT SWIRLING SPEECH/ORAL EXHAUST EVERY+THING REPAIR_2 GROUP COFFIN PAST ASL READY NAUSEA DEEP FUMBLE STUDENT CLOSE-DOOR LOUSY R LA MAYBE EX
"the sun sets, and just at dawn again the banging and the shaking begin",JUNIOR_3 LAUGH-HARD DOOR SERIOUS BUY HOTEL WAY CUTTER NARROW-STREET SHUCKS ALARM NEGATIVE PLEASE/ENJOY NONE/NOTHING+ONE WITTY TERMINAL YEAR FLIP-FLOP_2 CONTACT VOTE METAL OAKLAND RIDE NOW+MORNING ROW/PADDLE CROPS PAST THROW ENGINE NUT+BUTTER TIE TREE DECLINE_2 SUBTRACT AMONG DORM MOOD EXPERT GRAD THINK+HOPE BAGEL AGE-SIX+HALF TRACK-IX AGAINST BOY THINK+APPEAR NEVER HEART HEAD-TRIP SEPARATE AMERICAN-AIRLINES BEAT_2 STRANGER WOW/AWFUL ONLY HERE ALL-NIGHT_3 JULY TWO_2+ZERO+THIRTEEN FIFTH-IN-LIST STAFF WARN RELATIONSHIP SHUCKS MISS HAVE LANDSCAPING ERICK TOGETHER MOVIE
my friends crashed the party.,PREFER LONG+MOST PROJECT SPECIAL/EXCEPT+fs-LY PUT-AWAY REPORT WEEKEND FISH RIVER ADULT-TALL TRUST PAGEANT DRINK DEVIL AGE EMPTY KICK-OUT BROCCOLI SITES CPR GOOD/THANK-YOU SOMETIMES MEANING-LIST EMPTY ARGUE 1 SWITCH CORRECT BORDER MIDDLE BUTTER SUNDAY_2 SON RIBS HEAR+RUMBLE SPEED BROTHER AMONG STOPLIGHT CLOSE-CALL GAME TYRANNY ARREST CHAIR HEAR JASON IMPORTANT INDIVIDUAL OFF-POINT PET-PEEVE PERSON CLOSE-DOOR DEAD EVERY+WHERE CUT GROUND SUMMON HAPPEN SHAMPOO LIGHT THREE-HOUR POLITE HEAR+RUMBLE OPTION OWN TOUCHDOWN PRETTY INTERESTING TEXTING MONEY_2
"if you order pizza here, i guarantee it will be delicious.",FREAK KNEE BCL FLOOD OVER-NIGHT NOW+MORNING FENCE COMPUTER_2 SAME-LIST SOUND WALK SPRAIN MORMON_2 SWASHBUCKLING BOOT STATION TEND STATE ADVANTAGE POUND IDENTIFIED FRUGAL SHOULD FOR LONG-TERM SEASON LONG-PAST MINUTES BUILDING TIGER GATE FUNNY WAIT MEDICINE SEW SARAH-PALIN FOURTH CROWDED EASY+MOST BOX/ROOM STADIUM DEEP MILES CD FASCINATED PREVENT BROTHER ROCK HILLS GO-AHEAD OVER/AFTER+SCHOOL FIELD LIGHTNING STRATEGY FUTURE BERRY CRACK HEAR+NOISE PERFECT TAG YEAR-LONG PACE FLAT/FLOOR POSTER BUTTER_2 BOOK POTS IN ADVISE/INFLUENCE+AGENT ATTENTION-WAVE
"wow, it's raining now, whatever, i'm going out still.",ZOOM MANIPULATE COMPUTER_2 DCL ENGLISH BUSTED ALONE TALK-OVER CAROL TOY PUMP PRACTICE SPECIAL/EXCEPT CANCEL/CRITICIZE HAIR_2+DYE THUMBS-UP/GOOD SEASONS ADULT-TALL SITUATION RSD INVITE WARN IBLE FIND/FIND-OUT SMALL RAIDERS ALL-DAY ARRIVE RESTAURANT LOCKER+BOX/ROOM MALE-COUSIN AGAIN CHOICE BEER CALL ADMIT TANK-TOP CLUE AWKWARD CLEVER DISTRIBUTE BRICK MENTION RIVER CABIN CRASHED HOW-MANY MANAGE/CONTROL+AGENT ENGINE OPEN-BOOK EXPERIENCE HOLD GOOD+ENOUGH EACH+ONE LIST-ORDER-THUMB LOCKERS DATE/DESSERT BUOY_2 CUT WANT PUMP BRACELET THREE BARBARIC INJECT SUPPORT HOPE STICKY LUCK OFFENSE
