translation,gloss
My grandfather was a big boxing fan.,IX-1p POSS-1p GRANDFATHER SELF-3p:j BIG BOXING fs-FAN KNOW fs-BOXING BOXING IX-3p:j
He asked me to sit down and watch boxing.  I didn't really get it.,"REALLY POSS-1p SCL:crvd V""sit down next to grandfather"" 5""come here"" LOOK++:m BOXING IX-1p 5""hesitation"""
I don't remember it well because I was too young but....,FINE+ IX-1p SMALL YOUNG NOT REMEMBER #BUT
My father told me that I used to love boxing when I was growing up.,"POSS-1p FATHER EXPLAIN SAY 5""wow"" IX-2p REALLY IX-2p KISS-FIST BOXING"
"I said ""oh, I see,"" then I began watching the boxing on TV.",IX-1p LOOK:n OH-I-SEE IX-1p LOOK:m WATCH-TV BOXING
"As I watched, I thought to myself, ""I wouldn't mind doing boxing in the future"".",IX-1p LOOK:m NOT-MIND SELF-1p FUTURE BOXING
"I would work out and have great abdominal muscles on my stomach.  Wow--it would require a lot of time, though,","IX-1p WORK-OUT++ DCL:5-C""muscles on stomach"" REALLY (5)WOW BUT (Y)WOW MUCH TIME REQUIRE"
...so I dropped it.  One thing that impacted me when I was watching TV...,"#SO IX-1p 5""let it go"" IX-1p WATCH-TV 5""so, all set"" IMPACT REALLY 5""looking for words"""
"Last year, I watched a story about Muhammad Ali on CNN.",LAST-YEAR IX-1p WATCH-TV ONE (crvd-sprd-B)STORY ON fs-MUHAMMAD fs-ALI ON CHANNEL fs-CNN
It was a show about his life story. I was completely fascinated by it.,POSS-3p:k LIVE TIME (crvd-sprd-B)STORY IX-1p WATCH-TV FASCINATED REALLY FALL-INTO-IT REALLY (2h)(5)WOW
"After I watched that story, Muhammad Ali became my favorite boxer.",OVER/AFTER THAT (crvd-sprd-B)STORY IX-3p:k fs-MUHAMMAD fs-ALI POSS-1p FAVORITE/PREFER BOXER FINISH
His wife invited a reporter over their house.,REALLY IX-3p:k POSS-3p:k WIFE INVITE REPORTER (1h)GO POSS-3p:k HOUSE
"While they had dinner, the sports reporter collected more information about Muhammad Ail.","HAVE EAT+NIGHT 5""things proceedings normally"" REALLY SPORT SELF-3p:l SPORT REPORTER COLLECT MORE INFORM ABOUT fs-MUHAMMAD fs-ALI"
"His wife cooked and got things ready for dinner.  Then, they all sat down and talked.","IX-3p:k WIFE COOK DCL:crvd L""setting dishes on table""++ READY SCL:crvd V""sitting around"" CHAT++"
The reporter asked Muhammad Ali a simple question.,"REPORTER (1h)5""things proceeding normally"" ASK:k fs-MUHAMMAD fs-ALI 5""looking for words"" SIMPLE QUESTION 5""things proceeding normally"""
"Ali started to...  well, you know he has Parkinson's disease...","fs-ALI START fs-TO 5""that's the way it is"" IX-3p:k KNOW SELF-3p:k (1h)HAVE fs-PARKINSONS SICK+ SELF-3p:k SICK"
He tends to shake sometimes and he had a hard time trying to focus on things. ,SICK TEND SHAKE SOMETIMES NOT PAY-ATTENTION (1h)HAVE HARD TIME FOCUS
He started to really shake and the reporter got scared.  He wasn't sure how to approach that kind of situation.,"#SO START fs-TO BPCL:V""stand up""-inceptive REALLY SHAKE REPORTER 5""you know"" LITTLE-BIT SCARE NOT KNOW HOW TO APPROACH THAT SITUATION"
The reporter asked Ali's wife if he was alright.,"(2h)5""I don't know"" TELL:l WIFE IX-loc:k ALRIGHT"
"His wife said ""well, sort of... sometimes he has bad dreams.""","WIFE SAY 5""so-so"" SOMETIMES IX-3p:k (1h)HAVE BAD DREAM"
"Sometimes he  imagines he is still boxing in the ring,",SAME IMAGINE SELF-3p+:k STILL BOXING REALLY STILL THINK IN fs-RING
...still taking punches.  Sometimes he will stand up and start swinging his fists.,"STILL BCL""punched in the face"" REALLY SOMETIMES IX-3p:k STAND-UP START BCL""punching""++"
"The reporter said, ""Really, Muhammad Ali would stand up and punching at people?""",REPORTER REALLY TRUE-BUSINESS REALLY fs-MUHAMMAD fs-ALI STAND-UP PUNCH+ ON PEOPLE
"The wife said ""Yes, I have seen him beating up one man for no reason""",REALLY WIFE YES IX-1p SEE:k IX-3p:k ABUSE ONE MAN PAST REALLY (O)NONE REASON
"The reporter said, ""really?"" as he looked at Muhammad Ali.",REPORTER SAY LOOK:k TRUE-BUSINESS LOOK:k ON fs-MUHAMMAD fs-ALI
"Ali was sitting, shaking; then he got up slowly and started punching the air.","fs-ALI SIT BCL""shake"" STAND-UP SHAKE BCL""punching at air""++"
"Ali walked toward the reporter, grabbed him by the collar, pulled him close, and shook his fist in the reporter's face. ","SCL:1""Ali approaching"" REPORTER BCL:S""shaking fist"""
"The reporter was really scared.  Muhammad Ali put him back in his seat, and said, ""I am just teasing, don't worry!""","REPORTER REALLY SCARE BCL""scared reporter"" fs-MUHAMMAD fs-ALI IX-1p TEASE++-2p NOT WORRY 5""forget it"""
He laughed and sat down.  I had goose bumps on my arms.,"LAUGH SIT IX-1p DCL:4""hair up on the arm"""
"I was not laughing, yes I know it was funny, but I got goose bumps on my arms.","REALLY IX-1p LAUGH NO++ IX-1p KNOW IX-3p:k FUNNY YES BUT IX-1p REALLY DCL:4 ""hair up on arms"""
...because Muhammad Ali has Parkinson's Disease...,(25)WHY IX-3p:k fs-MUHAMMAD fs-ALI SELF-3p:k (1h)HAVE fs-PKSON DISEASE IX-3p:k
" But he still, uh, he still is able to find humor in many things.","IX-3p:k BUT IX-3p:k STILL IX-3p:k 5""looking for words"" IX-3p:k STILL CAN FIND/FIND-OUT FUNNY IN MANY (2h)THING"
"He scared the reporter, his wife was great...wow.","SAME IX-3p:k SCARE REPORTER COUNT-ON-FINGERS:1 5""you know"" IX-3p:k WIFE WONDERFUL IX-3p:l REALLY (2h)(5)WOW"
"So, after that, I wish I could tell my grandfather that story.","#SO OVER/AFTER THAT IX-1p (1h)5""loooking for words"" IX-1p WISH IX-1p CAN TELL:i POSS-1p GRANDFATHER THAT (crvd-sprd-B)STORY"
"He died way back, when I was around 8 years old.","(25)WHY IX-3p:i DIE 5""I don't know"" BEFORE REALLY 5""I don't know"" WHEN IX-1p SAME AGE-8"
I wish he and I could have watched it together. ,"#SO ""darn"" WISH IX-3p:j CAN LOOK:m TOGETHER 5""that's the way it is"""
I have a good friend of mine named Paul.,FINE ONE MAN ONE FRIEND GOOD FRIEND POSS-1p+ IX-loc:i fs-PAUL
He is a real motorcycle freak.  He has a beautiful motorcycle.,IX-3p:i REALLY MOTORCYCLE fs-FREAK REALLY BEAUTIFUL MOTORCYCLE
"He would do anything for a motorcycle.  I feel sorry for him, he has bad luck with motorcycles.  ",MOTORCYCLE REALLY (L)FUTURE #DO ANY+THING FOR MOTORCYCLE REALLY PITY:i BAD fs-LUCK WITH MOTORCYCLE
"Three of his motorcycles were stolen, two others crashed.  He has had a total of five different motorcycles. ",MOTORCYCLE IX-3p:i THREE MOTORCYCLE STEAL CRASH TWO OTHER MOTORCYCLE REALLY TOTAL MOTORCYCLE DIFFERENT MOTORCYCLE
You know where he is now? In the hospital with broken ribs...,"MOTORCYCLE IX-3p:i REALLY NOW KNOW WHERE IN HOSPITAL WITH BREAK fs-RIBS LCL:G""ribs on body"""
...from a motorcycle accident.,"LCL:1""ribs on body"" FROM MOTORCYCLE ACCIDENT 5""that's the way it is"""
"He would do anything for a motorcycle, like for example, he ran in the Mr. Deaf CSUN Pageant.","5""that's the way it is"" REALLY IX-3p:i #DO ANY+THING FOR MOTORCYCLE SAME FOR EXAMPLE IX-3p:i GO fs-MR DEAF fs-CSUN PAGEANT FOR MAN GROUP/TOGETHER"
He decided to videotape himself riding on one wheel of the motorcycle.,"IX-3p:i DECIDE fs-TO FILM SELF-3p:i MOTORCYCLE ICL:S""biker holding handlebars popping wheelie"" ON ONE WHEEL"
He was riding the motorcycle on one wheel at 80 to 90 mph and hit a rock.,"ICL:S""biker riding on one wheel"" 5""I don't know"" FOR 80 90 fs-MPH TRUE-BUSINESS ICL:S""holding handlebars"" HIT fs-ROCK ICL:S""handlebars pulling right"""
"He fell off the motorcycle, separated his shoulder, sprained both his knee and ankle, and burned the side of his face.","SCL:bent V""person falling off vehicle"" SEPARATE SPRAIN fs-KNEE fs-ANKLE FACE IX-loc:j 5""looking for words"""
"He showed (the whole accident) on tape. He didn't win though, but hey.","5""looking for words"" SHOW ON FILM IX-3p:i NOT WIN NO BUT 5""looking for words"""
"Motorcycling--wow.  Since I care about him, I decided to send him an email.","(2h)(5)WOW REALLY MOTORCYCLE #SO IX-1p DECIDE IX-1p 5""looking for words"" IX-1p FEEL fs-CARE ABOUT IX-3p:i IX-1p DECIDE SEND fs-EMAIL"
"I said to Paul in the email, ""you know, you have been a good friend of mine"".","IX-1p SAY part:indef UP-TO-NOW IX-3p:i 5""looking for words"" IX-3p:i fs-PAUL KNOW IX-3p:i POSS-1p GOOD FRIEND"
"So far, his motorcycles have been stolen, crashed, and so on, you know?","UP-TO-NOW MOTORCYCLE STEAL+ PLUS IX-3p:i CRASH 5""hesitation"""
He had made a videotape of himself riding on one wheel at 80 mph!! He is crazy!!,"IX-3p:i DO FILM SELF-3p:i IX-3p:i ICL:S""biker riding on one wheel"" 80 fs-MPH IX-3p:i CRAZY 5""you know"""
"He sent a reply back to me with one simple sentence: ""What is a car?""","REALLY 5""that's the way it is"" IX-3p:i SEND IX-1p REPLY #BACK WITH ONE SIMPLE SENTENCE fs-WHAT fs-IS fs-A fs-CAR"
"I am going to compare two different cities, Boston and Los Angeles. ",IX-1p COMPARE TWO DIFFERENT CITY/COMMUNITY fs-BOSTON AND ns-#LA IX-3p+:i
I was born and raised in Boston.,"IX-3p:i REALLY IX-1p 5""looking for words"" BORN IN ns-BOSTON"
"I went to LA after finishing high school.  I went to college at CSUN, Calfornia State University at Northridge. I went in '96.",REALLY IX-1p OVER/AFTER #HS IX-1p GO COLLEGE fs-CSUN ns-CALIFORNIA STATE UNIVERSITY ON fs-NORTHRIDGE IX-1p UP-TO-NOW NINETY-SIX
"There are many things to compare.  For example, Boston's food is delicious and better (than LA).",REALLY IX-1p MANY (2h)THING COMPARE IX-3p:i SAME FOR EXAMPLE FOOD REALLY IX-3p:k fs-BOSTON REALLY DELICIOUS BETTER FOOD
"First of all, I think nothing compares with Boston seafood. Second, the meat here is fresh and more flavorful.  California meat...","FOOD REALLY THINK COUNT-ON-FINGERS:1 fs-SEAFOOD REALLY (O)NONE COMPARE FORGET-IT COUNT-ON-FINGERS:2 5""looking for words"" MEAT fs-FRESH (2h)THUMBS-UP/GOOD MORE TASTE ns-CALIFORNIA MEAT (2h)5""I don't know"""
"... is not great.  However, maybe they have better dairy products. I don't know.","(2h)5""I don't know"" NOT GREAT MAYBE IX-3p:j (1h)HAVE BETTER PRODUCT FROM COW BRING+ NOT-KNOW"
"Third, the fruits and vegetables in California taste fresher, since they grow in California.",COUNT-ON-FINGERS:3 PLUS FRUIT VEGETABLE MORE TASTE fs-FRESH IX-loc:j GROW+ IN OUT+ ns-CALIFORNIA
The farm system in California is more outside because it is too hot to have it inside.,DURING/WHILE ns-CALIFORNIA FARM SYSTEM IX-loc:j MORE SAME OUT++ IX-loc:j IN+ fs-TOO HOT
The outside is still hot and dry but it's still easier to grow crops in the L.A. area.,OUT+ STILL SUNNY IX-loc:j fs-VERY DRY EASIER TO GROW fs-CROPS IN ns-#LA AREA:j
"So, let's see, what else is on the list...I have to admit that Mexican food in LA is better.","#SO 5""let's see"" REALLY 5""hesitation"" REALLY LIST IX-loc:j REALLY ADMIT ns-MEXICO/SPAIN FOOD BETTER IN ns-#LA 5""looking for words"""
"Of course, it's because L.A. is near the Mexican border. ",OF-COURSE loc:j RIGHT-HERE ns-MEXICO/SPAIN fs-BORDER BORDER NEXT-TO HERE
"There isn't any Mexican food in the Boston area.  It's not bad, but I don't really care for Mexican food anyway. If you like Mexican food though you should take advantage of it in L.A. where it's delicious.",IX-1p ns-BOSTON (O)NONE ns-MEXICO/SPAIN FOOD IX-3p-arc:k NOT BAD BUT IX-1p REALLY SELF-1p NOT-CARE ABOUT ns-MEXICO/SPAIN FOOD DELICIOUS ADVANTAGE
"There are very strict policies on fruit, and vegetables in California.",REALLY IX-loc:j ns-#LA IX-loc:j POSS-3p:j FOOD (1h)HAVE fs-VERY STRICT ABOUT FRUIT VEGETABLE POLICY
The same policy goes for sheep. On Interstate 5 at one of the stops....,POLICY SAME (1h)HAVE ONE SHEEP+ fs-I FIVE IX-loc:j (1h)HAVE ONE STOP
They will stop and make sure no one brings in any fruits or vegetables from Mexico.,STOP MAKE REALLY (O)NONE ONE BRING FRUIT AND VEGETABLE FROM ns-MEXICO/SPAIN
...or anywhere else. The state is very strict about chemicals. They want to make sure everything runs smoothly.,"#OR ANY+WHERE OTHER LCL:5""area of state"" BECAUSE IX-3p:j fs-VERY STRICT WITH CHEMICAL MAKE REALLY ETC. FALL-INTO-PLACE"
I have never heard of that kind of situation here in Boston.,SAME IX-1p LOOK HERE IX-1p NEVER HEAR SOMETHING/ONE SAME THAT
"Well, that is what I learned in L.A.",part:indef REALLY part:indef IX-1p LEARN THAT IN ns-#LA IX-loc:j
"Other than food, I can compare the two environments.",FINE OTHER THAN FOOD IX-1p CAN COMPARE POSS-3p:i ENVIRONMENT
"Of course, Boston has four different seasons.",REALLY OF-COURSE fs-BOSTON IX-loc:k (1h)HAVE FOUR DIFFERENT fs-SEASONS
"While in LA, they only have one or two seasons.  ","DURING/WHILE ns-#LA MAYBE (1h)HAVE ONE #OR TWO FINISH-shake 5""that's the way it is"""
"In LA, the weather tends to be ""flat""--75 or 80 degrees, sunny and dry, every day.","FINE+ IX-loc:j ns-#LA EVERY+fs-DAY UP-TO-NOW TEND 5""I don't know"" 75++ 80 DEGREE EVERY+fs-DAY FLAT 5""looking for words"" SUNNY fs-DRY 5""you know"" SIMPLE"
"But here in Boston, the weather is really unpredictable.  It could be rainy, hot, cold or cool.","DURING/WHILE HERE REALLY fs-UN+PREDICT WEATHER CAN fs-BE RAIN CAN fs-BE 5""I don't know"" HOT COLD COOL"
"There are many various things (in Boston weather), but one thing I notice about LA...",COOL REALLY MANY VARIOUS ONE THING IX-1p NOTICE SAME
"...and here in Boston is that the fall, in September, seems about the same.",IX-loc:j FALL fs-SEASON SAME IN fs-SEPT HERE ns-BOSTON
"I would notice once when the leaves change color, and some start to fall off and grass is really green.  ",IX-1p false start NOTICE LEAF CHANGE COLOR SOME START fs-TO FALL++ REALLY GREEN GRASS GREEN PERFECT
"It is perfect, but during the fall in LA, it still looks like summer.  It is still very hot.",PERFECT BUT IN ns-#LA IX-loc:j FALL STILL LOOK+SAME SUMMER REALLY part:indef STILL HOT STILL fs-VERY HOT part:indef
"The grass is a little bit brownish because of too much sun, and there is not enough rain to feed the flowers and plants.","GRASS IX-loc:j LITTLE-BIT BROWN part:indef OF-COURSE fs-TOO MUCH fs-SUN DCL:5-C""intense sun"" (O)NONE ENOUGH RAIN TO FEED+ FLOWER PLANT++"
"In December in Boston, of course it snows, gets colder and the leaves fall off the trees, leaving them ""naked."" ","IN OF-COURSE fs-DEC HERE (L)FUTURE START SNOW BECOME MORE COLD LEAF FALL++ TREE (2h)EMPTY ""quote"" NAKED TREE"
"In LA, it gets a little bit cooler,  but at same time it is still hot.","TREE 5""looking for words"" IX-loc:j ns-#LA COLD REALLY LITTLE-BIT LOW/LOWER COOLER BUT STILL HOT ""quote"""
"To most Bostonians who are in LA it still feels hot, 70 to 75 degrees.","fs-TO MOST fs-OF IX-3p-arc:k IN ns-BOSTON ns-BOSTON+PERSON IX-3p-arc:k STILL HOT IN ns-#LA 5""you know"" STILL 70 75 EVERY+fs-DAY"
"The sun still shines warmly, but during night time, it gets a little cooler.","SUN STILL BUT NIGHT+ 5""you know"" LITTLE-BIT MORE COOLER 5""drop topic"" part:indef IX-loc:j THAT"
"I have to admit that during spring time in Boston, it rains a lot.",POSS-3p:j SPRING++ IX-1p ADMIT ONE NEGATIVE ABOUT IX-loc:k fs-BOSTON SPRING++ REALLY MUCH RAIN
"While in LA, its better and perfect because of no rain.",DURING/WHILE ns-#LA BETTER PERFECT (O)NONE RAIN
