translation,gloss
"While the water was running, I tried to wash myself as best I could--I couldn't use my injured hand.","IX-1p WATER DCL:4""runningwater"" WASH FRUGAL BCL:5""holdinghandup"" WASH IX-3p CANNOT USE IX-3p IX-1p"
"I picked up the shampoo bottle and dumped it on my hand.  Right after I poured it, it hit me that I couldn't use that hand. ","IX-1p SHAMPOO fs-SHAMPOO SHAMPOO IX-1p ICL:bent-5""pickingupshampoobottle"" ICL:bent-5""pouringshampoo"""
I wasn't thinking.   Now shampoo was oozing all over my hand.  Geez. ,"IX-1p NOT THINK (open-B)IX-loc DCL:5""shampooalloverhand"" IX-1p"
I went and got another bag to put on my hand.,"SCL:1""walkingawayfromtheshower"" GET OTHER fs-BAG ICL:S""puttingbagonhand"" THEN"
Then I got back into the shower and washed up. It felt so good!,"SCL:1""walkingtoshower"" SHOWER WASH FEEL THUMBS-UP/GOOD"
"Then, I went to bed for the night to get ready to work all day today.",fs-THEN SAME IX-1p GET-IN-BED ALL-NIGHT READY FOR WORK TODAY ALL-DAY
"In the past, when I was four or five years old...",IX-1p REALLY IX-1p FORMERLY IX-1p AGE-4 AGE-5
My grandfather was a big boxing fan.,IX-1p POSS-1p GRANDFATHER SELF-3p BIG BOXING fs-FAN KNOW fs-BOXING BOXING IX-3p
He asked me to sit down and watch boxing.  I didn't really get it.,"REALLY POSS-1p SCL:crvdV""sitdownnexttograndfather"" LOOK++ BOXING IX-1p"
I don't remember it well because I was too young but....,FINE IX-1p SMALL YOUNG NOT REMEMBER #BUT
My father told me that I used to love boxing when I was growing up.,POSS-1p FATHER EXPLAIN SAY IX-2p REALLY IX-2p KISS-FIST BOXING
"I said ""oh, I see,"" then I began watching the boxing on TV.",IX-1p LOOK OH-I-SEE IX-1p LOOK WATCH-TV BOXING
"As I watched, I thought to myself, ""I wouldn't mind doing boxing in the future"".",IX-1p LOOK NOT-MIND SELF-1p FUTURE BOXING
"I would work out and have great abdominal muscles on my stomach.  Wow--it would require a lot of time, though,","IX-1p WORK-OUT DCL:5-C""musclesonstomach"" REALLY WOW BUT (Y)WOW MUCH TIME REQUIRE"
...so I dropped it.  One thing that impacted me when I was watching TV...,#SO IX-1p IX-1p WATCH-TV IMPACT REALLY
"Last year, I watched a story about Muhammad Ali on CNN.",LAST-YEAR IX-1p WATCH-TV ONE (crvd-sprd-B)STORY ON fs-MUHAMMAD fs-ALI ON CHANNEL fs-CNN
It was a show about his life story. I was completely fascinated by it.,POSS-3p LIVE TIME (crvd-sprd-B)STORY IX-1p WATCH-TV FASCINATED REALLY FALL-INTO-IT REALLY WOW
"After I watched that story, Muhammad Ali became my favorite boxer.",OVER/AFTER THAT (crvd-sprd-B)STORY IX-3p fs-MUHAMMAD fs-ALI POSS-1p FAVORITE/PREFER BOXER FINISH
His wife invited a reporter over their house.,REALLY IX-3p POSS-3p WIFE INVITE REPORTER GO POSS-3p HOUSE
"While they had dinner, the sports reporter collected more information about Muhammad Ail.",HAVE EAT+NIGHT REALLY SPORT SELF-3p SPORT REPORTER COLLECT MORE INFORM ABOUT fs-MUHAMMAD fs-ALI
"His wife cooked and got things ready for dinner.  Then, they all sat down and talked.","IX-3p WIFE COOK DCL:crvdL""settingdishesontable"" READY SCL:crvdV""sittingaround"" CHAT"
The reporter asked Muhammad Ali a simple question.,REPORTER ASK fs-MUHAMMAD fs-ALI SIMPLE QUESTION
"Ali started to...  well, you know he has Parkinson's disease...",fs-ALI START fs-TO IX-3p KNOW SELF-3p HAVE fs-PARKINSONS SICK SELF-3p SICK
He tends to shake sometimes and he had a hard time trying to focus on things. ,SICK TEND SHAKE SOMETIMES NOT PAY-ATTENTION HAVE HARD TIME FOCUS
He started to really shake and the reporter got scared.  He wasn't sure how to approach that kind of situation.,"#SO START fs-TO BPCL:V""standup""-inceptive REALLY SHAKE REPORTER LITTLE-BIT SCARE NOT KNOW HOW TO APPROACH THAT SITUATION"
The reporter asked Ali's wife if he was alright.,TELL WIFE IX-loc ALRIGHT
"His wife said ""well, sort of... sometimes he has bad dreams.""",WIFE SAY SOMETIMES IX-3p HAVE BAD DREAM
"Sometimes he  imagines he is still boxing in the ring,",SAME IMAGINE SELF-3p+ STILL BOXING REALLY STILL THINK IN fs-RING
...still taking punches.  Sometimes he will stand up and start swinging his fists.,"STILL BCL""punchedintheface"" REALLY SOMETIMES IX-3p STAND-UP START BCL""punching"""
"The reporter said, ""Really, Muhammad Ali would stand up and punching at people?""",REPORTER REALLY TRUE-BUSINESS REALLY fs-MUHAMMAD fs-ALI STAND-UP PUNCH ON PEOPLE
"The wife said ""Yes, I have seen him beating up one man for no reason""",REALLY WIFE YES IX-1p SEE IX-3p ABUSE ONE MAN PAST REALLY (O)NONE REASON
"The reporter said, ""really?"" as he looked at Muhammad Ali.",REPORTER SAY LOOK TRUE-BUSINESS LOOK ON fs-MUHAMMAD fs-ALI
"Ali was sitting, shaking; then he got up slowly and started punching the air.","fs-ALI SIT BCL""shake"" STAND-UP SHAKE BCL""punchingatair"""
"Ali walked toward the reporter, grabbed him by the collar, pulled him close, and shook his fist in the reporter's face. ","SCL:1""Aliapproaching"" REPORTER BCL:S""shakingfist"""
"The reporter was really scared.  Muhammad Ali put him back in his seat, and said, ""I am just teasing, don't worry!""","REPORTER REALLY SCARE BCL""scaredreporter"" fs-MUHAMMAD fs-ALI IX-1p TEASE++-2p NOT WORRY"
He laughed and sat down.  I had goose bumps on my arms.,"LAUGH SIT IX-1p DCL:4""hairuponthearm"""
"I was not laughing, yes I know it was funny, but I got goose bumps on my arms.","REALLY IX-1p LAUGH NO IX-1p KNOW IX-3p FUNNY YES BUT IX-1p REALLY DCL:4""hairuponarms"""
...because Muhammad Ali has Parkinson's Disease...,(25)WHY IX-3p fs-MUHAMMAD fs-ALI SELF-3p HAVE fs-PKSON DISEASE IX-3p
" But he still, uh, he still is able to find humor in many things.",IX-3p BUT IX-3p STILL IX-3p IX-3p STILL CAN FIND/FIND-OUT FUNNY IN MANY THING
"He scared the reporter, his wife was great...wow.",SAME IX-3p SCARE REPORTER COUNT-ON-FINGERS IX-3p WIFE WONDERFUL IX-3p REALLY WOW
"So, after that, I wish I could tell my grandfather that story.",#SO OVER/AFTER THAT IX-1p IX-1p WISH IX-1p CAN TELL POSS-1p GRANDFATHER THAT (crvd-sprd-B)STORY
"He died way back, when I was around 8 years old.",(25)WHY IX-3p DIE BEFORE REALLY WHEN IX-1p SAME AGE-8
I wish he and I could have watched it together. ,"#SO ""darn"" WISH IX-3p CAN LOOK TOGETHER"
I have a good friend of mine named Paul.,FINE ONE MAN ONE FRIEND GOOD FRIEND POSS-1p IX-loc fs-PAUL
He is a real motorcycle freak.  He has a beautiful motorcycle.,IX-3p REALLY MOTORCYCLE fs-FREAK REALLY BEAUTIFUL MOTORCYCLE
"He would do anything for a motorcycle.  I feel sorry for him, he has bad luck with motorcycles.  ",MOTORCYCLE REALLY (L)FUTURE #DO ANY+THING FOR MOTORCYCLE REALLY PITY BAD fs-LUCK WITH MOTORCYCLE
"Three of his motorcycles were stolen, two others crashed.  He has had a total of five different motorcycles. ",MOTORCYCLE IX-3p THREE MOTORCYCLE STEAL CRASH TWO OTHER MOTORCYCLE REALLY TOTAL MOTORCYCLE DIFFERENT MOTORCYCLE
You know where he is now? In the hospital with broken ribs...,"MOTORCYCLE IX-3p REALLY NOW KNOW WHERE IN HOSPITAL WITH BREAK fs-RIBS LCL:G""ribsonbody"""
...from a motorcycle accident.,"LCL:1""ribsonbody"" FROM MOTORCYCLE ACCIDENT"
"He would do anything for a motorcycle, like for example, he ran in the Mr. Deaf CSUN Pageant.",REALLY IX-3p #DO ANY+THING FOR MOTORCYCLE SAME FOR EXAMPLE IX-3p GO fs-MR DEAF fs-CSUN PAGEANT FOR MAN GROUP/TOGETHER
He decided to videotape himself riding on one wheel of the motorcycle.,"IX-3p DECIDE fs-TO FILM SELF-3p MOTORCYCLE ICL:S""bikerholdinghandlebarspoppingwheelie"" ON ONE WHEEL"
He was riding the motorcycle on one wheel at 80 to 90 mph and hit a rock.,"ICL:S""bikerridingononewheel"" FOR 80 90 fs-MPH TRUE-BUSINESS ICL:S""holdinghandlebars"" HIT fs-ROCK ICL:S""handlebarspullingright"""
"He fell off the motorcycle, separated his shoulder, sprained both his knee and ankle, and burned the side of his face.","SCL:bentV""personfallingoffvehicle"" SEPARATE SPRAIN fs-KNEE fs-ANKLE FACE IX-loc"
"He showed (the whole accident) on tape. He didn't win though, but hey.",SHOW ON FILM IX-3p NOT WIN NO BUT
"Motorcycling--wow.  Since I care about him, I decided to send him an email.",WOW REALLY MOTORCYCLE #SO IX-1p DECIDE IX-1p IX-1p FEEL fs-CARE ABOUT IX-3p IX-1p DECIDE SEND fs-EMAIL
"I said to Paul in the email, ""you know, you have been a good friend of mine"".",IX-1p SAY part UP-TO-NOW IX-3p IX-3p fs-PAUL KNOW IX-3p POSS-1p GOOD FRIEND
"So far, his motorcycles have been stolen, crashed, and so on, you know?",UP-TO-NOW MOTORCYCLE STEAL PLUS IX-3p CRASH
He had made a videotape of himself riding on one wheel at 80 mph!! He is crazy!!,"IX-3p DO FILM SELF-3p IX-3p ICL:S""bikerridingononewheel"" 80 fs-MPH IX-3p CRAZY"
"He sent a reply back to me with one simple sentence: ""What is a car?""",REALLY IX-3p SEND IX-1p REPLY #BACK WITH ONE SIMPLE SENTENCE fs-WHAT fs-IS fs-A fs-CAR
"I am going to compare two different cities, Boston and Los Angeles. ",IX-1p COMPARE TWO DIFFERENT CITY/COMMUNITY fs-BOSTON AND ns-#LA IX-3p+
I was born and raised in Boston.,IX-3p REALLY IX-1p BORN IN ns-BOSTON
"I went to LA after finishing high school.  I went to college at CSUN, Calfornia State University at Northridge. I went in '96.",REALLY IX-1p OVER/AFTER #HS IX-1p GO COLLEGE fs-CSUN ns-CALIFORNIA STATE UNIVERSITY ON fs-NORTHRIDGE IX-1p UP-TO-NOW NINETY-SIX
"There are many things to compare.  For example, Boston's food is delicious and better (than LA).",REALLY IX-1p MANY THING COMPARE IX-3p SAME FOR EXAMPLE FOOD REALLY IX-3p fs-BOSTON REALLY DELICIOUS BETTER FOOD
"First of all, I think nothing compares with Boston seafood. Second, the meat here is fresh and more flavorful.  California meat...",FOOD REALLY THINK COUNT-ON-FINGERS fs-SEAFOOD REALLY (O)NONE COMPARE FORGET-IT COUNT-ON-FINGERS MEAT fs-FRESH THUMBS-UP/GOOD MORE TASTE ns-CALIFORNIA MEAT
"... is not great.  However, maybe they have better dairy products. I don't know.",NOT GREAT MAYBE IX-3p HAVE BETTER PRODUCT FROM COW BRING NOT-KNOW
"Third, the fruits and vegetables in California taste fresher, since they grow in California.",COUNT-ON-FINGERS PLUS FRUIT VEGETABLE MORE TASTE fs-FRESH IX-loc GROW IN OUT ns-CALIFORNIA
The farm system in California is more outside because it is too hot to have it inside.,DURING/WHILE ns-CALIFORNIA FARM SYSTEM IX-loc MORE SAME OUT IX-loc IN fs-TOO HOT
The outside is still hot and dry but it's still easier to grow crops in the L.A. area.,OUT STILL SUNNY IX-loc fs-VERY DRY EASIER TO GROW fs-CROPS IN ns-#LA AREA
"So, let's see, what else is on the list...I have to admit that Mexican food in LA is better.",#SO REALLY REALLY LIST IX-loc REALLY ADMIT ns-MEXICO/SPAIN FOOD BETTER IN ns-#LA
"Of course, it's because L.A. is near the Mexican border. ",OF-COURSE loc RIGHT-HERE ns-MEXICO/SPAIN fs-BORDER BORDER NEXT-TO HERE
"There isn't any Mexican food in the Boston area.  It's not bad, but I don't really care for Mexican food anyway. If you like Mexican food though you should take advantage of it in L.A. where it's delicious.",IX-1p ns-BOSTON (O)NONE ns-MEXICO/SPAIN FOOD IX-3p-arc NOT BAD BUT IX-1p REALLY SELF-1p NOT-CARE ABOUT ns-MEXICO/SPAIN FOOD DELICIOUS ADVANTAGE
"There are very strict policies on fruit, and vegetables in California.",REALLY IX-loc ns-#LA IX-loc POSS-3p FOOD HAVE fs-VERY STRICT ABOUT FRUIT VEGETABLE POLICY
The same policy goes for sheep. On Interstate 5 at one of the stops....,POLICY SAME HAVE ONE SHEEP fs-I FIVE IX-loc HAVE ONE STOP
They will stop and make sure no one brings in any fruits or vegetables from Mexico.,STOP MAKE REALLY (O)NONE ONE BRING FRUIT AND VEGETABLE FROM ns-MEXICO/SPAIN
...or anywhere else. The state is very strict about chemicals. They want to make sure everything runs smoothly.,"#OR ANY+WHERE OTHER LCL:5""areaofstate"" BECAUSE IX-3p fs-VERY STRICT WITH CHEMICAL MAKE REALLY ETC. FALL-INTO-PLACE"
I have never heard of that kind of situation here in Boston.,SAME IX-1p LOOK HERE IX-1p NEVER HEAR SOMETHING/ONE SAME THAT
"Well, that is what I learned in L.A.",part REALLY part IX-1p LEARN THAT IN ns-#LA IX-loc
"Other than food, I can compare the two environments.",FINE OTHER THAN FOOD IX-1p CAN COMPARE POSS-3p ENVIRONMENT
"Of course, Boston has four different seasons.",REALLY OF-COURSE fs-BOSTON IX-loc HAVE FOUR DIFFERENT fs-SEASONS
"While in LA, they only have one or two seasons.  ",DURING/WHILE ns-#LA MAYBE HAVE ONE #OR TWO FINISH-shake
"In LA, the weather tends to be ""flat""--75 or 80 degrees, sunny and dry, every day.",FINE IX-loc ns-#LA EVERY+fs-DAY UP-TO-NOW TEND 75 80 DEGREE EVERY+fs-DAY FLAT SUNNY fs-DRY SIMPLE
"But here in Boston, the weather is really unpredictable.  It could be rainy, hot, cold or cool.",DURING/WHILE HERE REALLY fs-UN+PREDICT WEATHER CAN fs-BE RAIN CAN fs-BE HOT COLD COOL
"There are many various things (in Boston weather), but one thing I notice about LA...",COOL REALLY MANY VARIOUS ONE THING IX-1p NOTICE SAME
"...and here in Boston is that the fall, in September, seems about the same.",IX-loc FALL fs-SEASON SAME IN fs-SEPT HERE ns-BOSTON
"I would notice once when the leaves change color, and some start to fall off and grass is really green.  ",IX-1p falsestart NOTICE LEAF CHANGE COLOR SOME START fs-TO FALL REALLY GREEN GRASS GREEN PERFECT
"It is perfect, but during the fall in LA, it still looks like summer.  It is still very hot.",PERFECT BUT IN ns-#LA IX-loc FALL STILL LOOK+SAME SUMMER REALLY part STILL HOT STILL fs-VERY HOT part
"The grass is a little bit brownish because of too much sun, and there is not enough rain to feed the flowers and plants.","GRASS IX-loc LITTLE-BIT BROWN part OF-COURSE fs-TOO MUCH fs-SUN DCL:5-C""intensesun"" (O)NONE ENOUGH RAIN TO FEED FLOWER PLANT"
"In December in Boston, of course it snows, gets colder and the leaves fall off the trees, leaving them ""naked."" ","IN OF-COURSE fs-DEC HERE (L)FUTURE START SNOW BECOME MORE COLD LEAF FALL TREE EMPTY ""quote"" NAKED TREE"
"In LA, it gets a little bit cooler,  but at same time it is still hot.","TREE IX-loc ns-#LA COLD REALLY LITTLE-BIT LOW/LOWER COOLER BUT STILL HOT ""quote"""
"To most Bostonians who are in LA it still feels hot, 70 to 75 degrees.",fs-TO MOST fs-OF IX-3p-arc IN ns-BOSTON ns-BOSTON+PERSON IX-3p-arc STILL HOT IN ns-#LA STILL 70 75 EVERY+fs-DAY
"The sun still shines warmly, but during night time, it gets a little cooler.",SUN STILL BUT NIGHT LITTLE-BIT MORE COOLER part IX-loc THAT
"I have to admit that during spring time in Boston, it rains a lot.",POSS-3p SPRING IX-1p ADMIT ONE NEGATIVE ABOUT IX-loc fs-BOSTON SPRING REALLY MUCH RAIN
"While in LA, its better and perfect because of no rain.",DURING/WHILE ns-#LA BETTER PERFECT (O)NONE RAIN
"Well, it rains once a while.  The funny thing about when it rains in LA...",REALLY ONCE-IN-A-WHILE BUT FUNNY THING ABOUT ns-#LA WHEN RAIN IN ns-#LA
"People go too far:  they use umbrellas, wear rain coats, and put boots and pants on.",REALLY IX-loc OVER/AFTER EXTEND IX-3p (L)FUTURE USE COAT RAIN COAT USE UMBRELLA BOOT PANT
Even if it is just barely raining--like a few drops.  I remember one day... ,PANT REALLY SUPPOSE LITTLE-BIT DROP IX-1p REMEMBER ONE fs-DAY
"I would go to class on my rollerblades, in shorts and a tank top, you know, like a basketball jersey. ",IX-1p GO CLASS ON POSS-1p ROLLERBLADE IX-1p SHORT TANK-TOP KNOW BASKETBALL TANK-TOP SAME
There was a bit of rain as I rollerbladed. ,IX-1p IN RAIN LITTLE-BIT RAIN IX-1p ROLLERBLADE
"I noticed many people were looking at me like I was a complete idiot.  Really, I didn't know what the big deal was.","ROLLERBLADE IX-1p LOOK MANY PEOPLE DCL:4""manypeoplelookatme"" fs-AT IX-1p SAME IX-1p REALLY FULL IDIOT BUT REALLY IX-1p"
"I thought the weather was nice, a little rainy but it was nothing.  People were wearing long sleeves!",IX-1p THINK WEATHER NICE LITTLE-BIT RAIN REALLY (F)NONE IX-3p WEAR LONG-SLEEVE
"Oh well.  Wow--one negative thing about LA is that in LA, they didn't have any sewer systems.",IX-1p THAT ONE WOW NEGATIVE BUT ns-#LA IX-loc (O)NONE/NOTHING fs-SEWER SYSTEM
"There would be flooding.  If a whole year's worth of Boston's rain were given to LA,...",#ALL WATER (L)FUTURE FLOOD POSSIBLE SUPPOSE TRUE-BUSINESS IX-1p-arc RAIN TOTAL HERE YEAR-LONG BRING GIFT TO ns-#LA
... LA would flood for sure.,ns-#LA FINISH REALLY FLOOD FOR REALLY
Why? Because they have a better sewer system in Boston to drain water.,"(25)WHY IX-3p-arc HAVE BETTER fs-SEWER SYSTEM WATER CAN THROUGH DCL:crvd-sprd-B""waterrunningthroughsewer"""
Here (in Boston) it could rain every day and people would still live through it without a problem. ,IX-3p-arc CAN RAIN EVERY+fs-DAY AND STILL LIVE THROUGH fs-IT FINE
"But of course, it doesn't rain everyday in Boston.  We have wonderful weather here.",BUT OF-COURSE NOT RAIN EVERY+fs-DAY IN ns-BOSTON STILL HAVE WONDERFUL WEATHER HERE IN fs-BOSTON
"Another thing: in the summer, it's very humid here.",NEXT SAME START SUMMER (open-B)TEND fs-VERY fs-HUMID HERE
"The sun is more intense here, while in LA it's dry, but it's 100 to 110 degrees.","HERE MORE fs-SUN MORE STRONG DCL:crvd-5""intensesunrays"" DURING/WHILE ns-#LA DRY BUT SARCASM 100 110 DEGREE"
"In Northridge, it tends to be ten to fifteen degrees hotter than LA.",DEGREE BECAUSE WHERE IX-1p FROM fs-NORTHRIDGE TEND TEN FIFTEEN DEGREE MORE THAN
